arm,pair,observations,finite_cosine_observations,mean_cosine,median_cosine,negative_fraction,seeds_with_majority_negative_cosine,seed_count,median_magnitude_ratio,zero_norm_count
A1,4g_25g,946,946,0.0010726561963786626,-0.036133293062448446,0.5454545454545454,5,5,1.5169405677248817,0
A1,4g_40g,946,946,-0.3001817834725255,-0.3117716908454895,0.733615221987315,5,5,2.199142449374124,0
A1,25g_40g,946,946,-0.03819555491585595,-0.12574555352330205,0.5708245243128964,5,5,2.2778665375882534,0
A2,4g_25g,486,486,-0.017446339553515013,-0.03619374521076675,0.5720164609053497,3,5,1.318262761509322,0
A2,4g_40g,486,486,-0.18684884575851943,-0.21697593480348587,0.7613168724279835,5,5,2.3826312766112476,0
A2,25g_40g,486,486,0.058665649569689185,-0.0753014832735061,0.5720164609053497,4,5,2.0854628809841387,0
