column,outer_seed,arm,endpoint,tail_sse,tail_count,total_sse,threshold,tail_rmse,tail_sse_fraction
25g,536279090,A1,V1,6535.223338246412,63,14630.54259238659,34.9375,10.184974412421912,0.446683593378635
25g,536279090,A1,V2,19947.276286361765,62,35484.432611989185,59.7625,17.936840933766856,0.5621416158595176
25g,536279090,A2,V1,5487.063861074048,63,14126.457863462863,34.9375,9.332537262881951,0.3884246082144889
25g,536279090,A2,V2,13864.126741876269,62,31389.72970808414,59.7625,14.95376031136039,0.441677162269597
25g,769539383,A1,V1,6125.381681247669,62,13080.362426876694,33.74,9.939641780758555,0.46828837621973113
25g,769539383,A1,V2,16348.429285362856,62,31197.770332317526,55.8575,16.238360240871124,0.5240255669305843
25g,769539383,A2,V1,5612.787502359421,62,13601.858486801571,33.74,9.514663981624178,0.4126485735611595
25g,769539383,A2,V2,13052.830348772233,62,27957.63732833593,55.8575,14.509635479721428,0.4668788780496407
25g,1362771960,A1,V1,5506.563478944121,63,16536.652126232704,34.0875,9.349105278423682,0.33299143241991863
25g,1362771960,A1,V2,15043.5635115261,63,34507.98553717962,55.325,15.452725403797745,0.43594441336825795
25g,1362771960,A2,V1,4715.523979803906,63,13036.071955447116,34.0875,8.651565579767304,0.3617289008468173
25g,1362771960,A2,V2,11926.77867158399,63,27479.92268904682,55.325,13.759140495248962,0.4340179121514729
25g,1425370602,A1,V1,5047.745214204464,64,16173.723006811113,34.11,8.880935703626323,0.31209544098651537
25g,1425370602,A1,V2,19347.28938076535,64,36875.33714652408,56.35000000000002,17.38681674644495,0.524667457381852
25g,1425370602,A2,V1,4298.030643388147,64,14798.459743802701,34.11,8.194920914989954,0.29043770215262277
25g,1425370602,A2,V2,12884.730212319833,64,27297.31245084415,56.35000000000002,14.188865689952012,0.47201460713475407
25g,2767143051,A1,V1,5541.988542713341,67,16220.933270691443,34.01,9.094847272283866,0.34165657735161287
25g,2767143051,A1,V2,19135.657895135475,67,38421.80567500192,56.30250000000003,16.899906338668075,0.49804160837723355
25g,2767143051,A2,V1,6081.33777588057,67,16289.24856616764,34.01,9.527131544221694,0.37333445745995647
25g,2767143051,A2,V2,16052.920045630708,67,33562.14114616218,56.30250000000003,15.478883085564595,0.47830440780642364
40g,536279090,A1,V1,62757.621484630065,72,83865.08980178832,70.42000000000004,29.52344207119104,0.7483163928275176
40g,536279090,A1,V2,101070.45686452885,72,149646.1509734864,102.19000000000008,37.46673651841962,0.6753963012549253
40g,536279090,A2,V1,49002.38597497717,72,71940.82503630362,70.42000000000004,26.08809487288992,0.6811485126873235
40g,536279090,A2,V2,65259.350229644064,72,110169.75254915754,102.19000000000008,30.10614329834713,0.5923526986277423
40g,769539383,A1,V1,76411.71639810264,74,105383.10065674155,70.95500000000001,32.1339503039468,0.7250851030374806
40g,769539383,A1,V2,138421.18314407294,74,194773.54587150138,104.43500000000002,43.24993097074212,0.7106775333617124
40g,769539383,A2,V1,53710.32994580796,74,84181.02679586799,70.95500000000001,26.940958957281854,0.6380336756410806
40g,769539383,A2,V2,72728.16493918342,74,131617.31932726203,104.43500000000002,31.349849117957408,0.5525729084205651
40g,1362771960,A1,V1,61586.216809157166,71,87212.89857986994,70.445,29.451850610009657,0.7061594994776632
40g,1362771960,A1,V2,94952.25475094901,71,147354.42370783386,104.95999999999998,36.56987422343139,0.6443800760214369
40g,1362771960,A2,V1,52949.166244110944,71,81858.2181242893,70.445,27.30865988741727,0.6468399564197166
40g,1362771960,A2,V2,65646.6601786839,71,123811.408987952,104.95999999999998,30.40724991818723,0.530214951233387
40g,1425370602,A1,V1,70806.05905924836,73,102403.04529233719,72.255,31.14395630792998,0.6914448574953344
40g,1425370602,A1,V2,121568.82950924308,73,183317.82755460156,109.29500000000002,40.80841128534002,0.6631587943787605
40g,1425370602,A2,V1,58560.185671736705,73,94534.23142748818,72.255,28.323035223477827,0.6194601128867788
40g,1425370602,A2,V2,77623.80184907284,73,139169.2058341196,109.29500000000002,32.6088906796469,0.5577656449487484
40g,2767143051,A1,V1,75455.5028428808,72,104317.28031607483,72.55499999999999,32.372721464838435,0.7233269753031842
40g,2767143051,A1,V2,122784.78891669084,72,176151.96546184656,108.365,41.295814442986774,0.6970389946814717
40g,2767143051,A2,V1,61695.170153578634,72,91390.76247407171,72.55499999999999,29.272467665780205,0.675070088960928
40g,2767143051,A2,V2,79180.85592406624,72,133777.02693740622,108.365,33.16223921957737,0.5918867965358109
