epoch,step,grad_norm_4g,grad_norm_25g,grad_norm_40g,cos_4g_25g,cos_4g_40g,cos_25g_40g,protocol,outer_seed,inner_fold,arm
1,0,1513.5377197265625,2219.30126953125,5199.46044921875,-0.2908208668231964,-0.4170783758163452,0.9035280346870422,row,769539383,1,A1
10,0,1252.319580078125,2093.1318359375,5212.42138671875,-0.4035085141658783,-0.543940544128418,0.8912005424499512,row,769539383,1,A1
20,0,1592.3572998046875,1525.4180908203125,5177.2646484375,-0.4912492632865906,-0.7155068516731262,0.8490874171257019,row,769539383,1,A1
30,0,1465.6153564453125,1086.497802734375,4853.7529296875,-0.3635160624980926,-0.8211632966995239,0.6748561263084412,row,769539383,1,A1
40,0,1690.3248291015625,857.0401611328125,4444.57958984375,0.1855511665344238,-0.8057572841644287,0.1270856410264969,row,769539383,1,A1
50,0,1540.168212890625,831.7351684570312,4163.7705078125,0.5043622255325317,-0.8401921391487122,-0.4003452062606811,row,769539383,1,A1
60,0,1548.4345703125,864.7241821289062,3607.24609375,0.5200748443603516,-0.8354987502098083,-0.609639585018158,row,769539383,1,A1
70,0,1534.4886474609375,1027.439208984375,2846.039794921875,0.7661225199699402,-0.8550348877906799,-0.769245982170105,row,769539383,1,A1
80,0,1356.7872314453125,904.4705810546876,2547.26318359375,0.6576070189476013,-0.8332014083862305,-0.7610553503036499,row,769539383,1,A1
90,0,1241.387939453125,770.4442138671875,1751.794677734375,0.5531803369522095,-0.7865889072418213,-0.649783730506897,row,769539383,1,A1
100,0,1207.0174560546875,612.4769897460938,1701.6593017578125,0.4203263521194458,-0.7797978520393372,-0.6134076714515686,row,769539383,1,A1
110,0,1025.6883544921875,516.511962890625,1470.434326171875,0.0289933905005455,-0.711699366569519,-0.36198291182518,row,769539383,1,A1
120,0,863.241943359375,499.9134521484375,1363.7677001953125,0.0522241406142711,-0.7470259070396423,-0.3942826092243194,row,769539383,1,A1
130,0,798.0955200195312,623.8237915039062,1040.151611328125,-0.0088342325761914,-0.6058073043823242,-0.3798418939113617,row,769539383,1,A1
140,0,662.9727783203125,517.1220703125,1055.4271240234375,-0.0878246873617172,-0.5378865599632263,-0.3903024196624756,row,769539383,1,A1
150,0,609.9089965820312,593.2366333007812,1155.5760498046875,-0.3358194231986999,-0.3627482950687408,-0.2441417872905731,row,769539383,1,A1
160,0,511.8123474121094,687.8411865234375,678.21728515625,-0.0757878124713897,-0.2629577219486236,-0.5769049525260925,row,769539383,1,A1
170,0,597.7055053710938,601.5659790039062,987.878173828125,0.3196258246898651,0.1749643683433532,-0.2420115768909454,row,769539383,1,A1
180,0,389.5052490234375,573.2298583984375,778.0152587890625,-0.2544698119163513,-0.4961909055709839,-0.2528857588768005,row,769539383,1,A1
190,0,386.6796569824219,494.4373779296875,715.574462890625,-0.1956297904253006,-0.0976811721920967,-0.7099570035934448,row,769539383,1,A1
200,0,348.2583923339844,538.311279296875,647.590576171875,-0.3230081796646118,0.2177558988332748,-0.782062828540802,row,769539383,1,A1
210,0,591.2980346679688,600.17431640625,632.4633178710938,-0.2474319338798523,-0.0181413497775793,-0.7325513362884521,row,769539383,1,A1
220,0,465.80517578125,703.0767211914062,791.9000244140625,-0.283086895942688,-0.0406043231487274,-0.52495938539505,row,769539383,1,A1
230,0,295.89691162109375,712.5684204101562,1086.247802734375,0.2258406728506088,0.2553088068962097,0.1167662218213081,row,769539383,1,A1
240,0,282.0478820800781,509.509521484375,721.9185791015625,0.0590221285820007,-0.0893992930650711,-0.7860460877418518,row,769539383,1,A1
250,0,330.24090576171875,590.6297607421875,746.2420654296875,-0.2517423927783966,0.135817751288414,-0.3018065989017486,row,769539383,1,A1
260,0,326.1595764160156,851.8583984375,638.6613159179688,-0.2028902471065521,-0.3833589255809784,-0.2549128532409668,row,769539383,1,A1
270,0,395.35003662109375,692.8538208007812,1042.1507568359375,-0.2779375314712524,-0.1852531433105468,-0.2909251451492309,row,769539383,1,A1
280,0,276.62091064453125,741.8160400390625,666.8944091796875,0.0688031092286109,-0.0693548992276191,-0.7477397322654724,row,769539383,1,A1
290,0,311.70867919921875,531.003173828125,572.8742065429688,-0.15474434196949,-0.0864332914352417,-0.7490012645721436,row,769539383,1,A1
300,0,274.8233642578125,569.0631713867188,1096.0767822265625,-0.1951550245285034,-0.1787630468606948,0.1085420399904251,row,769539383,1,A1
310,0,251.62120056152344,545.6456298828125,1010.2103881835938,0.3028680682182312,0.2452116310596466,-0.0537988543510437,row,769539383,1,A1
320,0,194.72799682617188,729.0791015625,752.6572875976562,0.3392051160335541,-0.0618808791041374,-0.6191381216049194,row,769539383,1,A1
330,0,233.42433166503903,595.47021484375,1229.4541015625,0.0277943089604377,-0.0194989945739507,0.3278659880161285,row,769539383,1,A1
340,0,288.5545959472656,497.3509521484375,805.682373046875,0.0434413515031337,0.2855936884880066,-0.4193607270717621,row,769539383,1,A1
350,0,266.8262634277344,616.8948974609375,831.8873901367188,-0.075871855020523,-0.2677094638347626,0.1659180074930191,row,769539383,1,A1
360,0,239.4955139160156,558.7927856445312,471.0260925292969,0.035007931292057,0.0013482954818755,-0.5901163816452026,row,769539383,1,A1
370,0,342.37744140625,556.1041259765625,885.2078247070312,0.242265298962593,0.3674091100692749,-0.0392592586576938,row,769539383,1,A1
380,0,274.190185546875,443.21527099609375,1034.9892578125,-0.2562741637229919,0.027356868609786,-0.2464574426412582,row,769539383,1,A1
390,0,241.2761688232422,429.91204833984375,911.8334350585938,-0.0852687209844589,-0.1868769377470016,-0.3110835552215576,row,769539383,1,A1
400,0,199.3662567138672,419.52978515625,727.0205078125,-0.083640418946743,-0.3573377728462219,-0.5264479517936707,row,769539383,1,A1
410,0,376.3284301757813,530.7214965820312,908.109375,0.0531184710562229,0.2175020575523376,0.006307921372354,row,769539383,1,A1
420,0,190.2681427001953,387.73291015625,900.1681518554688,-0.0008510245243087,-0.0261950567364692,-0.1664785742759704,row,769539383,1,A1
430,0,245.09959411621097,433.0258483886719,767.0872802734375,0.0247638076543808,-0.1879541426897049,-0.5727517008781433,row,769539383,1,A1
440,0,193.2443389892578,512.0830078125,980.3729858398438,0.1788547933101654,0.1944504231214523,0.1348311007022857,row,769539383,1,A1
450,0,280.3135986328125,926.4301147460938,880.4256591796875,0.0279022846370935,-0.069446712732315,0.133950263261795,row,769539383,1,A1
460,0,244.6574554443359,745.040283203125,1971.9801025390625,0.4208937585353851,0.5079682469367981,0.5833523869514465,row,769539383,1,A1
470,0,242.87254333496097,731.3626708984375,1808.7978515625,0.4714545011520386,0.6590168476104736,0.5661107301712036,row,769539383,1,A1
480,0,217.48976135253903,525.0474853515625,1196.6304931640625,0.2811450958251953,0.3158196210861206,0.3273662626743316,row,769539383,1,A1
490,0,163.9406280517578,450.3429870605469,1240.9859619140625,0.2798631191253662,0.3204503655433655,0.3081841468811035,row,769539383,1,A1
500,0,419.9777221679687,443.6138000488281,1017.9854125976562,0.0938020348548889,0.2861652970314026,0.1274847090244293,row,769539383,1,A1
1,0,1513.5377197265625,2219.30126953125,5199.46044921875,-0.2908208668231964,-0.4170783758163452,0.9035280346870422,row,769539383,1,A2
10,0,969.9789428710938,2041.56298828125,5341.9052734375,-0.4084580540657043,-0.5275585651397705,0.8550540208816528,row,769539383,1,A2
20,0,1023.1776733398438,1459.7054443359375,5177.779296875,-0.4589584469795227,-0.562171459197998,0.7179358005523682,row,769539383,1,A2
30,0,696.2719116210938,1119.8455810546875,3756.27734375,-0.2543243169784546,-0.3970025479793548,0.4565098881721496,row,769539383,1,A2
40,0,546.9675903320312,888.9151611328125,1966.0074462890625,0.1964374333620071,-0.1761856228113174,-0.20832359790802,row,769539383,1,A2
50,0,598.4432373046875,872.9491577148438,1595.7623291015625,0.4423234164714813,0.018028013408184,-0.3499336540699005,row,769539383,1,A2
60,0,473.4034423828125,807.2626953125,1044.9700927734375,0.5244251489639282,-0.6049912571907043,-0.4031977951526642,row,769539383,1,A2
70,0,467.5186767578125,629.223876953125,932.8314819335938,0.4930029213428497,-0.6276639699935913,-0.3621114194393158,row,769539383,1,A2
80,0,470.4971923828125,465.1821594238281,713.1612548828125,0.3601864278316498,-0.5856954455375671,-0.50128573179245,row,769539383,1,A2
90,0,346.8730163574219,320.9790954589844,695.8483276367188,0.0970262661576271,-0.3848488330841064,-0.4908395111560821,row,769539383,1,A2
100,0,388.55419921875,387.1424560546875,677.9303588867188,0.3398118019104004,-0.2430078536272049,-0.1895478218793869,row,769539383,1,A2
110,0,360.3017883300781,314.0562744140625,602.6703491210938,0.0056497338227927,-0.1223729997873306,-0.2542492747306824,row,769539383,1,A2
120,0,292.0594177246094,304.03887939453125,661.4097290039062,0.0277013462036848,-0.459275335073471,-0.1613165587186813,row,769539383,1,A2
130,0,217.6716766357422,417.34271240234375,605.485107421875,0.0232070833444595,-0.2318946719169616,-0.0607157498598098,row,769539383,1,A2
140,0,291.0054016113281,269.0450744628906,520.3878784179688,0.1727675199508667,-0.0982254818081855,-0.3401781618595123,row,769539383,1,A2
150,0,331.6522521972656,413.2859191894531,1144.3719482421875,0.1237836852669715,0.0362467914819717,0.421175867319107,row,769539383,1,A2
160,0,183.99916076660156,374.9052429199219,562.8377685546875,0.0641507431864738,-0.2949264347553253,0.0145407272502779,row,769539383,1,A2
1,0,1692.0345458984375,2056.788818359375,4905.1474609375,-0.2847718894481659,-0.3316134810447693,0.9244471192359924,row,769539383,2,A1
10,0,1443.1256103515625,1919.27392578125,4951.11865234375,-0.4226774573326111,-0.5136584639549255,0.9251828193664552,row,769539383,2,A1
20,0,1385.0263671875,1621.5399169921875,4794.44921875,-0.5358017683029175,-0.6894327998161316,0.9094954133033752,row,769539383,2,A1
30,0,1430.0726318359375,1062.4736328125,4633.6201171875,-0.5110724568367004,-0.8002316951751709,0.7929326295852661,row,769539383,2,A1
40,0,1639.4180908203125,725.3336181640625,4320.60693359375,0.0398024246096611,-0.7820500135421753,0.2926782667636871,row,769539383,2,A1
50,0,1461.626708984375,679.89013671875,3981.22314453125,0.4237005114555359,-0.8434908390045166,-0.3900410830974579,row,769539383,2,A1
60,0,1524.1151123046875,752.1705932617188,3529.5009765625,0.5867039561271667,-0.8410494923591614,-0.6134787201881409,row,769539383,2,A1
70,0,1828.3978271484375,759.590087890625,2995.652587890625,0.6201857328414917,-0.8116071224212646,-0.7249730825424194,row,769539383,2,A1
80,0,1626.292724609375,625.745361328125,2561.109130859375,0.5374626517295837,-0.8438058495521545,-0.6749811768531799,row,769539383,2,A1
90,0,1210.6480712890625,689.7127685546875,2104.275390625,0.5388057231903076,-0.8157627582550049,-0.7242122888565063,row,769539383,2,A1
100,0,1361.3912353515625,545.3533935546875,1455.869873046875,0.4331231117248535,-0.8061582446098328,-0.5489054918289185,row,769539383,2,A1
110,0,1265.2213134765625,570.123291015625,1227.2706298828125,0.2520629167556762,-0.7366080284118652,-0.5283193588256836,row,769539383,2,A1
120,0,890.3597412109375,474.3088989257813,1327.24267578125,-0.0586604960262775,-0.7716765403747559,-0.248168259859085,row,769539383,2,A1
130,0,774.4585571289062,509.71282958984375,843.2781372070312,-0.1010123565793037,-0.3401485383510589,-0.6151317358016968,row,769539383,2,A1
140,0,641.8497924804688,621.125732421875,706.0082397460938,0.1606972962617874,-0.5791462659835815,-0.5200520753860474,row,769539383,2,A1
150,0,672.1216430664062,512.6767578125,778.6132202148438,-0.2608102262020111,-0.2960730791091919,-0.5189515948295593,row,769539383,2,A1
160,0,846.5215454101562,596.2949829101562,909.03466796875,-0.3384527862071991,-0.233199268579483,-0.3395797312259674,row,769539383,2,A1
