column,arm,regime,V1_rmse,V2_rmse,n
25g,A1,high,8.9635314063609,14.121910766227177,21.12
25g,A1,low,4.319317354059621,7.155285472519758,21.04
25g,A1,mid,5.2669156012309175,7.446722443217467,21.0
25g,A2,high,8.877096581168049,12.415432014959244,21.12
25g,A2,low,3.8429913202597983,6.78015505986373,21.04
25g,A2,mid,5.2269360990694596,7.318965443188221,21.0
40g,A1,high,24.900640402140308,32.71653337293762,24.12
40g,A1,low,6.357637506641392,8.848838513863104,24.04
40g,A1,mid,9.510069035517338,14.356123617461467,24.0
40g,A2,high,22.98978492672328,27.217566212105545,24.12
40g,A2,low,6.317114267803605,10.527506168375886,24.04
40g,A2,mid,10.07328461106033,13.797835486820352,24.0
