protocol,outer_seed,inner_fold,arm,column,best_epoch,epochs_run,runtime_seconds,per_task_batch_size,steps_per_epoch,trainable_parameters,total_parameters,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,Center_rmse,Width_rmse,Center_error_variance,Width_error_variance,Center_Width_error_covariance,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,scale_V1,scale_V2
compound,769539383,1,A1,4g,104,184,154.078977208992,294,1,130615,460500,0.3558380377941673,5.450988067608545,3.8304466425531953,0.0268929102071994,14.776934527247668,12.69722656476192,0.8134555796950532,True,9.696630331813378,10.956439691075616,44.92815606744314,32.43263460122276,28.737286915220245,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,769539383,1,A1,25g,104,184,154.078977208992,294,1,130615,460500,0.6192167821707717,6.684098243485789,4.451405220647012,0.6667649837860014,10.329188016716524,7.500900570038827,0.6490933714836495,True,8.010414069704646,6.7876103714054965,59.52171188140786,45.28057935814429,29.09056331537258,248,62,521bf7d21dae0afc14537dc3048b1b6c52b827752caeffd0eaa377106a4ad2d9,235d565303458493b74e3a38a3207ed9ee75865783051b2b5f1f3165580d4880,9.784171404390012,16.84628749250819
compound,769539383,1,A1,40g,104,184,154.078977208992,294,1,130615,460500,0.4987212213336447,18.7250819514787,12.43738659897896,0.5811012241599254,23.05228023587064,17.60891031761692,0.6522192601195931,True,19.986704016405245,12.89183022568373,375.4577401361251,135.39203739868185,63.19203029982038,294,73,2c93b939cb10a64355046ace7d2227b96b3a0c6ee62ecbd5425622c6aa47ad9c,70d9bd3d4067a1ac36a313f9f3ec08aac224f3e9102bcf5b91ab9cc68f87c888,27.106802689745127,37.715165017414016
compound,769539383,1,A2,4g,55,135,194.02274612500332,294,1,139367,469252,0.698161140387688,3.7313438248072113,2.2797711462623034,0.8467758270753252,5.863645060496299,3.859984073791748,0.4226535383620686,True,4.4583831103755225,4.135432315162739,19.49576386138441,17.095321268369112,10.2794150753808,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,769539383,1,A2,25g,55,135,194.02274612500332,294,1,139367,469252,0.5387639903181975,7.356403255360473,4.790928742193407,0.6563197388065036,10.489823050516057,7.267892166876023,0.6903020447743642,True,8.50873378963368,6.221889597366417,71.90543825837212,33.98282752245451,29.486938135128945,248,62,521bf7d21dae0afc14537dc3048b1b6c52b827752caeffd0eaa377106a4ad2d9,235d565303458493b74e3a38a3207ed9ee75865783051b2b5f1f3165580d4880,9.784171404390012,16.84628749250819
compound,769539383,1,A2,40g,55,135,194.02274612500332,294,1,139367,469252,0.521528645247991,18.294141697952156,11.728866645081403,0.6300699694396503,21.663026901424203,14.896545598278308,0.6266563139013201,True,19.23390254224173,11.320454141744898,357.60867444946786,120.59618845749527,57.65131941481382,294,73,2c93b939cb10a64355046ace7d2227b96b3a0c6ee62ecbd5425622c6aa47ad9c,70d9bd3d4067a1ac36a313f9f3ec08aac224f3e9102bcf5b91ab9cc68f87c888,27.106802689745127,37.715165017414016
compound,769539383,2,A1,4g,370,450,663.1042254579952,296,1,130615,460500,0.6880703769491932,3.7932022847887703,2.6031834828644658,0.9074674223672372,4.556709695026747,2.90434798035102,0.3950162091464885,True,3.586035694599395,4.343427865682948,12.859549166596793,18.18886515078148,3.179269042252265,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,769539383,2,A1,25g,370,450,663.1042254579952,296,1,130615,460500,0.7954752945305523,4.925441142421336,3.614965829253197,0.8118201339992656,8.079008797842292,5.762538856267929,0.4946718617094877,True,5.9320255937170465,6.189103055215963,32.25004400489422,36.61448540628585,18.27625687678285,246,64,c2766dd26d142cac3ab54e2e64f32c0473edee77ef3b3f9b3e95ac910ec5e2a6,300751aedf1c6cd106d038758625185cbf91dacb8fc45ee27c9f8fc795f4fbc9,9.777789541775451,16.64276302094934
compound,769539383,2,A1,40g,370,450,663.1042254579952,296,1,130615,460500,0.5848884358067187,19.032976720804605,11.612982623677857,0.6733613798156994,22.604338581481834,13.66909943701516,0.6747861211800934,True,20.64298215388136,6.47223317720079,321.1175703622692,41.06369852837857,65.0368091453807,296,71,c816a7dd258072b0c9c87fc31c62a090f4edffc2e8970c17fce5f023549e793d,40c3974b28b5116b0da7adc4b6295ed340fb532176cb78d49ff5df234080f418,26.117860941901498,36.68746703244712
compound,769539383,2,A2,4g,92,172,238.0372678330168,296,1,139367,469252,0.7325381126890667,3.512437827602438,2.2696974726995593,0.8727771120052811,5.34301822669969,3.4003072688824085,0.3931654950934655,True,4.0949184555059555,3.833627250824229,16.677411794211235,14.492836919855542,8.241474581322167,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,769539383,2,A2,25g,92,172,238.0372678330168,296,1,139367,469252,0.7412009090198772,5.540559448274062,3.765561690926551,0.8609280072309754,6.94530532167619,4.623335480690002,0.4976156512717655,True,5.644433651694561,5.51648484352103,31.67830008812647,29.65526736374222,8.394534612394411,246,64,c2766dd26d142cac3ab54e2e64f32c0473edee77ef3b3f9b3e95ac910ec5e2a6,300751aedf1c6cd106d038758625185cbf91dacb8fc45ee27c9f8fc795f4fbc9,9.777789541775451,16.64276302094934
compound,769539383,2,A2,40g,92,172,238.0372678330168,296,1,139367,469252,0.7150998824950954,15.767782276789188,9.795801796711666,0.7956304458321473,17.879943264810755,11.811236787178146,0.5486308910258701,True,16.555798321310363,6.344511481473199,259.6174195509572,39.48959931722599,38.85874950987505,296,71,c816a7dd258072b0c9c87fc31c62a090f4edffc2e8970c17fce5f023549e793d,40c3974b28b5116b0da7adc4b6295ed340fb532176cb78d49ff5df234080f418,26.117860941901498,36.68746703244712
compound,769539383,3,A1,4g,162,242,332.79469225002686,292,1,130615,460500,0.6438524739582097,4.0531498385807065,2.588517289352722,0.6424257935775493,8.95750630345807,6.723752454595688,0.5362077591733871,True,6.000440661959079,7.022017732118606,29.268812333308514,28.06814801831893,19.94256302159133,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,769539383,3,A1,25g,162,242,332.79469225002686,292,1,130615,460500,0.3751916705581768,7.865442302417639,4.786583805084229,0.5313242626891594,12.16811227425052,8.742890663146971,0.753448964840975,True,9.27205138418318,8.716222253885071,82.47669062961701,68.63236694494336,38.034467983081186,250,60,f96949527352f062bc6981765d1c454579ac0e6ee5b9c7e530eb88a1828106c6,b59903db494bf8e8abdaa926e26a68cdbda6561350d5bc8093749dd7da3efde4,10.012620646464145,16.902153646872936
compound,769539383,3,A1,40g,162,242,332.79469225002686,292,1,130615,460500,0.6628005157900072,14.23241398276315,9.050629094441732,0.5799912865214316,23.652029159171203,14.970118103027344,0.5768177777165634,True,17.8307021475049,15.881575046384093,280.79468391326867,171.7594503301155,123.7620929177708,292,75,acb3e39677ebce45525e08ebb4a42c77f19097f390b4969ba74bc63b9424ab0a,7cce7bd6c7de308ea252edc87814d28675a72420cb969ec38a916c049a6103ae,27.494240691733808,37.515728265842185
