column,metric,A1_mean,A2_mean,mean_paired_delta,paired_delta_sd,relative_gain_of_means,fold_wins
25g,V1_rmse,6.769981165986322,6.565545938605677,-0.20443522738064487,0.5765496699922346,0.030197311095600532,16
25g,V1_mae,4.49421131284149,4.336578774196406,-0.15763253864508445,0.3431506086131219,0.035074572082241406,14
25g,V2_rmse,10.392758765643958,9.512288434225969,-0.8804703314179876,0.9758515570656411,0.08471959671849782,19
25g,V2_mae,7.181493944499996,6.67635289101576,-0.5051410534842347,0.6065461112971564,0.07033927165963871,19
25g,combined_normalized_rmse,0.6405988978702392,0.6061099045688269,-0.03448899330141244,0.05119578053364499,0.05383867099377759,18
25g,V1_r2,0.4893957989582263,0.516256019705878,0.026860220747651632,0.08857438780675005,,16
25g,V2_r2,0.6287021245552075,0.6864167764189909,0.05771465186378351,0.06877958888987215,,19
25g,Center_rmse,7.786831661374116,7.2559915817249,-0.5308400796492165,0.7232264994662728,0.06817151092175278,18
25g,Width_rmse,7.713631318485987,7.188813661230955,-0.5248176572550315,0.6252696074681021,0.06803769010806726,19
40g,V1_rmse,16.13903880547652,15.196373788181209,-0.9426650172953104,1.4493707907300644,0.058408993785641905,17
40g,V1_mae,10.400599395819896,9.993032199771887,-0.4075671960480086,1.1828936388744624,0.039186894960286045,17
40g,V2_rmse,21.466595707622183,18.77981731536513,-2.6867783922570463,2.4496585436689067,0.12516089783640238,21
40g,V2_mae,14.436220055687354,13.149605201562462,-1.2866148541248918,1.8288655971195156,0.08912408159212093,20
40g,combined_normalized_rmse,0.595380358506278,0.541253050108589,-0.05412730839768904,0.05760369650433478,0.09091214989605378,20
40g,V1_r2,0.6174978765004852,0.6586416934247166,0.041143816924231406,0.060450786716028326,,17
40g,V2_r2,0.6484121757564207,0.7299774074905091,0.08156523173408836,0.07689585055214362,,21
40g,Center_rmse,18.05017216808151,16.252327012274094,-1.7978451558074142,1.88499731461664,0.09960265969022619,20
40g,Width_rmse,11.735541816666487,10.543706159645135,-1.1918356570213502,1.5466627634395165,0.101557787074538,21
