protocol,outer_seed,column,method,classification,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,Center_rmse,Width_rmse,Center_error_variance,Width_error_variance,Center_Width_error_covariance
compound,769539383,25g,A1,DEVELOPMENTAL CONFIRMATION,-0.08399712262459125,10.527535428175938,5.978280832456506,0.4574753873637619,14.195315704416485,9.271590411144754,0.9471376962834199,True,11.102357759683377,11.47268882969893,122.56969370770666,130.29919444273025,46.296413724022656
compound,769539383,25g,A2,DEVELOPMENTAL CONFIRMATION,0.1700304684278381,9.211783485321773,5.808001524469127,0.5511162446082853,12.912260448112512,8.786391759955364,0.8415369404068432,True,9.834269016520155,10.784964597230825,96.10386218377316,116.27906337458191,41.08363936889209
compound,769539383,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.2747968595115895,8.610779832714705,5.968775934782608,0.607125429888524,12.079870883730772,9.05177235869565,0.7868969825530405,True,9.06405775797299,10.559784450011477,55.07519290810057,106.34165668303943,24.059123976174458
compound,769539383,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,0.4319544043386606,7.620864596171943,4.630703798680305,0.7323054033678986,9.971376977444777,6.973179147247331,0.6778743964459333,True,7.060943361537583,10.751008669870878,49.736281127064714,113.64337491088408,20.191511001976092
compound,769539383,40g,A1,DEVELOPMENTAL CONFIRMATION,0.6281567667615072,16.16827231576213,10.550780421931568,0.6326346165848442,21.999458873269838,13.875278342642437,0.5944997502551762,True,18.10059435844323,13.425810078763751,311.20701077913156,163.04930067145781,94.47229715582947
compound,769539383,40g,A2,DEVELOPMENTAL CONFIRMATION,0.6145474163835284,16.461490450556585,11.292440181825219,0.6929963243651094,20.11104652705444,14.028803383431784,0.5757078310761716,True,17.39769910648579,11.838495839208736,302.643982077561,140.14956216339914,66.73286915862849
compound,769539383,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.6196421379169037,16.352338654264223,11.406121353658538,0.7104470773086342,19.53110701726144,13.56340087804878,0.5663224435814636,True,17.10956621864015,11.259538925142397,290.69994740189844,126.13472007406693,55.88848117711881
compound,769539383,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,0.6654414661770706,15.336269440871513,10.478245370601938,0.7693449764366039,17.431884595026197,12.546774991222891,0.5203176226523772,True,15.499948255911134,10.823582496149404,239.0237221946075,116.22443172473284,33.27008714649253
compound,1425370602,25g,A1,DEVELOPMENTAL CONFIRMATION,0.642037050102358,6.049759517298276,3.675382001059395,0.7629586431174951,8.564461744501573,5.798956712086995,0.5469544229379153,True,6.799846170855385,5.911646013688358,45.510369012785176,34.77005750998777,18.734566456679303
compound,1425370602,25g,A2,DEVELOPMENTAL CONFIRMATION,0.49843229303980063,7.1611678919205755,4.5351862067268005,0.727653247808719,9.180135930310962,6.8976117270333415,0.6241222983238143,True,7.645084395288469,6.1094337631394176,57.09661089328382,36.047551244933295,17.809944132626512
compound,1425370602,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.4092491598987703,7.771793384440875,5.694917714285714,0.6800412063686538,9.950273927874415,7.420532904761904,0.6770427225548463,True,8.423547021949412,5.915477121617614,52.11519996193271,34.95869154144893,18.501126668956648
compound,1425370602,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,0.556918911815389,6.730706903291571,4.915868809951323,0.7361090736751151,9.036499738790447,7.2074974308212525,0.596372586403411,True,7.398721628058004,5.912457947113041,51.97730592419865,32.90031197886211,15.793702720262269
compound,1425370602,40g,A1,DEVELOPMENTAL CONFIRMATION,0.6110373816626402,16.853327387697856,9.246911173088607,0.6584976792244321,20.831600923965738,11.23888029054154,0.593593435423585,True,18.41002392167391,8.95904900076848,328.21028257077455,80.26000690194785,74.73958616152028
