arm,fits,mean_best_epoch,min_best_epoch,max_best_epoch,mean_epochs_run,selections_at_ceiling,runs_at_ceiling
A1,25,304.96,104,500,371.4,1,7
A2,25,109.88,45,449,188.72,0,1
