column,feature,representative_value,all_observed_values,n_unique_within_column,within_column_variance,target_column_constant,provenance_class,used_in_previous_physics_transfer,between_column_variance
4g,packing_mass_g,4.0,4,1,0.0,False,VERIFIED_IN_CODE,True,205.6875
4g,flow_ml_min,10.0,4|5|6|8|10,5,4.64,False,VERIFIED_IN_CODE,True,67.18750000000001
4g,legacy_column_dia,1.5,1.5,1,0.0,False,SEMANTICS_SUGGESTED,False,0.10562499999999998
4g,legacy_column_len,6.6,6.6,1,0.0,False,SEMANTICS_SUGGESTED,False,13.567500000000003
4g,legacy_column_den,0.4458,0.4458,1,0.0,False,SEMANTICS_SUGGESTED,False,0.0015602500000000022
8g,packing_mass_g,8.0,8,1,0.0,True,VERIFIED_IN_CODE,True,205.6875
8g,flow_ml_min,10.0,10,1,0.0,True,VERIFIED_IN_CODE,True,67.18750000000001
8g,legacy_column_dia,1.5,1.5,1,0.0,True,SEMANTICS_SUGGESTED,False,0.10562499999999998
8g,legacy_column_len,13.2,13.2,1,0.0,True,SEMANTICS_SUGGESTED,False,13.567500000000003
8g,legacy_column_den,0.4458,0.4458,1,0.0,True,SEMANTICS_SUGGESTED,False,0.0015602500000000022
25g,packing_mass_g,25.0,25,1,0.0,True,VERIFIED_IN_CODE,True,205.6875
25g,flow_ml_min,15.0,15,1,0.0,True,VERIFIED_IN_CODE,True,67.18750000000001
25g,legacy_column_dia,2.15,2.15,1,0.0,True,SEMANTICS_SUGGESTED,False,0.10562499999999998
25g,legacy_column_len,15.6,15.6,1,0.0,True,SEMANTICS_SUGGESTED,False,13.567500000000003
25g,legacy_column_den,0.5248,0.5248,1,0.0,True,SEMANTICS_SUGGESTED,False,0.0015602500000000022
40g,packing_mass_g,40.0,40,1,0.0,True,VERIFIED_IN_CODE,True,205.6875
40g,flow_ml_min,30.0,30,1,0.0,True,VERIFIED_IN_CODE,True,67.18750000000001
40g,legacy_column_dia,2.15,2.15,1,0.0,True,SEMANTICS_SUGGESTED,False,0.10562499999999998
40g,legacy_column_len,15.6,15.6,1,0.0,True,SEMANTICS_SUGGESTED,False,13.567500000000003
40g,legacy_column_den,0.5248,0.5248,1,0.0,True,SEMANTICS_SUGGESTED,False,0.0015602500000000022
