protocol,outer_seed,inner_fold,method,column,best_epoch,epochs_run,inner_train_ids_sha256,inner_validation_ids_sha256,scale_V1,scale_V2
compound,1425370602,3,A2_PCGRAD,4g,56,136,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,3,A2_PCGRAD,25g,56,136,f9e14aaf5ced8576b5f8cb1fb7b33603e6fd6b98f88a8d93287cfbb2f4cd182f,f2caf3a0e87abcd02f765ae813b887f07493e83dbf95383e5aa0b40bcc8bc4dc,9.96756721316548,17.547086467960735
compound,1425370602,3,A2_PCGRAD,40g,56,136,11a96622c801ec3194e3082f6996210bdae27e1441cdb87087c18ba1845aa3a1,48b190e06d71214ac079182ccc81dd1aa25c7257ba5394e4fac1f9c0a2b98b94,26.02836075978425,36.165543722893766
compound,1425370602,4,A2_PCGRAD,4g,105,185,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,4,A2_PCGRAD,25g,105,185,5258d3ed2feac136f7fc0730648e0d2d5790f51b9972e76d8457701e91dce725,9d8044636d5069adb7dec88df205a495c2b9d2a96cfeba63670f4218b8b53d04,10.191293585523658,18.012372478351
compound,1425370602,4,A2_PCGRAD,40g,105,185,5126f1dae52b211d5fc2aba2430b0aca961e260d8f941183b7ef271673dbe4eb,fcfe230609be88e46c5fadef2e524951c141f9731ae04ebc94a88ff0624855a0,27.296265281072944,38.083179170394104
compound,1425370602,5,A2_PCGRAD,4g,62,142,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,5,A2_PCGRAD,25g,62,142,97fd3eacd7a5c8fca53d4ec6da93cec0e0a41f9764584fb2d79aa82cb329a0de,59be06df0f90fdfd4b0bdca604b1b1dd1d97ec964a148788df4a24f58cf8e58f,9.93319561453223,18.12854830251089
compound,1425370602,5,A2_PCGRAD,40g,62,142,1cd1f15d883045132e44bae48fa08bd5bf88f1bdaff7992dc8f2ab264c4998a9,4b9416daa6875405a03f82fef4ed8e04f3f73a5986bf9205476a260f6241da02,27.666381299677894,38.562556279718166
compound,536279090,1,A2_PCGRAD,4g,72,152,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,536279090,1,A2_PCGRAD,25g,72,152,6cc337e1309420fa830734e54e9d0d7fccd76adc271baba00db36b9b2857b3ef,dd11592ae02cd674c5f774ec9eaf26216550bcdce927c60a67786f72db7c1611,10.704170173526874,17.926221773399543
compound,536279090,1,A2_PCGRAD,40g,72,152,ecf37da273611fa93a1a9137ba2e98b2f27cf0d4ecae57c8d2aba418df008e63,4534c8f9021347785d9c7f3519c41170a61b6b424ef6a33d93c5e465da8e9edb,26.413969331955776,36.66723773476131
compound,536279090,2,A2_PCGRAD,4g,88,168,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,536279090,2,A2_PCGRAD,25g,88,168,6fed905525927640edc31c5c1e8b0e0c1345fee6f9cb40306ac632f136bd0cb4,a0e65779e89460c1dd82f983ddd0aa3e77507c6ee3f437193bf7d0205be190aa,10.278274136926694,18.40291441385633
compound,536279090,2,A2_PCGRAD,40g,88,168,fac25ac4f20eed7da5462970489405b4516ca57dddba5cf16f6fddd0b9c03dd8,75f433e9e057d6b63934dfb3240bfcc7d590e18851232f88500f24d969c4697d,25.13929368488097,36.159152942651815
compound,536279090,3,A2_PCGRAD,4g,138,218,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,536279090,3,A2_PCGRAD,25g,138,218,78a0fa766162730323a627415121cdf5fc098d6438454bb1971aa99efb4adc13,4d057bf560ebd337df307597b584de657f277a5033bd5f627967ca38da4ec684,10.580885397812168,17.93403219365014
compound,536279090,3,A2_PCGRAD,40g,138,218,f2d8908c66e6556de223ec8d1db5d97d394b94693aeed9c68f601e4cc9a7601d,98088d22dfc7ae22520bf0d28e9ea9045d0f93b3c23963c9289af87ae12ba273,26.11290163358585,36.51084207504779
compound,536279090,4,A2_PCGRAD,4g,159,239,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,536279090,4,A2_PCGRAD,25g,159,239,2d521a00b7705b5c49a0d26a1eac5e2672b81256e9009515dca3d26562ab780b,da649bb1ebfd58e4650e4b54e42fc973baeb0fdf2b25e0db369522ab57512b51,10.525779208555416,18.412389081971305
compound,536279090,4,A2_PCGRAD,40g,159,239,1df70dac6aea33dd5d4096bd194182d4b853e8e71fea4a68ae729f64eb0103b6,f52ea0b668cc0354c1660ae09f3adb32282b3f8e4992f9e036555b0f821e4adc,25.379711701792747,35.186288237990404
compound,536279090,5,A2_PCGRAD,4g,78,158,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,536279090,5,A2_PCGRAD,25g,78,158,927969b919ee7c64866b308fa3613692786737c9018ae982856131175c90df8d,990e2251cff8c9e13796a18b918e90796de04bf59636c16d12c0205790cab413,10.0457387043926,18.129614149589493
compound,536279090,5,A2_PCGRAD,40g,78,158,7f7031096deec5978c51937cd90c3dcf3dc4d7175f67c7682be8d7f23cec1f15,3beae64ccf7652245ed80f42a309ef3462252d01cf66f2c8a10fb3f4a7a75501,27.12229011976638,37.53773041008666
compound,2767143051,1,A2_PCGRAD,4g,110,190,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,2767143051,1,A2_PCGRAD,25g,110,190,04175d60567440a3c13ee47c05608bdf29b71248ac620cc65f89e83767e9f16d,a955bee1c3bab01dcce3738e4809d9ab5b4470ecfc077e7359dd0e78ac7905a2,9.39385053111429,17.030749579116367
