protocol,evidence,column,candidate,reference,mean_paired_fold_nrmse_gain,seed_wins,fold_wins,V1_rmse_relative_gain,V1_mae_relative_gain,V2_rmse_relative_gain,V2_mae_relative_gain,Center_rmse_relative_gain,Width_rmse_relative_gain,tail_V1_rmse_relative_gain,tail_V2_rmse_relative_gain
compound,INNER_CV,25g,A2_PCGRAD,A2_ADAM_FROZEN,-0.00371251946292539,3,12,0.000535599670452136,0.007606901980127034,-0.009800650423627655,0.003424577813653129,-0.007570094210190392,0.0020470620734679423,-0.009215666240545595,-0.029935994048094994
compound,INNER_CV,40g,A2_PCGRAD,A2_ADAM_FROZEN,0.0050463831558027515,3,14,0.007044964424670397,0.005153134647520985,0.0030227459033339565,0.003111114263739112,0.005206431712780235,3.3085713882052836e-05,0.007077187238094584,-0.004212305697294694
