outer_seed,inner_fold,column,combined_normalized_rmse_candidate,V1_rmse_candidate,V1_mae_candidate,V2_rmse_candidate,V2_mae_candidate,combined_normalized_rmse_reference,V1_rmse_reference,V1_mae_reference,V2_rmse_reference,V2_mae_reference,combined_normalized_rmse_relative_gain,V1_rmse_relative_gain,V1_mae_relative_gain,V2_rmse_relative_gain,V2_mae_relative_gain
769539383,1,25g,0.7437879469331948,7.98370231219412,4.200276854730422,11.182373556192736,6.94026806123795,0.6903020447743642,7.356403255360473,4.790928742193407,10.489823050516057,7.267892166876023,-0.07748188284204383,-0.08527252178250921,0.12328546702461907,-0.0660211809428577,0.04507828378786971
769539383,1,40g,0.6226769238051035,18.104340740220024,10.858985618695822,21.645255995652263,15.0295661299196,0.6266563139013201,18.294141697952156,11.728866645081403,21.663026901424203,14.896545598278308,0.006350195486649612,0.010374958326324624,0.07416582119214166,0.0008203334581452504,-0.008929622694315409
769539383,2,25g,0.5159056064049827,5.33338830268062,3.969935068488121,8.064292187951763,5.706355196237564,0.4976156512717655,5.540559448274062,3.765561690926551,6.94530532167619,4.623335480690002,-0.03675518462185279,0.03739173769861415,-0.05427434054633218,-0.16111413601691948,-0.2342507309000057
769539383,2,40g,0.5364460251361907,15.250359837448624,9.865776040520464,17.76988696165974,12.57657969300176,0.5486308910258701,15.767782276789188,9.795801796711666,17.879943264810755,11.811236787178146,0.022209587700931954,0.0328151689475209,-0.00714328906004269,0.006155293756866409,-0.0647978632224564
769539383,3,25g,0.7019651818044629,7.485353144102827,4.866178687413534,11.03979437437837,7.864514166514079,0.7015879752639008,7.55283344229805,4.846260608037312,10.89416404201136,7.979546209971109,-0.0005376468153124314,0.008934434833067217,-0.004109989327274022,-0.013367738158284848,0.014415862811006486
769539383,3,40g,0.5007090379694846,13.42365247098616,9.56460965983073,19.241055941378384,13.946596323649093,0.5090411940115533,13.629419707042109,9.485834782918294,19.584089379644713,13.747214619954429,0.016368333526028178,0.01509728517272313,-0.008304474905497017,0.017515924872303246,-0.014503425545219661
769539383,4,25g,0.477366470754317,4.889342289142813,3.695308655958909,8.299378152429009,6.3507625169020425,0.4619958652685558,4.7691052639691955,3.606777290931115,7.966446015044932,6.057367987999548,-0.03327000659805979,-0.025211652609560486,-0.024545836320528425,-0.04179180236146984,-0.04843597573793579
769539383,4,40g,0.507930984234035,14.05212175793496,7.939650011734224,18.24914222508428,12.635564202322088,0.4996917266021198,13.89219705733919,7.877152338162274,17.853051935173628,12.339063230702576,-0.016488681307456954,-0.011511836460114333,-0.007934044041419508,-0.022186138893725227,-0.024029455565293345
769539383,5,25g,0.6863614562126087,7.532869620259448,5.609932682877879,11.196826362853944,8.317742628970388,0.676090909504991,7.569860593752517,5.600005537776624,10.737271236556875,8.1539635739084,-0.01519107351278759,0.004886612247998023,-0.001772702729361475,-0.04279999230460296,-0.020085821279121063
769539383,5,40g,0.5195905290183399,14.67588049308728,9.654599043610808,18.745583675205197,11.58564319362888,0.4836493587605298,13.705095506121827,9.482745336557365,17.38265058731858,11.055503329983004,-0.07431245303398759,-0.07083387244779282,-0.01812277994969702,-0.07840766752113959,-0.04795257599969349
