protocol,outer_seed,inner_fold,epoch,step,permutation_seed,grad_norm_4g,grad_norm_25g,grad_norm_40g,cos_4g_25g,cos_4g_40g,cos_25g_40g,directed_projection_attempts,directed_projections_triggered,projection_trigger_fraction,projected_minus_original_update_norm,projected_original_update_norm_ratio
compound,769539383,1,1,0,9379918042003115756,1557.0384521484375,2166.877685546875,4932.38134765625,0.3455824553966522,0.3479651510715484,0.8744775056838989,6,4,0.6666666666666666,710.0264282226562,1.0966098308563232
compound,769539383,1,10,0,9379918042003115815,610.3992919921875,1829.6075439453125,4476.71923828125,0.449524849653244,0.5661689043045044,0.7939764261245728,6,3,0.5,1199.837158203125,0.9437774419784546
compound,769539383,1,20,0,9379918042003125148,344.57440185546875,868.8309936523438,4361.06201171875,0.6337195634841919,0.8620396852493286,0.4567771255970001,6,4,0.6666666666666666,1510.689208984375,0.7882881164550781
compound,769539383,1,30,0,9379918042003124240,328.1387634277344,991.2078857421876,4600.455078125,0.5990138053894043,0.5767298340797424,0.4180605113506317,6,4,0.6666666666666666,786.8457641601562,0.962615430355072
compound,769539383,1,40,0,9379918042003125389,338.341552734375,917.6849365234376,2044.9755859375,0.0736338421702385,0.5712706446647644,0.0385546684265136,6,6,1.0,475.0330810546875,1.0206013917922974
compound,769539383,1,50,0,9379918042003127665,337.6343078613281,544.2671508789062,1497.38330078125,0.3364610970020294,0.3768219351768493,0.3914149403572082,6,4,0.6666666666666666,234.62635803222656,1.287364840507507
compound,769539383,1,60,0,9379918042003126778,415.8067321777344,698.361572265625,840.9581298828125,0.2606970071792602,0.5632312297821045,0.1468326896429062,6,3,0.5,157.95150756835938,1.2785075902938845
compound,769539383,1,70,0,9379918042003127834,386.6668395996094,439.5555114746094,706.177734375,0.1338607668876648,0.5947193503379822,0.1919467598199844,6,2,0.3333333333333333,140.23329162597656,1.280320644378662
compound,769539383,1,80,0,9379918042003120811,313.6921691894531,367.2047729492187,540.9954223632812,0.0609293468296527,0.5468356609344482,0.185901254415512,6,6,1.0,117.50181579589844,1.492376446723938
compound,769539383,1,90,0,9379918042003120931,236.44332885742188,250.77134704589844,590.911865234375,0.1037284806370735,0.3953608572483063,0.2290270924568176,6,4,0.6666666666666666,87.39445495605469,1.3318134546279907
compound,769539383,1,100,0,9379918042003122096,228.3278656005859,293.98199462890625,654.423583984375,0.2718536555767059,0.1186111569404602,0.0389139838516712,6,2,0.3333333333333333,26.56075096130371,1.064683437347412
