epoch,train_loss,normalized_valid_score,legacy_valid_score,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate,V1_quantile_crossing_rate,V2_quantile_crossing_rate
1,210.44956970214844,1.4119535488264776,170.95231781295115,6.1672563552856445,8.015531539916992,0.057127842687744956,2.905444622039795,0.10909090909090909,7.315810203552246,11.127455711364746,14.608461380004883,0.19657485023375632,5.055556297302246,0.07272727272727272,4.212214946746826,0.10909090909090909,0.10909090909090909,0.0
2,194.96531677246094,1.243356654858235,151.05296839699645,5.714667797088623,7.436997890472412,0.18832244658154385,2.7163703441619873,0.10909090909090909,7.6206889152526855,10.437673568725586,13.837921142578125,0.27909473199965806,4.750102996826172,0.07272727272727272,4.240942001342773,0.10909090909090909,0.10909090909090909,0.0
3,181.2836456298828,1.0959841843468237,133.6038930659065,5.318859100341797,6.901444435119629,0.3010145124191571,2.541496515274048,0.12727272727272726,7.906848907470703,9.744464874267578,13.11289119720459,0.35265861946268984,4.455820083618164,0.10909090909090909,4.274694919586182,0.10909090909090909,0.10909090909090909,0.0
4,169.19309997558594,0.97114411609514,118.76511900892501,4.9654645919799805,6.423951148986816,0.39439053852208605,2.3844645023345947,0.14545454545454545,8.154650688171387,9.147727012634277,12.449736595153809,0.4164786017044464,4.191174030303955,0.16363636363636364,4.310719013214111,0.2,0.2,0.0
5,158.4715576171875,0.8669975208688787,106.3365813159819,4.6661248207092285,6.0067572593688965,0.47049704705014117,2.2484734058380127,0.16363636363636364,8.366142272949219,8.58552360534668,11.853729248046875,0.47101116838826795,3.958407402038574,0.16363636363636364,4.3507819175720215,0.21818181818181817,0.21818181818181817,0.0
6,148.908447265625,0.7820387554451478,96.13979441441802,4.3934454917907715,5.656321048736572,0.5304776175970158,2.12497878074646,0.18181818181818182,8.545742988586426,8.122776985168457,11.326590538024902,0.5170135816537279,3.761584758758545,0.16363636363636364,4.394825458526611,0.2727272727272727,0.2545454545454545,0.01818181818181818
7,140.29452514648438,0.7137161541064987,87.8780990137775,4.157581806182861,5.372076988220215,0.5764812417443879,2.015122175216675,0.2,8.697345733642578,7.737277507781982,10.864519119262695,0.555616905104362,3.5934252738952637,0.2,4.441581726074219,0.4,0.36363636363636365,0.05454545454545454
8,132.42185974121094,0.6582097435527202,81.11081349657138,3.963820219039917,5.142874240875244,0.6118496408130822,1.9207509756088257,0.2545454545454545,8.822680473327637,7.42879581451416,10.455779075622559,0.588424701565454,3.445392370223999,0.2,4.4919867515563965,0.4,0.36363636363636365,0.07272727272727272
9,125.15216064453125,0.6121394844941213,75.44457603836986,3.7748258113861084,4.956893444061279,0.6394152507201359,1.8365331888198853,0.2545454545454545,8.92604923248291,7.127969741821289,10.086999893188477,0.6169455126210468,3.3020122051239014,0.2,4.547879695892334,0.45454545454545453,0.4,0.09090909090909091
10,118.38343048095703,0.5731843959130811,70.61256619382448,3.6138153076171875,4.804525375366211,0.6612422798606026,1.7624454498291016,0.2909090909090909,9.009742736816406,6.838548183441162,9.74977970123291,0.6421293167234109,3.1682357788085938,0.2545454545454545,4.608036994934082,0.4727272727272727,0.43636363636363634,0.10909090909090909
11,112.07382202148438,0.5395587964252624,66.41338758319466,3.4659688472747803,4.676468372344971,0.6790597775859832,1.7003673315048218,0.2727272727272727,9.080960273742676,6.568161487579346,9.438647270202637,0.6646054332363647,3.0452327728271484,0.2727272727272727,4.669684886932373,0.509090909090909,0.4727272727272727,0.12727272727272726
12,106.19342041015625,0.5096800682168409,62.66917782118685,3.3616466522216797,4.563167095184326,0.6944227971728862,1.6491621732711792,0.3090909090909091,9.145303726196289,6.295243263244629,9.148407936096191,0.6849151122410421,2.9253385066986084,0.2727272727272727,4.731927871704102,0.5818181818181818,0.5454545454545454,0.12727272727272726
13,100.75825500488281,0.4828962142436022,59.310301526901185,3.2846710681915283,4.459846496582031,0.7081040935589467,1.6054517030715942,0.32727272727272727,9.206382751464844,6.089321136474609,8.879197120666504,0.7031863299360761,2.8207905292510986,0.3090909090909091,4.793330669403076,0.6181818181818182,0.5454545454545454,0.18181818181818182
