outer_seed,round,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,frozen_parameters_sha256_before,frozen_parameters_sha256_after,frozen_unchanged,trainable_parameters_sha256_before,trainable_parameters_sha256_after,trainable_changed
42,0,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,55d08c7a605e174a0fa27e7d33775e6d677cf47849881d19049390cda668a410,True,20e4a2e75f3577a5818db0a58fe275046254806e79793ad3c90c4e56dee436b7,62b9bf446b04d8a3d188ae08bf80b60790415742a5910086cd52e75359d27393,True
42,0,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,85c98a0ee54c358aa2af2a691d997fe508f3fc923ee103a0ead59e62d0e2a12b,True,3c9655055304e2e47175ba1509d6ccb411df9f6779b86890e18bc31d291d091a,77ed661b49965f111c9f20fc5f022e7a1b456ac275d93e0544bddf2b981b68da,True
42,0,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,8f935dd052c419b1588f9a9c48effd321031ce7739103c8575aab51212e6b3c4,True,13087ad6bd0d739d9f7999b51ab8e1d6fbc4bf8d41763963a49d2fcce020c45a,70c992e8d5acac3ebd0578b7b0f7f92ec5774cf683a12adc01c29af6c367466d,True
