outer_seed,member_index,member_seed,fit_seconds_current_run,reused_completed_fit,max_epoch,early_stop_epoch,hit_max_epoch,best_epoch_ge_490,checkpoint,checkpoint_sha256,best_epoch,epochs_run,normalized_valid_score,train_rows,validation_rows,trainable_parameters,total_parameters,train_config_hash,labeled_ids_hash,validation_ids_hash,initialization_policy,trainable_scope,scaler_hash,strategy,round
525,0,52500,288.3912707080599,False,500,237,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_525/coverage/round_7/checkpoints/member_0_seed_52500/best.pt,d52606409a377473ae62f163b8758f5a6cb4c77efae92f3ea02174cff40b2e92,137,237,0.0876751288375329,493,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,31ab78046daa8584c5536d0c996f6ff1253b94b34fe26646945cbd114c9fe55f,de5df2b182256d45e13e1d041ff4fb5190e00810dfe19101298438c566bfda12,seeded_random,full_source_free,48a36f413fda5e0df37a963134c2d89accbcb5c11457c6a5c8d8ddf042ccb0e5,coverage,7
525,1,52501,452.2073740840424,False,500,374,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_525/coverage/round_7/checkpoints/member_1_seed_52501/best.pt,faeaed37d2fd8e9cd7e75d8c005c12ae928f23e435d7dd351b6c5c41e6b8fc6d,274,374,0.0835593477957807,493,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,31ab78046daa8584c5536d0c996f6ff1253b94b34fe26646945cbd114c9fe55f,de5df2b182256d45e13e1d041ff4fb5190e00810dfe19101298438c566bfda12,seeded_random,full_source_free,48a36f413fda5e0df37a963134c2d89accbcb5c11457c6a5c8d8ddf042ccb0e5,coverage,7
525,2,52502,957.5735153330024,False,500,306,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_525/coverage/round_7/checkpoints/member_2_seed_52502/best.pt,22784ece329afa25dec7212e3d7111067be679215f3c652b4ad9963ef9be314c,206,306,0.09182801843765029,493,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,31ab78046daa8584c5536d0c996f6ff1253b94b34fe26646945cbd114c9fe55f,de5df2b182256d45e13e1d041ff4fb5190e00810dfe19101298438c566bfda12,seeded_random,full_source_free,48a36f413fda5e0df37a963134c2d89accbcb5c11457c6a5c8d8ddf042ccb0e5,coverage,7
