stratum,candidate_count,mean_mean_utility,mean_std_utility,mean_sign_consistency,bootstrap_CI_excludes_zero_fraction
high_positive,1,0.007431964917488876,0.0,1.0,0.0
near_zero,1,0.02033844900036852,0.0,1.0,0.0
strongly_negative,1,-0.07923946256953396,0.0,1.0,0.0
