column,protocol,method,n_seeds,n_train_mean,n_train_sd,n_valid_mean,n_valid_sd,n_test_mean,n_test_sd,V1_rmse_mean,V1_rmse_sd,V1_mae_mean,V1_mae_sd,V1_r2_mean,V1_r2_sd,V2_rmse_mean,V2_rmse_sd,V2_mae_mean,V2_mae_sd,V2_r2_mean,V2_r2_sd,combined_normalized_rmse_mean,combined_normalized_rmse_sd,center_rmse_mean,center_rmse_sd,center_mae_mean,center_mae_sd,width_rmse_mean,width_rmse_sd,width_mae_mean,width_mae_sd
25g,compound,ALL_CONTEXT_SHARED_CENTER_WIDTH,5,315.8,11.054410884348384,6.2,0.4472135954999579,86.0,10.8397416943394,6.615429884605996,0.5798466087448845,4.426735205537998,0.3155468680545247,0.5685121040397243,0.07959701272690457,9.310137486460297,1.2302503270484593,6.719062147515773,0.6705756879957022,0.7454662116637201,0.03102268754816839,0.7215762156002825,0.07028232127291753,7.233398879678828,0.708903405850207,5.152208805979585,0.4666170851662633,6.9570169995021995,2.384392484235344,4.581343065909484,0.8557622829610586
25g,compound,M3_CENTER_WIDTH_FULL,5,315.8,11.054410884348384,6.2,0.4472135954999579,86.0,10.8397416943394,6.62425232409006,0.5941574860912232,4.51593366604645,0.3676815134610689,0.5679352496038244,0.07591058512528127,9.19946215350637,0.9519372380918866,6.893199188091174,0.5684540081267818,0.7499031339890038,0.03091892532632884,0.7191444857435868,0.06709101154180615,7.204459568795206,0.6365754771309127,5.345562378793028,0.4961771548638521,6.773827214636,2.3016193219272965,4.572246766258651,0.7675746732463984
25g,compound,MASS_FLOW_SHARED,5,315.8,11.054410884348384,6.2,0.4472135954999579,86.0,10.8397416943394,7.1228457992656375,0.48998489805640455,4.689680103041631,0.29629782250596876,0.5025977350213382,0.059348738895812554,10.965745253357799,1.6682512062762387,7.601557071710093,1.151259862789468,0.6478322289794638,0.04957894861708004,0.8013923790888212,0.07761004481328265,8.363455146511253,0.994558142635163,5.762083622700836,0.7113824302999785,7.702001857160601,2.3786578957012416,4.941276478785699,0.9175719377221426
25g,compound,conditional_EA,5,315.8,11.054410884348384,6.2,0.4472135954999579,86.0,10.8397416943394,7.139174267229711,0.5449493157189582,4.903305097976757,0.4142444966312176,0.5009874065849044,0.05598965408613368,9.584352014516407,0.6509430797975161,7.166838619406361,0.5475035440378889,0.7203264361225601,0.08047678559749794,0.7676613901355388,0.04207695557257028,,,,,,,,
25g,compound,paper_style_current_v2,5,315.8,11.054410884348384,6.2,0.4472135954999579,86.0,10.8397416943394,8.040766325811578,0.5151340424753231,5.83637981024574,0.499448940547964,0.3660954108670804,0.0721189164681627,10.959422805706982,1.2084704258255103,8.337979703577437,0.8439351656060017,0.6462331778891206,0.03355395969023499,0.8679854607850108,0.06695389070274528,,,,,,,,
25g,compound,scale_only,5,315.8,11.054410884348384,6.2,0.4472135954999579,86.0,10.8397416943394,7.710631582903218,0.5835258876719761,5.351097708549046,0.4875474192040528,0.4166914714662395,0.07434041798727235,9.039010958543463,0.9460045245572061,6.946258581607727,0.5318335977238524,0.7570236867197189,0.04170397364672674,0.7981848238313379,0.06442955785876997,,,,,,,,
25g,row,ALL_CONTEXT_SHARED_CENTER_WIDTH,5,321.6,4.929503017546495,6.4,1.3416407864998738,80.0,5.612486080160912,8.004525704033046,2.361053144390526,4.533893770115459,0.5429964912081138,0.1919192034710286,0.5844907398435357,10.929903489153151,2.4563947696485986,7.062714529885793,0.6166053269975837,0.5402700996398891,0.1897867929210251,0.8653134947859986,0.2333635940673591,8.9922782073216,2.4671870502569204,5.358997805856189,0.49248529466851126,6.52191420783001,0.4820360782779223,4.637213660987184,0.41109161360763097
25g,row,M3_CENTER_WIDTH_FULL,5,321.6,4.929503017546495,6.4,1.3416407864998738,80.0,5.612486080160912,8.080615139779223,2.351992730361982,4.62139721461979,0.5389039828214476,0.17468179932829062,0.606460098244153,11.645691075973948,2.6918568699286625,7.5706284157173,0.9154953096798965,0.4761762461648126,0.22923474839406496,0.8885986662449517,0.23834139529552062,9.27707058921963,2.657504670488721,5.6626830336244405,0.5525949673206183,7.338453521047318,1.402297267745019,5.346413921630637,1.318679553116956
25g,row,MASS_FLOW_SHARED,5,321.6,4.929503017546495,6.4,1.3416407864998738,80.0,5.612486080160912,7.9566415391155925,2.2587337821501943,4.537266759329617,0.532793397305093,0.20789579020353727,0.5578889491150393,10.85463825783984,2.20470321088012,6.984610399705448,0.508719815863192,0.5490508558265403,0.1682524474504722,0.8600256194287006,0.21938143953314432,8.93036200928753,2.2681880060574504,5.322311084027646,0.42381753392848603,6.526597359924563,0.4151542347057818,4.494780553928693,0.34851425293780086
25g,row,conditional_EA,5,321.6,4.929503017546495,6.4,1.3416407864998738,80.0,5.612486080160912,8.460570664555206,2.8746608485687446,4.852943958691683,0.8537800555933021,0.05616880603457848,0.8423920086118113,12.095896218848873,2.9639715020702218,7.8762930329298015,1.2672069965601422,0.4309374910219976,0.27049555278449744,0.9291058368353425,0.2808167771559182,,,,,,,,
