column,protocol,method,n_seeds,n_train_mean,n_train_sd,n_train_median,n_train_min,n_train_max,n_valid_mean,n_valid_sd,n_valid_median,n_valid_min,n_valid_max,n_test_mean,n_test_sd,n_test_median,n_test_min,n_test_max,V1_rmse_mean,V1_rmse_sd,V1_rmse_median,V1_rmse_min,V1_rmse_max,V1_mae_mean,V1_mae_sd,V1_mae_median,V1_mae_min,V1_mae_max,V1_r2_mean,V1_r2_sd,V1_r2_median,V1_r2_min,V1_r2_max,V2_rmse_mean,V2_rmse_sd,V2_rmse_median,V2_rmse_min,V2_rmse_max,V2_mae_mean,V2_mae_sd,V2_mae_median,V2_mae_min,V2_mae_max,V2_r2_mean,V2_r2_sd,V2_r2_median,V2_r2_min,V2_r2_max,combined_normalized_rmse_mean,combined_normalized_rmse_sd,combined_normalized_rmse_median,combined_normalized_rmse_min,combined_normalized_rmse_max
25g,compound,conditional_EA,5,315.8,11.054410884348384,311.0,306.0,334.0,6.2,0.4472135954999578,6.0,6.0,7.0,86.0,10.8397416943394,91.0,68.0,95.0,7.139174267229711,0.5449493157189575,7.068383886547529,6.321242856988675,7.662421737110383,4.903305097976757,0.4142444966312177,4.987177277670783,4.200850731847289,5.284502376541684,0.5009874065849044,0.0559896540861337,0.5065419788483425,0.4257423232362105,0.5785795610507587,9.584352014516409,0.6509430797975156,9.371477744484206,8.77893322211561,10.331735614158458,7.16683861940636,0.5475035440378895,7.086025613888588,6.381602777908241,7.833606694935429,0.7203264361225601,0.0804767855974978,0.7223271858528747,0.5913322616369547,0.7957205911209413,0.7676613901355389,0.0420769555725702,0.7509547803507872,0.7224112330481083,0.8242067910690215
25g,compound,paper_style_current_v2,5,315.8,11.054410884348384,311.0,306.0,334.0,6.2,0.4472135954999578,6.0,6.0,7.0,86.0,10.8397416943394,91.0,68.0,95.0,8.040766325811578,0.515134042475323,8.173927704814409,7.298216560392217,8.610779832714705,5.83637981024574,0.4994489405479637,5.930031543956043,5.105643505263158,6.4825303529411755,0.3660954108670806,0.0721189164681627,0.4070098575100536,0.2747968595115895,0.4364442007382011,10.95942280570698,1.2084704258255097,10.95490738280304,9.571471823090398,12.24059001103628,8.337979703577437,0.8439351656060009,8.584964838235292,7.420532904761904,9.163591384615383,0.6462331778891205,0.033553959690235,0.6380294317585584,0.607125429888524,0.6819037701093452,0.8679854607850107,0.0669538907027453,0.8776169529847387,0.7785659423685013,0.9377582676077736
25g,compound,scale_only,5,315.8,11.054410884348384,311.0,306.0,334.0,6.2,0.4472135954999578,6.0,6.0,7.0,86.0,10.8397416943394,91.0,68.0,95.0,7.710631582903218,0.5835258876719758,7.765024519530518,6.890786897379409,8.293514556032099,5.351097708549046,0.487547419204052,5.293031548234089,4.616368860553825,5.828696730167335,0.4166914714662396,0.0743404179872723,0.4102777439307191,0.3409875364377581,0.5386820846874859,9.039010958543466,0.9460045245572056,9.209304587109056,7.883828109730082,10.402792634399637,6.946258581607728,0.5318335977238523,7.295742768083116,6.354028859828371,7.385605842299219,0.7570236867197186,0.0417039736467267,0.7544216354237376,0.7086404771969991,0.809739059253814,0.7981848238313378,0.0644295578587699,0.8059974030018259,0.7089578095960977,0.8671501134898181
25g,row,conditional_EA,5,321.6,4.929503017546495,320.0,315.0,327.0,6.4,1.3416407864998738,7.0,5.0,8.0,80.0,5.612486080160912,83.0,74.0,86.0,8.460570664555206,2.874660848568744,7.281481858712445,6.073606785214806,13.040940703380588,4.852943958691683,0.8537800555933022,4.5545503484771865,4.1213641395697875,6.175252867636813,0.0561688060345783,0.8423920086118116,0.5074157296284696,-1.3480539231584174,0.653320250880286,12.095896218848871,2.9639715020702218,12.093573294903134,9.004931826669138,16.266213009584114,7.876293032929803,1.2672069965601405,7.53300933654594,6.565047250064314,9.423308176032432,0.4309374910219977,0.2704955527844974,0.4553333171503029,0.0050938814860015,0.6834074742489374,0.9291058368353424,0.2808167771559181,0.7866341067460443,0.6737474620689948,1.3716428888082026
25g,row,paper_style_current_v2,5,321.6,4.929503017546495,320.0,315.0,327.0,6.4,1.3416407864998738,7.0,5.0,8.0,80.0,5.612486080160912,83.0,74.0,86.0,7.408778452536362,1.4153402836955356,7.101146141570601,5.660511443624723,9.110250888056642,4.461541322827197,0.3017352647788808,4.545999385542169,3.9586068895348823,4.7527877499999995,0.3489682704456157,0.3584998162467805,0.5315126196096889,-0.1459110314714928,0.6375759461294832,11.111435026814735,2.498624952380193,9.654902498891754,9.03777499935986,13.86206830590979,6.967134604367942,0.586904708611299,7.042253756756756,6.132694337209302,7.608212445945945,0.5249340692568047,0.1970858160571463,0.6528498853688851,0.2826458777768776,0.6810938832002287,0.8257145674304758,0.1644702974066368,0.7546365488755138,0.645016960807611,1.0185480329463346
25g,row,scale_only,5,321.6,4.929503017546495,320.0,315.0,327.0,6.4,1.3416407864998738,7.0,5.0,8.0,80.0,5.612486080160912,83.0,74.0,86.0,8.754031122429044,2.1955507335462534,7.56017641318495,6.643961694366093,11.431547523006683,5.249917288104161,0.5987543077730613,5.368358625267206,4.518832200647591,6.102125572606909,0.0522785053044159,0.6362729628741998,0.4689873646790663,-0.8042648072010028,0.5534244246308004,11.055945781345788,2.2439941818852844,9.797024734420472,8.827550157434036,13.851414333653178,7.305867457084025,0.5931847640190552,7.4772865394669905,6.436034280944685,7.913138822987908,0.5329953831295663,0.1702675311453121,0.6294309506234059,0.3391563532084021,0.6957572857963163,0.924226011630863,0.2186556324497775,0.8023261963546102,0.711497423747136,1.1758507040868664
40g,compound,conditional_EA,5,360.8,4.4944410108488455,360.0,355.0,367.0,7.0,0.0,7.0,7.0,7.0,88.2,4.494441010848846,89.0,82.0,94.0,16.371567586286186,2.375872634708675,15.879723244862497,14.672108854758235,20.443269094915095,10.476350743277814,0.6284223087685963,10.306088534270112,9.79380710192416,11.461148557583869,0.6456537539577906,0.0694642413039217,0.6641396793527231,0.5291863555284837,0.7052039696004447,22.261415682225454,1.8455438068765169,22.14098566299989,20.50426689327878,25.01531029634707,14.917864668906148,0.9770054222025762,14.239846581491063,14.170693015424662,16.12825221848037,0.6451984049011096,0.0295041355784277,0.6416035523317181,0.6007288562399193,0.6749660706319238,1.7665713618940837,0.217950310661913,1.6908812451069628,1.5959043626688367,2.1391918410859394
40g,compound,paper_style_current_v2,5,360.8,4.4944410108488455,360.0,355.0,367.0,7.0,0.0,7.0,7.0,7.0,88.2,4.494441010848846,89.0,82.0,94.0,16.239652838100447,2.40242515429105,16.352338654264223,13.3403493036734,19.924557720890004,11.001170568230654,0.7938774633965017,10.879148627906975,9.904087022471913,12.04349392222222,0.6502713567455283,0.0744150638199961,0.6327515133862534,0.5527753533863113,0.743013725183804,22.08333889854968,2.734859169570958,21.723623818631744,19.478886047727112,25.640296621341985,15.38948764296526,1.5172151086376997,15.718043234042552,13.56340087804878,17.37409583333333,0.6472129736699784,0.0795744355458879,0.6789766471506486,0.5450980841227147,0.7210143339350029,1.7525430013242882,0.2360376265498908,1.700389336013973,1.4721326784070292,2.1139455742019506
40g,compound,scale_only,5,360.8,4.4944410108488455,360.0,355.0,367.0,7.0,0.0,7.0,7.0,7.0,88.2,4.494441010848846,89.0,82.0,94.0,18.537279743999555,2.3846320580219675,17.216946687206512,16.740828315434293,22.287340115124223,12.847500190698614,1.4771650183564062,12.2845968398969,11.565070503911368,14.876291118938934,0.5465323041992296,0.0705987438789974,0.5783569739255173,0.4404165890546418,0.6090873549939967,21.144087195597688,2.276341163386896,20.59739626464582,17.99900902722267,23.789136304218086,13.843433729990547,1.9431071137921,12.913797656548928,12.05181548005616,16.073799446974693,0.6791394852263924,0.0464938396604405,0.6710797239654065,0.6389116435236468,0.7540926989742224,1.9065499858937964,0.2287468479647048,1.762774960591445,1.736034868063269,2.257195169008359
40g,row,conditional_EA,5,357.2,6.300793600809345,359.0,348.0,364.0,6.8,1.3038404810405295,7.0,5.0,8.0,92.0,5.787918451395113,90.0,87.0,100.0,15.338436898374765,3.3776020539163905,17.333311735378697,10.119534321975475,17.882285493411896,9.671110386210092,1.6198455497692288,10.349348164064038,7.786935292233945,11.366195726330762,0.6133317965237592,0.1515942238439367,0.5869024945560256,0.4120895170043385,0.8259799164800411,18.516817048079872,2.3206132672822024,18.353117752836685,16.0120034184542,21.10529414382031,13.195457596346182,1.665369186564596,13.262746424397864,11.240763888248438,15.07242624969592,0.7268836164841751,0.0174697615289517,0.726333170237806,0.7038592914870608,0.7445179753048339,1.605990576040464,0.2750858445548333,1.76103565494668,1.2150309037974545,1.83527938268894
