column,protocol,seed,method,n_train,n_valid,n_test,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,center_rmse,center_mae,width_rmse,width_mae
40g,row,1425370602,MASS_FLOW_SHARED,354,6,96,16.271626403595043,10.7837654309772,0.620102137393728,20.087481216915535,14.435685571190021,0.7403570306899009,1.7066817788124866,1.7066817788124866,1.6572546271545991,1.6572546271545991,True,17.470041367828255,11.90603811962506,10.758070149505873,7.043155188019514
40g,row,1425370602,ALL_CONTEXT_SHARED_CENTER_WIDTH,354,6,96,16.252242259404273,10.743854511590419,0.6210067314958394,20.05861817877331,14.327326578213814,0.741102639444345,1.7045363182630628,1.7045363182630628,1.655126938158664,1.655126938158664,True,17.438839124367945,11.841134845379548,10.794194892534492,7.01435349577238
40g,row,536279090,conditional_EA,348,8,100,10.119534321975475,7.786935292233944,0.825979916480041,18.35311775283668,13.262746424397864,0.703859291487061,1.2150309037974545,1.2150309037974545,1.2129356418988655,1.2129356418988655,True,,,,
40g,row,536279090,scale_only,348,8,100,14.705791873122346,11.250265301942362,0.6325018579366382,17.577335836095394,12.186460128752147,0.728365761629254,1.5294596884670564,1.5294596884670564,1.4798266145899297,1.4798266145899297,True,,,,
40g,row,536279090,paper_style_current_v2,348,8,100,10.109055726062499,7.716983489999999,0.8263401192293771,15.201236769767034,10.58797157,0.7968409113176415,1.1269398156904662,1.1269398156904662,1.1142431995304087,1.1142431995304087,True,,,,
40g,row,536279090,M3_CENTER_WIDTH_FULL,348,8,100,10.125387651738096,7.2864411573084285,0.8257785452529481,14.704516936227305,10.769356321751456,0.8099009559945483,1.1153101984535152,1.1153101984535152,1.0998309122219818,1.0998309122219818,True,11.955683945996256,8.796780667547988,8.1079635165263,5.637613960330696
40g,row,536279090,MASS_FLOW_SHARED,348,8,100,11.9837498233168,8.896602950307452,0.755958444054881,15.820400600531999,11.423917977719162,0.7799540590352116,1.2808914494219101,1.2808914494219101,1.2524578046489028,1.2524578046489028,True,13.509626159427757,9.703008189174444,7.599386429728272,5.603286642051741
40g,row,536279090,ALL_CONTEXT_SHARED_CENTER_WIDTH,348,8,100,11.969451792487531,8.865969252714404,0.7565404375310446,15.768657856233158,11.320934439783052,0.7813910847821388,1.2785784381573004,1.2785784381573004,1.249941264434884,1.249941264434884,True,13.476608447861603,9.649100188291419,7.573690815669373,5.550406654066788
40g,row,2767143051,conditional_EA,359,7,90,13.714624065578011,8.10507336917106,0.6727771225026125,16.012003418454196,11.240763888248438,0.7445179753048339,1.417985490217104,1.417985490217104,1.3682486954589228,1.3682486954589228,True,,,,
40g,row,2767143051,scale_only,359,7,90,16.82104795411468,11.856859685222876,0.5077542874980336,17.25107974141468,11.882548851194537,0.703447515896793,1.689465699267537,1.689465699267537,1.6039021971263634,1.6039021971263634,True,,,,
40g,row,2767143051,paper_style_current_v2,359,7,90,10.819079198636862,7.548342322222222,0.796363115433235,12.964650574050788,9.507497611111111,0.8325093248831461,1.1259601622489461,1.1259601622489461,1.089736709778372,1.089736709778372,True,,,,
40g,row,2767143051,M3_CENTER_WIDTH_FULL,359,7,90,12.2976349234542,8.017698381752064,0.7369010974893306,15.916396501445657,11.121869783034194,0.7475598090217714,1.3068867206822343,1.3068867206822343,1.2753608289816214,1.2753608289816214,True,13.387984987802394,9.289787995508801,9.60075186998887,6.3477344305666
40g,row,2767143051,MASS_FLOW_SHARED,359,7,90,13.779185160800175,9.381173162333322,0.6696890915250537,16.2232337591222,11.539845725607929,0.737732876591251,1.427637822351109,1.427637822351109,1.3789149225564912,1.3789149225564912,True,14.243088959715193,9.66690295125541,9.729140873686266,6.4447464246378
40g,row,2767143051,ALL_CONTEXT_SHARED_CENTER_WIDTH,359,7,90,13.775805809888677,9.372658471014839,0.6698510894339109,16.22121474962742,11.500312147438104,0.7377981517232455,1.4273307784888365,1.4273307784888365,1.3786376936822138,1.3786376936822138,True,14.23948235095534,9.627580981917426,9.733952785888741,6.384389754941401
40g,row,1362771960,conditional_EA,361,8,87,17.642428875529735,10.349348164064036,0.5869024945560255,21.10529414382031,15.07242624969592,0.7164051633204205,1.83527938268894,1.83527938268894,1.7758935264326294,1.7758935264326294,True,,,,
40g,row,1362771960,scale_only,361,8,87,18.507325478212522,12.153195106361697,0.5454065778168755,19.026456180059053,14.462172035633747,0.7695210263034487,1.8597407106122141,1.8597407106122141,1.7661206088558725,1.7661206088558725,True,,,,
40g,row,1362771960,paper_style_current_v2,361,8,87,14.114413126354627,8.084523586206895,0.7355999871697525,16.287930074417332,11.039848701149426,0.8310931380784737,1.4551699947618149,1.4551699947618149,1.402198791091514,1.402198791091514,True,,,,
40g,row,1362771960,M3_CENTER_WIDTH_FULL,361,8,87,16.051162306796005,9.399078099298865,0.6580608762485207,18.904776847995823,14.052730938339332,0.772459550549992,1.6631781569846293,1.6631781569846293,1.6064815653136604,1.6064815653136604,True,16.68231500691522,11.291568984097196,10.810285018604265,7.680861760841738
40g,row,1362771960,MASS_FLOW_SHARED,361,8,87,16.120553502705917,10.189997168585801,0.6550979938234212,19.011357624717267,14.451188958080959,0.7698866770330708,1.6709150647572197,1.6709150647572197,1.6141995489159435,1.6141995489159435,True,16.77705864430193,11.692736877383624,10.804126106243602,7.625245316468991
40g,row,1362771960,ALL_CONTEXT_SHARED_CENTER_WIDTH,361,8,87,16.11893791326295,10.17398840431676,0.6551671219855355,19.03359990598887,14.406485121051093,0.7693479212647805,1.6712793790780283,1.6712793790780283,1.614788795842605,1.614788795842605,True,16.787721768952803,11.673024191119826,10.811371832412535,7.564639391131739
