method,25g_compound_combined_nrmse,40g_compound_combined_nrmse,mean_25g_40g_compound_nrmse,V1_mean_rmse,V2_mean_rmse,mean_mae,seed_stability,wins_vs_conditional_ea,primary_rank
M3_CENTER_WIDTH_FULL,0.7191444857435867,1.7177455294905979,1.2184450076170923,11.30892804589372,15.305276135000758,9.139539911996243,9/10 combined-NRMSE wins vs conditional_EA,9,1
conditional_EA,0.7676613901355389,1.7665713618940835,1.2671163760148114,11.75537092675795,15.922883848370933,9.36608978239177,reference,0,2
paper_style_current_v2,0.8679854607850108,1.7525430013242882,1.3102642310546493,12.140209581956013,16.52138085212833,10.141254431254774,3/10 combined-NRMSE wins vs conditional_EA,3,3
ALL_CONTEXT_SHARED_CENTER_WIDTH,0.7215762156002825,1.9246929916685662,1.3231346036344243,12.439137721021773,16.119414389181827,9.33383642779081,5/10 combined-NRMSE wins vs conditional_EA,5,4
scale_only,0.7981848238313379,1.9065499858937964,1.3523674048625671,13.123955663451389,15.091549077070576,9.747072552711483,1/10 combined-NRMSE wins vs conditional_EA,1,5
MASS_FLOW_SHARED,0.8013923790888212,1.9090222750686068,1.355207327078714,12.627838507212797,16.82213682604081,9.561780654470855,1/10 combined-NRMSE wins vs conditional_EA,1,6
