outer_seed,arm,control_draw_index,batch_size,all_from_shared_shortlist,unique_compounds,compound_hhi,joint_mean_pairwise_distance,joint_min_pairwise_distance,graph_mean_pairwise_distance,graph_min_pairwise_distance,condition_mean_pairwise_distance,condition_min_pairwise_distance
17,hybrid,,25,True,17,0.07200000000000001,29.155833304446755,9.97311911946355,28.40175981322675,9.432888305347426,5.7034384699820375,0.2009563048300259
17,random_0,0.0,25,True,23,0.04639999999999998,14.945891469165092,4.155972093013155,14.612592673001126,4.043987673395098,2.626479771184252,0.011252917192804773
17,random_1,1.0,25,True,21,0.052799999999999986,15.468801799162678,2.1240885656142408,14.728905207501036,0.0,3.7129791019296894,0.09986885310881988
17,random_2,2.0,25,True,20,0.05919999999999999,16.516359312152982,0.9855578860036124,15.995930188596242,0.0,3.487090048337928,0.04782439726566956
17,random_3,3.0,25,True,23,0.04639999999999998,15.036006542237422,1.1008992140789668,14.733347689606186,0.0,2.512748316359304,0.002813372384987023
17,random_4,4.0,25,True,22,0.049599999999999984,16.040756854209704,1.2893836453868368,15.487784579337221,0.0,3.152710345399158,0.015003794199215742
17,random_5,5.0,25,True,24,0.0432,19.748642500185063,0.9621146900833649,19.35621514721077,0.0,3.149031198168363,0.00562638705300933
17,random_6,6.0,25,True,22,0.052799999999999986,16.70639565771961,5.075579667325901,16.514385403369282,4.507198981375085,2.1387563738739948,0.0
17,random_7,7.0,25,True,23,0.04639999999999998,17.729635339863833,3.7282705576433286,17.236888578134295,3.7226764875888083,3.1730594037415067,0.009377335602813357
17,random_8,8.0,25,True,21,0.052799999999999986,14.117419504508963,4.0448670615791436,13.791801987079817,3.065748780983941,2.6854219468653446,0.05063762656387061
17,random_9,9.0,25,True,23,0.04639999999999998,14.368729983330224,0.9377335602813358,14.028557332130925,0.0,2.5688134563442016,0.018754671205626794
137,hybrid,,25,True,21,0.052799999999999986,23.285262164515014,10.0999609076396,22.7792020121543,9.837139295284844,4.24566616452247,0.05925995988242727
137,random_0,0.0,25,True,23,0.04639999999999998,15.420857589933421,1.8592829014321,15.025536055006114,0.0,2.931754575629148,0.003703694510068356
137,random_1,1.0,25,True,22,0.049599999999999984,17.37436526365189,4.36557232239957,17.11747095793687,4.334455661454284,2.5141799359277033,0.025000291160183652
137,random_2,2.0,25,True,21,0.05599999999999999,15.882521316222116,0.8944558583662894,15.538372031123435,0.0,2.7736942589638467,0.08333453934542742
137,random_3,3.0,25,True,22,0.049599999999999984,14.962495580647543,6.06985935009502,14.601282041341486,5.07565535076569,2.831512321386634,0.10833483050561099
137,random_4,4.0,25,True,24,0.0432,14.577243716617012,4.984499749839143,14.4020882118989,4.649316955851408,1.9479175980332881,0.024074367532666674
137,random_5,5.0,25,True,24,0.0432,17.689612499290615,4.422039052961492,17.443423448558235,3.954106772858197,2.422003407803503,0.050926505947884504
137,random_6,6.0,25,True,25,0.04,17.05653651498804,4.631510116885385,16.67364875611506,4.019231123312166,3.0273215775948197,0.02500043244707273
137,random_7,7.0,25,True,24,0.0432,14.603791679421166,4.734183298945207,14.338780327842517,4.6133927450357435,2.3519864262470143,0.009259377562059745
137,random_8,8.0,25,True,23,0.04639999999999998,14.876111690640585,2.315202501412458,14.554819213209317,1.6876890839419267,2.7086717829287656,0.011111366103983035
137,random_9,9.0,25,True,24,0.0432,16.44560464523318,3.571227841746238,16.154811027240743,3.376559010624026,2.668698441741584,0.0
941,hybrid,,25,True,21,0.05599999999999999,26.393291772286418,9.734954981894168,25.860601947464556,8.402465635240501,4.557907722958359,0.18294046167719827
941,random_0,0.0,25,True,23,0.049599999999999984,15.493643799825495,3.392109572252397,14.904628410668971,2.874967855273046,3.77158311011909,0.06432552147978068
941,random_1,1.0,25,True,24,0.0432,19.40446467590428,6.332825195539698,18.88618873595983,5.89488640777825,3.981832881539974,0.16568732781797374
941,random_2,2.0,25,True,25,0.04,18.677622804999253,3.3137369299421136,18.230757619735527,3.1719239872529363,3.474950842903948,0.003898536732884539
941,random_3,3.0,25,True,23,0.04639999999999998,17.411949818168505,5.479005635556955,16.763229037277334,4.945186931290986,4.206533871533904,0.04385844529694749
941,random_4,4.0,25,True,24,0.0432,15.947391763521551,5.279791687049076,15.300759735633225,5.276387245838766,4.15614766035543,0.189572916268487
941,random_5,5.0,25,True,24,0.0432,16.429011658873616,3.71436805176354,15.904978074648394,2.8508355603641506,3.5920205910708196,0.003898536732884539
941,random_6,6.0,25,True,24,0.0432,16.17544263633634,0.9999709168855299,15.5648511189765,0.0,4.046745444075486,0.011695535840250404
941,random_7,7.0,25,True,23,0.04639999999999998,19.15652488038222,5.059918012693681,18.718516882142623,4.438199610715513,3.5711268608019773,0.005847767920125202
941,random_8,8.0,25,True,23,0.04639999999999998,18.549383585819665,6.098250525028446,18.104955978780644,5.899824634332924,3.6825890066569826,0.05847782791805889
941,random_9,9.0,25,True,22,0.052799999999999986,15.56273511949574,4.014453031149069,15.084992418327396,3.3528401788157565,3.4159204360807736,0.06822413257106871
2027,hybrid,,25,True,17,0.06880000000000001,30.195023917762615,11.0778485809576,29.544223572913822,10.888763596243606,5.077010101907577,0.06414208782060027
2027,random_0,0.0,25,True,21,0.05599999999999999,17.064913417367922,1.4494203175860343,16.65464405088315,0.0,3.133031167698804,0.05935550874788498
2027,random_1,1.0,25,True,24,0.0432,17.91885214478029,4.177853508131975,17.555460506459585,0.0,2.8571376740051244,0.0
2027,random_2,2.0,25,True,24,0.0432,15.57122079846077,1.432188223902335,15.09852890255619,0.0,3.343300698949928,0.033507149103447764
2027,random_3,3.0,25,True,24,0.0432,16.095229025499375,3.520495299137174,15.728963133073623,3.5200444134079834,2.8519732527089463,0.02441218141166046
2027,random_4,4.0,25,True,21,0.052799999999999986,16.741962796941614,2.15036662615076,16.314387707029177,2.127895787361577,3.1498218540113534,0.005744128614072336
2027,random_5,5.0,25,True,24,0.0432,15.232134911718516,5.098219360757259,14.589042397981741,4.235007542847153,3.229932014860201,0.11200948541959943
2027,random_6,6.0,25,True,24,0.0432,15.057854514159848,2.514095984235408,14.490432880676027,1.6293067817516969,3.696066055839298,0.0
2027,random_7,7.0,25,True,22,0.049599999999999984,14.953944943341591,5.0350666632058045,14.688631118185686,4.923369558028897,2.5032607574832353,0.011488111148885816
2027,random_8,8.0,25,True,21,0.052799999999999986,17.58285632728335,0.9755346736198635,17.229137668246622,0.0,3.0887593551871357,0.022976368377030765
2027,random_9,9.0,25,True,21,0.052799999999999986,19.44099061546341,5.482662406703139,19.062904945357356,5.0495834311717305,3.2177663344270444,0.0038293216898757088
4099,hybrid,,25,True,20,0.055999999999999994,27.872554756062467,9.301132355252552,27.33512284965198,9.093110497914273,4.771040499039642,0.0
4099,random_0,0.0,25,True,24,0.0432,20.649032178712382,2.737121389894138,20.063998428465123,0.0,4.229889816931692,0.07014546478221495
4099,random_1,1.0,25,True,22,0.052799999999999986,19.611558064405273,1.0006584155206086,19.22582078557304,0.0,3.129727612679684,0.010847078984745018
4099,random_2,2.0,25,True,24,0.0432,16.751746994615534,4.834898926375207,16.303161212379788,4.706174772516615,3.3020659460271795,0.16270866750841162
4099,random_3,3.0,25,True,22,0.049599999999999984,16.98540733199821,1.5738443750548519,16.38522823216781,0.0,3.95340796622649,0.11570396892528421
4099,random_4,4.0,25,True,23,0.04639999999999998,17.24379591992004,3.357764457907874,16.564135214649877,0.0,4.352609896609571,0.0
4099,random_5,5.0,25,True,23,0.04639999999999998,16.725479124042796,4.9067536333618955,16.380261177017474,4.584132869068685,2.9445378261814947,0.02440613461044594
4099,random_6,6.0,25,True,22,0.049599999999999984,18.06411735057053,0.8912818403715024,17.442680386588012,0.0,4.074586181906871,0.04519678312074671
4099,random_7,7.0,25,True,21,0.052799999999999986,15.753396573029283,0.8623559515875663,15.223030501496153,0.0,3.5925135557055548,0.1880187943325096
4099,random_8,8.0,25,True,23,0.04639999999999998,13.797638259469535,5.930782012975173,13.328814185493432,5.406430498688565,3.2177637257855927,0.0
4099,random_9,9.0,25,True,23,0.04639999999999998,15.869762616122594,2.4442458435509353,15.455023610793742,0.0,3.0902712608389886,0.051162731734295
