checkpoint_sha256,best_epoch,epochs_run,normalized_valid_score,train_rows,validation_rows,trainable_parameters,total_parameters,train_config_hash,labeled_ids_hash,validation_ids_hash,initialization_policy,trainable_scope,scaler_hash,init_source_sha256,frozen_parameters_sha256_before,frozen_parameters_sha256_after,trainable_parameters_sha256_before,trainable_parameters_sha256_after,outer_seed,arm,member_index,member_seed,reused_after_interruption
ce778199a29248b2e8572098e648d88e002694a92c670a41fb2e8e0bfd747d4a,104,204,0.9760378866648681,318,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,ca64a47ad16a965c910e7951fcf7cf4c41ab02d0bdeabac2f21d4a082c3faaaf,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,765e0e507b7857d5b2f7a321e8342554aa6ffaa6580477499acfce47ee7b6864,17,round0,0,1700,True
27ed382b600dbeabce4a67d132e2bc134293983935249dcf4317dbdfdd08bf54,167,267,1.1793740508466497,318,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,ca64a47ad16a965c910e7951fcf7cf4c41ab02d0bdeabac2f21d4a082c3faaaf,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,d11d132091c69aada61358be0db8ed79a2d8794f6c2a1760f52d6e3c741291e6,17,round0,1,1701,True
7a0bd5c09a00a8d72cf34fae88cfb671e0fcecbce16da4d759dbc56c544b98b0,127,227,0.9534187710694095,318,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,ca64a47ad16a965c910e7951fcf7cf4c41ab02d0bdeabac2f21d4a082c3faaaf,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,d87e2d1370251d172e784b74e38fd3d7a62b7ae407de41f7c604caf878a5124a,17,round0,2,1702,True
e5c44258210f4cefa734557bf0cd8823f6dc9e1dbf515b368f1f70c2ecb9e7f8,119,219,0.5558569037773675,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,83cf799f562cb84f62672a798bd05dcf478797b47a838dca3db4b53b2901b029,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,2842f1ee5244e55532e4086e647bf683cf1b49883eca3affa157fc188b476709,17,hybrid,0,1700,True
6e40fcb4497988279b052d2b623fb40732685729de1d92ab7fa94ff1df2fc2f9,393,493,0.7609343003767215,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,83cf799f562cb84f62672a798bd05dcf478797b47a838dca3db4b53b2901b029,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,e70a5c30937dddc4ff15cbc2ebeaafa742447cc1716c6f5c429feb3b6102e253,17,hybrid,1,1701,True
36b9280b9859774c4920afd209d4b64946af653d46439fe6fe19c1405a13a668,124,224,0.6168683823927323,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,83cf799f562cb84f62672a798bd05dcf478797b47a838dca3db4b53b2901b029,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,2c89b88c42ae2dc9b65f35f334c1945f45555d664980cdfd342f008c5b89f0f1,17,hybrid,2,1702,True
52288ed91555613cd1d820ab47ca45ec6c05753404ac92d1b58f07a0fa4236ab,98,198,0.9394741098984214,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,bdf75f0cb0511febe1ed0ef2db326f1907aa7b55253aab906d219924b6ab7a95,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,bde7f5b1a87bde11502fc3fdce451fbbf23523c120b4d940665c26c8a317efbe,17,random_0,0,1700,True
e008779ba26d160a51c4da9c3ee08550980b1f8ae696e2df5c3f0a18c9e922c6,103,203,1.1516563165692077,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,bdf75f0cb0511febe1ed0ef2db326f1907aa7b55253aab906d219924b6ab7a95,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,a7298ddf0310ca2b7001ebaf09e4e187fc613faf9764264f01a5bbb7e57502ff,17,random_0,1,1701,False
ae62bed9c1f2a349c31636542e95306884428616ed78d7b3c41f8f6d33e7c36e,129,229,0.8274346045787665,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,bdf75f0cb0511febe1ed0ef2db326f1907aa7b55253aab906d219924b6ab7a95,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,701930fd7b57a23323ef41b0e2555aae71919914c738bb527528d2c72aba4a7d,17,random_0,2,1702,False
590d2184d53a366bad437bc3ac1d6a07d1762ebdc2df3bd4c0e103161516a2e6,129,229,0.9215000994971105,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,c9d3a423bdf2a22747c4bbbcfb544743b508e22b07cb8c9a1df744ca311c3073,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,seeded_random,full_source_free,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,,,,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,b55aca21fad06c4f009fd23b12d696ace69107fe149da0c280d0a4645a40965f,17,random_1,0,1700,False
