outer_seed,arm,member_index,member_seed,initial_parameter_hash,validation_ids_hash,scaler_hash,test_used_for_checkpoint_selection
17,hybrid,0,1700,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,hybrid,1,1701,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,hybrid,2,1702,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_0,0,1700,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_0,1,1701,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_0,2,1702,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_1,0,1700,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_1,1,1701,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_1,2,1702,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_2,0,1700,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_2,1,1701,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_2,2,1702,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_3,0,1700,1e5398f49901567ff3e783f8dd66bf6c36006f1839d8fc067ec57f042953e291,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_3,1,1701,d055b8331e7c12dc2c98586660196f4e454240f0a57ce73a2efc5bf995d9aba6,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
17,random_3,2,1702,16d3b7ca0deebbc6a7acdfd10bdc8e263983693e16857fb6ffeb1a83ccf80760,d1d244c95c4fd0a6d4563476b80b7afbfc03345cd811406b8ca2c9c7e831a3e0,0ff6273e0a07c95c114a5e591e23ce6401a970c21a35379afa9ac412d6954931,False
