outer_seed,baseline_NRMSE,hybrid_after_NRMSE,hybrid_gain,random_gain_mean,random_gain_median,random_gain_std,random_gain_min,random_gain_max,hybrid_minus_random_mean,hybrid_minus_random_median,hybrid_beats_random_count,hybrid_percentile_among_controls
17,0.66227034911725,0.6149440744161392,0.04732627470111084,0.019115721236575678,0.020934590748287296,0.029964448782707223,-0.046640679295696486,0.057490404972088904,0.02821055346453516,0.02639168395282354,8,0.8
137,0.5198738021406275,0.5703060856536384,-0.05043228351301088,0.001898498403139115,0.0026340877259916073,0.023417921492123673,-0.04333989509176717,0.04318438341763653,-0.052330781916149996,-0.053066371239002486,0,0.0
941,0.8167612912220901,0.7685179991809128,0.04824329204117728,0.03824330568362176,0.032066099786528246,0.029356638417002243,-0.0016351746648377574,0.09433232771861333,0.009999986357555515,0.01617719225464903,8,0.8
2027,0.5327785744711596,0.49690571223328894,0.03587286223787067,0.03435371441897089,0.0330459716554366,0.02452256527140844,0.0007221094116650617,0.06933774624805189,0.0015191478188997798,0.0028268905824340718,5,0.5
4099,0.6648435581325562,0.6556773630826458,0.009166195049910453,0.033605504748751,0.02435420050667242,0.03380731872271709,-0.01596338221083171,0.1023973360467223,-0.024439309698840547,-0.015188005456761966,1,0.1
