outer_seed,control_draw_index,control_seed,selection_order,sample_id
17,0,1770000,0,ff36ed72f76515960408
17,0,1770000,1,bc3692f55b839d2f2c07
17,0,1770000,2,4862e2fb71344ce16021
17,0,1770000,3,c3eb276f59965c3608f1
17,0,1770000,4,2cc254396123c76b9a13
17,0,1770000,5,636491dd3f00eef5ba6f
17,0,1770000,6,5dfa7a7352e7a66c29e6
17,0,1770000,7,067c1cac53731e589c4b
17,0,1770000,8,17ff889395addf7d6295
17,0,1770000,9,17418a1ba5c9443057c3
17,0,1770000,10,9a32b65bc21fdc5f7286
17,0,1770000,11,7d406784048b9e313d67
17,0,1770000,12,f394f6b40e55953df8e1
17,0,1770000,13,754f1d33b0ed61557754
17,0,1770000,14,80762b40f399bb68342a
17,0,1770000,15,c6a55a8d89f33c69899b
17,0,1770000,16,2353a25bf629e6525ba2
17,0,1770000,17,5fc9dcdecdbc52f2e3ea
17,0,1770000,18,bbb514661c0a49694d6a
17,0,1770000,19,bd62986a3ea6d28161ec
17,0,1770000,20,941f69aeb5995f34ea50
17,0,1770000,21,cdc8c1db00222994a1aa
17,0,1770000,22,c3add4f9b8eb5e002281
17,0,1770000,23,a3c1a0ac40733e8650fb
17,0,1770000,24,64c9e190e213bb061867
17,1,1770001,0,68ca46900cfea89e5164
17,1,1770001,1,ec53cb944de53e46b911
17,1,1770001,2,44c8b389a6faf44f1f4c
17,1,1770001,3,390544a9eca0a0e37f04
17,1,1770001,4,d448d8de2d8dacec62c3
17,1,1770001,5,39dac9377600ed74a554
17,1,1770001,6,35afc3cdfff849ffe8c9
17,1,1770001,7,c5879e8f93b99dcf6b34
17,1,1770001,8,0b247863fd6e8aaf44d8
17,1,1770001,9,6f3dff9a427ee1563a3e
17,1,1770001,10,2f0437567e9d50e90296
17,1,1770001,11,76435080f7632be26e64
17,1,1770001,12,3774a4dac6dd0f01d48d
17,1,1770001,13,7c9b7238a83ed646815a
17,1,1770001,14,9f3b75bc3a2c4004a893
17,1,1770001,15,067c1cac53731e589c4b
17,1,1770001,16,bf09d868ed4d68a97b40
17,1,1770001,17,3cd0aa35793392d15513
17,1,1770001,18,54a23aa9aaa695bdc06b
17,1,1770001,19,9a32b65bc21fdc5f7286
17,1,1770001,20,e78030609295a056f86f
17,1,1770001,21,8cdde884333140be60cb
17,1,1770001,22,aa3ac48b626bc54d5dc6
17,1,1770001,23,c8c273cfee014d3eee97
17,1,1770001,24,55200f8e501a16ffa0cf
17,2,1770002,0,e1820b06a1bf3612ff8c
17,2,1770002,1,17418a1ba5c9443057c3
17,2,1770002,2,66da447ca0fe7160cc1c
17,2,1770002,3,79cb1738d945317e5bfa
17,2,1770002,4,1c25c350b171450ed58f
17,2,1770002,5,3c74589796aa180ea5ba
17,2,1770002,6,859ae738b615cf17b849
17,2,1770002,7,9f3b75bc3a2c4004a893
17,2,1770002,8,02ddeed8a16d3adf3e28
17,2,1770002,9,a5f9179bfb146ad70953
17,2,1770002,10,af23f4f96549d4e1659f
17,2,1770002,11,660a7ad5a1b46e40ee6b
17,2,1770002,12,9249ed2c527f70995033
17,2,1770002,13,74c8fcd8ac3f6caedcd2
17,2,1770002,14,ef04e37e6ef5b90e7ffd
17,2,1770002,15,c096c324a71974b6ab37
17,2,1770002,16,9a32b65bc21fdc5f7286
17,2,1770002,17,01ed985e6ebf7d4a3dc8
17,2,1770002,18,28e9fea3e3293f2b8a0e
17,2,1770002,19,e4a7e43d15fcdee2ba1d
17,2,1770002,20,4ec77f604fa08f281ef7
17,2,1770002,21,c34f8af0b9b65f8bfc2e
17,2,1770002,22,dc9dc88c690b5a1d563f
17,2,1770002,23,47f2e980caaa77baa535
17,2,1770002,24,9de8edaa330ab971f479
17,3,1770003,0,8cdde884333140be60cb
17,3,1770003,1,66747ae127e03516ffda
17,3,1770003,2,0da8847ecc094a8c14db
17,3,1770003,3,e6544a01d42439a41712
17,3,1770003,4,6c1c34b12c66ebcf39a4
17,3,1770003,5,28e9fea3e3293f2b8a0e
17,3,1770003,6,20d4b1612cbdd88b6755
17,3,1770003,7,4862e2fb71344ce16021
17,3,1770003,8,704ba630f25fe7f20166
17,3,1770003,9,bfcfe9bcef40efc290f2
17,3,1770003,10,34a175fe276b9770fee4
17,3,1770003,11,316b7260106904f99ae8
17,3,1770003,12,19e5d078bc0eb8a91e1e
17,3,1770003,13,4ed0e95e81e3b84fa38d
17,3,1770003,14,a1809a6c4c3ada20bcb0
17,3,1770003,15,859ae738b615cf17b849
17,3,1770003,16,92f7fe9d8581717a9949
17,3,1770003,17,9bef8796fc48c4836e6b
17,3,1770003,18,8e0b5e430c52b11e3c3f
17,3,1770003,19,e4fd83fb3852eb354a66
17,3,1770003,20,855832bd4005ac7abdc6
17,3,1770003,21,1a382a7d3a13ed7fb28f
17,3,1770003,22,4b8ba288d549f6cfc94b
17,3,1770003,23,c4b5a5499258f39b7ac1
17,3,1770003,24,ea004678fc850c759752
17,4,1770004,0,35944fdd59ac331c3fcb
17,4,1770004,1,5d6d4ac0c1dfacbde53d
17,4,1770004,2,09e3b02ff83bb8eb2941
17,4,1770004,3,48853fd78c77153b963a
17,4,1770004,4,01ed985e6ebf7d4a3dc8
17,4,1770004,5,f90a5a5a54509c085ebd
17,4,1770004,6,4fce6e1a422b4f54c601
17,4,1770004,7,c0c1e5902a4bf388fcd0
17,4,1770004,8,53becf1a41d72abcc45a
17,4,1770004,9,942b8fc9cf013acda52b
17,4,1770004,10,488727f2d41859d1ac45
17,4,1770004,11,2cfa393cb79664e100ce
17,4,1770004,12,84e56cf199f91314159c
17,4,1770004,13,e99da719af7e2c3e9a93
17,4,1770004,14,8d48112406e3064efdbc
17,4,1770004,15,5dfa7a7352e7a66c29e6
17,4,1770004,16,67e9e23958a468891c07
17,4,1770004,17,da4ade272ce8100d5b06
17,4,1770004,18,6defbf00ecb558b77d50
17,4,1770004,19,bcd986158b7450087591
17,4,1770004,20,2486f5f33a2106f6a2e5
17,4,1770004,21,7d402b3fad455f06fe68
17,4,1770004,22,17c1bb3be086a2b6ffec
17,4,1770004,23,9bc73e0c27d4d6b44abb
17,4,1770004,24,c343983d41d51a6a66c3
17,5,1770005,0,ff36ed72f76515960408
17,5,1770005,1,303a8a967047b5307933
17,5,1770005,2,fe7d7af2c919facfe5f5
17,5,1770005,3,942b8fc9cf013acda52b
17,5,1770005,4,facbcedbecb46072b04c
17,5,1770005,5,c28747d70e7b51a1cc95
17,5,1770005,6,7f81423ec4cb301b12bf
17,5,1770005,7,f0b6d8fb9d1feea8b24b
17,5,1770005,8,477241eeda24d5f7e750
17,5,1770005,9,61aca51ad135176924ec
17,5,1770005,10,ba0d2f91eb0b005857f8
17,5,1770005,11,db7f9ffa50eb931613f6
17,5,1770005,12,7312008fb6a636165c6b
17,5,1770005,13,fe40c32169d87261e1e9
17,5,1770005,14,9fcf89b00bb880c8a5ba
17,5,1770005,15,8a4623d640cc619f2639
17,5,1770005,16,c2334ccf8e6788ac6ca2
17,5,1770005,17,b3b38f7212d8649d9ac1
17,5,1770005,18,70cba7a21b5a01fb8e73
17,5,1770005,19,b24f66ff77974f8ba6e1
17,5,1770005,20,278eae367da048448147
17,5,1770005,21,63cda70afb5b740e4fa4
17,5,1770005,22,6f9d141f9a5e7238a801
17,5,1770005,23,f8235c550c614221a158
17,5,1770005,24,53774efff44f690d6f30
17,6,1770006,0,f525413ea8aed78db62a
17,6,1770006,1,e69f027cda0eb00f0073
17,6,1770006,2,f50c45b31cf41304c109
17,6,1770006,3,c5b069482139555cd052
17,6,1770006,4,29db30571b2a1ae59cc7
17,6,1770006,5,a5f9179bfb146ad70953
17,6,1770006,6,34cf0942ff52b1b80385
17,6,1770006,7,10c3ccc6c179f32c6ff3
17,6,1770006,8,f96cee9775323fbf1d8b
17,6,1770006,9,b0cc544ceb575bae4069
17,6,1770006,10,5b445b457a8b897a2d6c
17,6,1770006,11,af23f4f96549d4e1659f
17,6,1770006,12,17902fa9c7f8ea9b456e
17,6,1770006,13,b8c35c514f5ef6c0f3bc
17,6,1770006,14,eb8fe82f34df6bf3ff38
17,6,1770006,15,7fdf49a091a855c0138f
17,6,1770006,16,a7bc3fb68bdecbbe086f
17,6,1770006,17,3b400f57f8dcc4cdbd83
17,6,1770006,18,2712213ca28bcadbfa61
17,6,1770006,19,d162bab7a14b516919e2
17,6,1770006,20,03990d0d818a066d09b6
17,6,1770006,21,382c90a40989c39ceed1
17,6,1770006,22,252c027cf5a42b92c953
17,6,1770006,23,a917c928912c74862968
17,6,1770006,24,f79cf892a214e3af8f61
17,7,1770007,0,ab4326dd3bd3b0e07f81
17,7,1770007,1,bd9a1f4f201144d577d7
17,7,1770007,2,d1172a49fca1e196a59f
17,7,1770007,3,5e45395722fa0dcc1d00
17,7,1770007,4,8f7bcdb92b0cd7acad94
17,7,1770007,5,eb8fe82f34df6bf3ff38
17,7,1770007,6,390544a9eca0a0e37f04
17,7,1770007,7,52348febee6695107c49
17,7,1770007,8,396f2396757216491f57
17,7,1770007,9,8b8becd233748ccae9e3
17,7,1770007,10,7d5a5e7ce28dafd856c2
17,7,1770007,11,fc27fa779102c4aeb8ab
17,7,1770007,12,0f23bd97c7614a46ee0d
17,7,1770007,13,dc9dc88c690b5a1d563f
17,7,1770007,14,7c9b7238a83ed646815a
17,7,1770007,15,20d4b1612cbdd88b6755
17,7,1770007,16,80762b40f399bb68342a
17,7,1770007,17,bbb514661c0a49694d6a
17,7,1770007,18,f90a5a5a54509c085ebd
17,7,1770007,19,1e77ce24daad192212f6
17,7,1770007,20,f10605f57638fcf2b4fb
17,7,1770007,21,c76d0420b34df595c0c9
17,7,1770007,22,c640425eaf27bc406362
17,7,1770007,23,c5cf43c25a1071ceb950
