outer_seed,method,round,active_label_count,active_label_fraction_outer_train,shared_validation_label_count,total_observed_non_test_labels,total_observed_fraction_full_dataset,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2,combined_normalized_RMSE
157,gradient_maxdet,0,333,0.1,416,749,0.1799183281287533,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434,0.7552330820189761
157,gradient_maxdet,1,365,0.10960960960960961,416,781,0.18760509248138363,5.171224795163223,2.6232162013614206,0.5169094080142635,8.569488071143521,4.385953741965534,0.6784611314610383,0.7268037396879269
157,gradient_maxdet,2,397,0.11921921921921921,416,813,0.19529185683401393,4.653831547387686,2.353411883187237,0.6087421499817254,7.552578109680394,4.038859714421151,0.7502450105562086,0.6486881067517913
157,gradient_maxdet,3,429,0.12882882882882882,416,845,0.20297862118664425,4.536415137537742,2.3064416026611694,0.6282360040962196,6.772999504658401,3.5814168344584587,0.79914353743371,0.613015314441579
157,gradient_maxdet,4,461,0.13843843843843845,416,877,0.21066538553927455,4.542031490005256,2.2779516001685347,0.6273149022656255,6.793313289366015,3.56214679631112,0.7979369011134612,0.6141550622166827
157,gradient_maxdet,5,493,0.14804804804804805,416,909,0.21835214989190488,4.353963982498378,2.166994128581717,0.657538771918918,6.490569560839492,3.306600126431143,0.8155454640638558,0.5880406112453459
157,gradient_maxdet,6,525,0.15765765765765766,416,941,0.22603891424453518,4.49670583799279,2.2044199547893424,0.63471595623959,6.953589700560366,3.304698602758723,0.7882897695919582,0.6153901377580829
157,gradient_maxdet,7,557,0.16726726726726726,416,973,0.2337256785971655,3.803582990273007,1.9851319143812147,0.7386469704693386,5.415064086219506,3.131212998351319,0.8716100813703823,0.5056982972931714
157,gradient_maxdet,8,589,0.17687687687687687,416,1005,0.24141244294979583,3.753682649381462,1.9914794305531527,0.7454595242866617,5.272600944150038,3.028726979125318,0.8782767531570297,0.49686531495088104
157,gradient_maxdet,9,621,0.1864864864864865,416,1037,0.24909920730242613,3.817907766860505,1.92802214736847,0.7366746861122204,5.383066252151523,3.0358229804096175,0.8731229209189557,0.5059880049848041
157,gradient_maxdet,10,653,0.1960960960960961,416,1069,0.25678597165505646,3.6696559672455487,1.876472668682071,0.7567278199156676,5.120743784216364,2.8822803680273554,0.8851873304321137,0.4847085633763891
157,gradient_maxdet,11,685,0.2057057057057057,416,1101,0.2644727360076868,3.653094402675529,1.8969695459452751,0.7589186935914555,5.105038012730752,2.893314534239918,0.8858905314936086,0.4827470310132076
157,gradient_maxdet,12,717,0.2153153153153153,416,1133,0.27215950036031705,3.6342774685910664,1.7766953618120518,0.7613958962709493,5.048008395358379,2.782635229096996,0.8884257800910517,0.4793238117241036
157,gradient_maxdet,13,749,0.2249249249249249,416,1165,0.2798462647129474,3.6688379217382243,1.8565386462268783,0.7568362690641405,5.017714741708593,2.8188367192979626,0.8897609002659911,0.48151326410110123
157,gradient_maxdet,14,781,0.23453453453453454,416,1197,0.2875330290655777,3.637744260916528,1.8399181729026264,0.760940463014828,4.986691194989292,2.7436978170911757,0.891119859639839,0.4777787978263942
157,gradient_maxdet,15,813,0.24414414414414415,416,1229,0.29521979341820803,3.547513737773271,1.7369935638327108,0.7726526389553718,5.02888820736355,2.778239657267106,0.8892693919623047,0.4709856152801385
157,gradient_maxdet,16,845,0.25375375375375375,416,1261,0.30290655777083836,3.8243613517610098,1.8455365201552136,0.7357837119693649,4.901815180605414,2.654856892798444,0.8947947077859754,0.49225388903996636
157,gradient_maxdet,17,877,0.26336336336336336,416,1293,0.31059332212346863,3.8830765398205407,1.844510195066603,0.7276084395072254,5.1016453651424145,2.811317050485588,0.886042148219633,0.5034253747509494
157,gradient_maxdet,18,909,0.27297297297297296,416,1325,0.31828008647609896,3.8848127065913625,1.8048406064653282,0.7273648064526629,4.85460595289212,2.6463525381019646,0.8968114071264134,0.49648157844226776
157,gradient_maxdet,19,941,0.28258258258258256,416,1357,0.3259668508287293,4.028817339654713,1.9562141081983808,0.7067777642855737,4.9179782663562985,2.680842662600876,0.8940997629183914,0.511621418138842
157,gradient_maxdet,20,973,0.29219219219219217,416,1389,0.3336536151813596,3.9529806884414964,1.919915311913982,0.7177128357833804,4.8483054710170785,2.609581833548969,0.897079077037953,0.5026276850139876
157,gradient_maxdet,21,1005,0.30180180180180183,416,1421,0.34134037953398993,3.801133766060531,1.8342272177588739,0.7389834458806978,4.702727975969987,2.521175588063485,0.9031669885339729,0.48445633847131575
