method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
kernel_ivr,lcmd,V1_MAE,gap_closed,2,0,0,-0.09472977108480501,-0.09472977108480501,0.04209568595065164,-0.12449591607921007,-0.06496362609039996
kernel_ivr,random,V1_MAE,gap_closed,2,2,0,0.32657287686183123,0.32657287686183123,0.019851523653030407,0.3125357298698883,0.3406100238537742
kernel_ivr,u50_gradient_maxdet,V1_MAE,gap_closed,2,1,0,0.017707360399800476,0.017707360399800476,0.06989522003078845,-0.03171602365649584,0.06713074445609679
lcmd,random,V1_MAE,gap_closed,2,2,0,0.4213026479466363,0.4213026479466363,0.022244162297621235,0.40557364994417416,0.4370316459490984
u50_gradient_maxdet,lcmd,V1_MAE,gap_closed,2,0,0,-0.11243713148460549,-0.11243713148460549,0.11199090598144008,-0.19162666053530686,-0.03324760243390412
u50_gradient_maxdet,random,V1_MAE,gap_closed,2,2,0,0.30886551646203075,0.30886551646203075,0.08974674368381885,0.24540498541379152,0.37232604751027004
gradient_maxdet,hybrid,V1_R2,aulc,2,1,0,0.0008086216294979076,0.0008086216294979076,0.08645121229259675,-0.060321616824395075,0.06193886008339089
gradient_maxdet,kernel_ivr,V1_R2,aulc,2,1,0,-0.0030098329609754004,-0.0030098329609754004,0.025153912285337362,-0.020796334911309056,0.014776668989358255
gradient_maxdet,lcmd,V1_R2,aulc,2,1,0,0.006720184744929081,0.006720184744929081,0.05953823644711489,-0.035379705986713916,0.04882007547657208
gradient_maxdet,random,V1_R2,aulc,2,2,0,0.13575720665166804,0.13575720665166804,0.10006681181846971,0.06499928544310996,0.20651512786022613
gradient_maxdet,u50_gradient_maxdet,V1_R2,aulc,2,1,0,0.003187239852063206,0.003187239852063206,0.005330790149210414,-0.0005821980115259251,0.006956677715652337
hybrid,kernel_ivr,V1_R2,aulc,2,1,0,-0.003818454590473308,-0.003818454590473308,0.061297300007259393,-0.047162191094032635,0.03952528191308602
hybrid,lcmd,V1_R2,aulc,2,1,0,0.005911563115431173,0.005911563115431173,0.026912975845481867,-0.013118784606818812,0.024941910837681158
hybrid,random,V1_R2,aulc,2,2,0,0.13494858502217014,0.13494858502217014,0.013615599525872954,0.12532090226750503,0.14457626777683524
hybrid,u50_gradient_maxdet,V1_R2,aulc,2,1,0,0.0023786182225652985,0.0023786182225652985,0.08112042214338634,-0.05498218236773855,0.05973941881286915
kernel_ivr,lcmd,V1_R2,aulc,2,1,0,0.009730017705904481,0.009730017705904481,0.03438432416177753,-0.01458337107540486,0.03404340648721382
kernel_ivr,random,V1_R2,aulc,2,2,0,0.13876703961264344,0.13876703961264344,0.07491289953313235,0.08579562035441901,0.19173845887086788
kernel_ivr,u50_gradient_maxdet,V1_R2,aulc,2,1,0,0.006197072813038607,0.006197072813038607,0.01982312213612695,-0.007819991273705917,0.02021413689978313
lcmd,random,V1_R2,aulc,2,2,0,0.12903702190673896,0.12903702190673896,0.04052857537135482,0.10037899142982387,0.15769505238365406
u50_gradient_maxdet,lcmd,V1_R2,aulc,2,1,0,0.0035329448928658747,0.0035329448928658747,0.05420744629790447,-0.03479750797518799,0.04186339776091974
u50_gradient_maxdet,random,V1_R2,aulc,2,2,0,0.13256996679960484,0.13256996679960484,0.09473602166925929,0.06558148345463588,0.1995584501445738
gradient_maxdet,hybrid,V1_R2,endpoint,2,1,0,0.02481982575061631,0.02481982575061631,0.07498901768747832,-0.02820541717071756,0.07784506867195018
gradient_maxdet,kernel_ivr,V1_R2,endpoint,2,1,0,-0.0043277249684844366,-0.0043277249684844366,0.01569478747374906,-0.01542561562045408,0.0067701656834852075
gradient_maxdet,lcmd,V1_R2,endpoint,2,1,0,-0.0021997923263551433,-0.0021997923263551433,0.015746676049162196,-0.013334373741865524,0.008934789089155237
gradient_maxdet,random,V1_R2,endpoint,2,2,0,0.14492286198051196,0.14492286198051196,0.03789136195064658,0.11812962299681584,0.17171610096420808
gradient_maxdet,u50_gradient_maxdet,V1_R2,endpoint,2,1,0,0.0018593004496506582,0.0018593004496506582,0.017913517222174227,-0.010807469053050744,0.014526069952352061
hybrid,kernel_ivr,V1_R2,endpoint,2,1,0,-0.029147550719100745,-0.029147550719100745,0.09068380516122737,-0.09327068429240426,0.03497558285420277
hybrid,lcmd,V1_R2,endpoint,2,1,0,-0.027019618076971452,-0.027019618076971452,0.05924234163831612,-0.06891027958279494,0.014871043428852038
hybrid,random,V1_R2,endpoint,2,2,0,0.12010303622989565,0.12010303622989565,0.11288037963812489,0.04028455432486566,0.19992151813492565
hybrid,u50_gradient_maxdet,V1_R2,endpoint,2,1,0,-0.02296052530096565,-0.02296052530096565,0.09290253490965254,-0.08865253772500092,0.04273148712306962
kernel_ivr,lcmd,V1_R2,endpoint,2,1,0,0.0021279326421292932,0.0021279326421292932,0.03144146352291125,-0.02010453942535073,0.024360404709609318
kernel_ivr,random,V1_R2,endpoint,2,2,0,0.1492505869489964,0.1492505869489964,0.022196574476897515,0.13355523861726992,0.16494593528072288
kernel_ivr,u50_gradient_maxdet,V1_R2,endpoint,2,2,0,0.006187025418135095,0.006187025418135095,0.0022187297484251678,0.004618146567403336,0.007755904268866853
lcmd,random,V1_R2,endpoint,2,2,0,0.1471226543068671,0.1471226543068671,0.05363803799980877,0.1091948339076606,0.1850504747060736
u50_gradient_maxdet,lcmd,V1_R2,endpoint,2,1,0,-0.0040590927760058015,-0.0040590927760058015,0.033660193271336424,-0.027860443694217585,0.019742258142205982
u50_gradient_maxdet,random,V1_R2,endpoint,2,2,0,0.1430635615308613,0.1430635615308613,0.01997784472847235,0.1289370920498666,0.15719003101185602
gradient_maxdet,hybrid,V1_R2,gap_closed,2,1,0,0.10075954144856109,0.10075954144856109,0.2528108290707241,-0.07800471014474109,0.27952379304186326
gradient_maxdet,kernel_ivr,V1_R2,gap_closed,2,1,0,-0.018333162315724516,-0.018333162315724516,0.05240606868751383,-0.05538984885999354,0.018723524228544508
gradient_maxdet,lcmd,V1_R2,gap_closed,2,1,0,-0.0023973372125405956,-0.0023973372125405956,0.04876224801245303,-0.03687745344804638,0.03208277902296519
gradient_maxdet,random,V1_R2,gap_closed,2,2,0,0.44953663675808375,0.44953663675808375,0.03586480341880001,0.4241763910547278,0.47489688246143974
gradient_maxdet,u50_gradient_maxdet,V1_R2,gap_closed,2,1,0,0.0006830284969248646,0.0006830284969248646,0.055847536676278106,-0.038807143399435806,0.040173200393285535
hybrid,kernel_ivr,V1_R2,gap_closed,2,1,0,-0.1190927037642856,-0.1190927037642856,0.30521689775823796,-0.3349136419018568,0.0967282343732856
hybrid,lcmd,V1_R2,gap_closed,2,1,0,-0.10315687866110168,-0.10315687866110168,0.20404858105827106,-0.24744101401889806,0.0411272566966947
hybrid,random,V1_R2,gap_closed,2,2,0,0.3487770953095227,0.3487770953095227,0.28867563248952416,0.14465259801286456,0.5529015926061809
hybrid,u50_gradient_maxdet,V1_R2,gap_closed,2,1,0,-0.10007651295163622,-0.10007651295163622,0.30865836574700223,-0.31833093644129906,0.11817791053802662
kernel_ivr,lcmd,V1_R2,gap_closed,2,1,0,0.01593582510318392,0.01593582510318392,0.10116831669996686,-0.05560097767659089,0.08747262788295873
kernel_ivr,random,V1_R2,gap_closed,2,2,0,0.4678697990738083,0.4678697990738083,0.016541265268713825,0.45617335823289523,0.47956623991472136
kernel_ivr,u50_gradient_maxdet,V1_R2,gap_closed,2,2,0,0.01901619081264938,0.01901619081264938,0.0034414679887642733,0.016582705460557734,0.021449676164741027
lcmd,random,V1_R2,gap_closed,2,2,0,0.4519339739706244,0.4519339739706244,0.08462705143125308,0.39209361203176263,0.5117743359094862
u50_gradient_maxdet,lcmd,V1_R2,gap_closed,2,1,0,-0.00308036570946546,-0.00308036570946546,0.10460978468873114,-0.07705065384133192,0.070889922422401
u50_gradient_maxdet,random,V1_R2,gap_closed,2,2,0,0.44885360826115894,0.44885360826115894,0.019982733257478097,0.4347236820681542,0.4629835344541636
gradient_maxdet,hybrid,V1_RMSE,aulc,2,1,0,0.045175807041342164,0.045175807041342164,0.6514851121863781,-0.41549373362772446,0.5058453477104088
gradient_maxdet,kernel_ivr,V1_RMSE,aulc,2,1,0,0.030720414598346846,0.030720414598346846,0.17466436386074186,-0.09278594151921826,0.15422677071591195
gradient_maxdet,lcmd,V1_RMSE,aulc,2,1,0,-0.0017373658532244818,-0.0017373658532244818,0.4568197642345359,-0.3247577189235047,0.3212829872170557
gradient_maxdet,random,V1_RMSE,aulc,2,2,0,-0.8410668257275433,-0.8410668257275433,0.5397834560391804,-1.2227513678651585,-0.45938228358992816
gradient_maxdet,u50_gradient_maxdet,V1_RMSE,aulc,2,1,0,-0.020078693666281566,-0.020078693666281566,0.041358358374314494,-0.04932346933150278,0.009166081998939646
hybrid,kernel_ivr,V1_RMSE,aulc,2,1,0,-0.014455392442995318,-0.014455392442995318,0.47682074832563626,-0.35161857699449683,0.3227077921085062
hybrid,lcmd,V1_RMSE,aulc,2,1,0,-0.046913172894566646,-0.046913172894566646,0.19466534795184218,-0.18456236049335306,0.09073601470421977
hybrid,random,V1_RMSE,aulc,2,2,0,-0.8862426327688855,-0.8862426327688855,0.11170165614719765,-0.965227631300337,-0.807257634237434
hybrid,u50_gradient_maxdet,V1_RMSE,aulc,2,1,0,-0.06525450070762373,-0.06525450070762373,0.6101267538120636,-0.49667926571146914,0.3661702642962217
kernel_ivr,lcmd,V1_RMSE,aulc,2,1,0,-0.03245778045157133,-0.03245778045157133,0.28215540037379405,-0.23197177740428643,0.16705621650114377
kernel_ivr,random,V1_RMSE,aulc,2,2,0,-0.8717872403258902,-0.8717872403258902,0.3651190921784386,-1.1299654263459402,-0.6136090543058401
kernel_ivr,u50_gradient_maxdet,V1_RMSE,aulc,2,1,0,-0.05079910826462841,-0.05079910826462841,0.13330600548642738,-0.1450606887169723,0.043462472187715484
lcmd,random,V1_RMSE,aulc,2,2,0,-0.8393294598743188,-0.8393294598743188,0.08296369180464454,-0.8979936489416538,-0.7806652708069839
u50_gradient_maxdet,lcmd,V1_RMSE,aulc,2,1,0,0.018341327813057084,0.018341327813057084,0.4154614058602214,-0.2754342495920019,0.3121169052181161
u50_gradient_maxdet,random,V1_RMSE,aulc,2,2,0,-0.8209881320612618,-0.8209881320612618,0.498425097664866,-1.1734278985336557,-0.4685483655888678
gradient_maxdet,hybrid,V1_RMSE,endpoint,2,1,0,-0.13136057986667238,-0.13136057986667238,0.5636022343605998,-0.5298875416749422,0.2671663819415975
