method,metric,endpoint_mean,endpoint_median,endpoint_std,aulc_mean,aulc_median,aulc_std,gap_closed_mean,gap_closed_median,gap_closed_std
gradient_maxdet,V1_MAE,1.74777650604431,1.74777650604431,0.12225976898354282,1.994812089527417,1.994812089527417,0.03531725847157284,0.7712734970458704,0.7712734970458704,0.136881250579259
gradient_maxdet,V1_R2,0.7778649210943103,0.7778649210943103,0.05498670957216415,0.697840656389048,0.697840656389048,0.0030586872052068706,0.8874709163672528,0.8874709163672528,0.07828907614882823
gradient_maxdet,V1_RMSE,3.5667945851888936,3.5667945851888936,0.33140564778407156,4.156275125622507,4.156275125622507,0.15188318761711217,0.8608249135210855,0.8608249135210855,0.08719197408366541
gradient_maxdet,V2_MAE,2.6360779466103024,2.6360779466103024,0.1624964738055648,3.316387817510339,3.316387817510339,0.29238231527462044,0.8520747991067992,0.8520747991067992,0.019969666662191982
gradient_maxdet,V2_R2,0.8810673578961157,0.8810673578961157,0.03125359737149381,0.7870805257262792,0.7870805257262792,0.08660964896140208,0.9563658806293381,0.9563658806293381,0.009147220463909379
gradient_maxdet,V2_RMSE,5.089433293664922,5.089433293664922,0.5468839049259739,6.652918547513948,6.652918547513948,1.252105429371584,0.9349731281764606,0.9349731281764606,0.013155495582592826
gradient_maxdet,combined_normalized_RMSE,0.5095075423390281,0.5095075423390281,0.03542775226349197,0.6207973085271445,0.6207973085271445,0.11574914759409433,0.8968741024860584,0.8968741024860584,0.038620035790499024
hybrid,V1_MAE,1.691823138893365,1.691823138893365,0.2397039785350102,1.962534506332933,1.962534506332933,0.23175969020084927,0.8183039991307576,0.8183039991307576,0.2365586569750747
hybrid,V1_R2,0.753045095343694,0.753045095343694,0.12997572725964243,0.6970320347595501,0.6970320347595501,0.08339252508738988,0.7867113749186918,0.7867113749186918,0.3310999052195523
hybrid,V1_RMSE,3.698155165055566,3.698155165055566,0.8950078821446713,4.111099318581164,4.111099318581164,0.4996019245692656,0.7653722436597383,0.7653722436597383,0.3734867157649395
hybrid,V2_MAE,2.4405615752835352,2.4405615752835352,0.11304047314155836,3.0888936677261674,3.0888936677261674,0.0974191372174656,0.9291540250509451,0.9291540250509451,0.042804019166353506
hybrid,V2_R2,0.870766935083024,0.870766935083024,0.02033631717651257,0.8020186963786241,0.8020186963786241,0.05006639455969646,0.9220870195594358,0.9220870195594358,0.03032137520445883
hybrid,V2_RMSE,5.323830460166622,5.323830460166622,0.28593242573026756,6.439852842357341,6.439852842357341,0.6142443478834277,0.8870904656598357,0.8870904656598357,0.04175332113162796
hybrid,combined_normalized_RMSE,0.5271588513106987,0.5271588513106987,0.025888571862928592,0.6055818300006398,0.6055818300006398,0.030958614571628774,0.8274565463903618,0.8274565463903618,0.21752313714665866
kernel_ivr,V1_MAE,1.7211135674437745,1.7211135674437745,0.09303461946245001,2.0067792903505683,2.0067792903505683,0.10081325549678499,0.7942933357467732,0.7942933357467732,0.11149711873087813
kernel_ivr,V1_R2,0.7821926460627947,0.7821926460627947,0.03929192209841509,0.7008504893500234,0.7008504893500234,0.02209522508013053,0.9058040786829773,0.9058040786829773,0.025883007461314434
kernel_ivr,V1_RMSE,3.5402789345481898,3.5402789345481898,0.20764090509394897,4.12555471102416,4.12555471102416,0.022781176243629363,0.8806641689724842,0.8806641689724842,0.024589344108572588
kernel_ivr,V2_MAE,2.6269533577011073,2.6269533577011073,0.0980411370676147,3.284081478185328,3.284081478185328,0.22517103112181178,0.8562199223037614,0.8562199223037614,0.04539730882852666
kernel_ivr,V2_R2,0.8744584045742774,0.8744584045742774,0.030149571268342966,0.7914502087772621,0.7914502087772621,0.07548738739940511,0.9364217660401526,0.9364217660401526,0.0012877977861949998
kernel_ivr,V2_RMSE,5.233507648289961,5.233507648289961,0.5015348816408866,6.578762715495021,6.578762715495021,1.0894804658640673,0.9065751766590242,0.9065751766590242,0.0017564804237560111
kernel_ivr,combined_normalized_RMSE,0.5118903141906027,0.5118903141906027,0.04646285361885742,0.6144577173082171,0.6144577173082171,0.09308405512595015,0.8942673235317189,0.8942673235317189,0.01031717182846044
lcmd,V1_MAE,1.6099607518536865,1.6099607518536865,0.14409582398812684,2.003527396758751,2.003527396758751,0.08820215871577022,0.8890231068315781,0.8890231068315781,0.1535928046815298
lcmd,V1_R2,0.7800647134206654,0.7800647134206654,0.07073338562132635,0.6911204716441189,0.6911204716441189,0.05647954924190802,0.8898682535797935,0.8898682535797935,0.12705132416128123
lcmd,V1_RMSE,3.5372837779405204,3.5372837779405204,0.46437170187878246,4.158012491475731,4.158012491475731,0.30493657661742307,0.8674261436508989,0.8674261436508989,0.14781627998322655
lcmd,V2_MAE,2.498568937932845,2.498568937932845,0.04842383586613538,3.246333533244358,3.246333533244358,0.21830451243928822,0.9078383938823724,0.9078383938823724,0.10507588507688963
lcmd,V2_R2,0.8619829096601476,0.8619829096601476,0.018007875422809877,0.7856090119597714,0.7856090119597714,0.05094404753731291,0.8952799682553861,0.8952799682553861,0.04331592807689497
lcmd,V2_RMSE,5.505413735492827,5.505413735492827,0.22098204138768335,6.6870555976766815,6.6870555976766815,0.6152338035979845,0.8512292435966153,0.8512292435966153,0.057634405487080084
lcmd,combined_normalized_RMSE,0.5187509521829625,0.5187509521829625,0.013472393348365244,0.6190503855628173,0.6190503855628173,0.05094887223108644,0.8640787711390956,0.8640787711390956,0.10472691106229609
random,V1_MAE,2.1026924471203374,2.1026924471203374,0.10986325692052885,2.3861405218084535,2.3861405218084535,0.1444556104521496,0.46772045888494196,0.46772045888494196,0.13134864238390853
random,V1_R2,0.6329420591137983,0.6329420591137983,0.017095347621517574,0.56208344973738,0.56208344973738,0.09700812461326282,0.4379342796091691,0.4379342796091691,0.0424242727300282
random,V1_RMSE,4.609632898931002,4.609632898931002,0.04016221684032426,4.99734195135005,4.99734195135005,0.387900268422068,0.3801327688475348,0.3801327688475348,0.027606474000671174
random,V2_MAE,3.483173751144958,3.483173751144958,0.28458220157265296,4.1795235375937665,4.1795235375937665,0.3390092423506658,0.5239512957919964,0.5239512957919964,0.1802901043516386
random,V2_R2,0.7095158555086485,0.7095158555086485,0.017098501632284737,0.6175231582839784,0.6175231582839784,0.044106942200888934,0.4318260173661713,0.4318260173661713,0.25315299347543274
random,V2_RMSE,8.003402643979456,8.003402643979456,0.4377447486112968,9.140973028368961,9.140973028368961,0.7501788645149953,0.36000591726169706,0.36000591726169706,0.23049380770858088
random,combined_normalized_RMSE,0.7077813986526194,0.7077813986526194,0.0546928353676838,0.7808774969932566,0.7808774969932566,0.009911607589439493,0.3650985182461245,0.3650985182461245,0.1251829497337853
u50_gradient_maxdet,V1_MAE,1.7424965293573247,1.7424965293573247,0.010979325595765928,2.017991246099789,2.017991246099789,0.04275301821266055,0.7765859753469727,0.7765859753469727,0.04160189870008969
u50_gradient_maxdet,V1_R2,0.7760056206446596,0.7760056206446596,0.037073192349989924,0.6946534165369849,0.6946534165369849,0.002272102944003504,0.8867878878703279,0.8867878878703279,0.022441539472550162
u50_gradient_maxdet,V1_RMSE,3.591811531843415,3.591811531843415,0.18356038632773225,4.176353819288789,4.176353819288789,0.11052482924279768,0.8572374452920619,0.8572374452920619,0.01889210991644162
u50_gradient_maxdet,V2_MAE,2.7360276243955397,2.7360276243955397,0.3142666712895375,3.3539927818329485,3.3539927818329485,0.2640090165054614,0.8115560907743811,0.8115560907743811,0.04128721004441783
u50_gradient_maxdet,V2_R2,0.8668165027525643,0.8668165027525643,0.03983728290325353,0.7880498318452089,0.7880498318452089,0.08110566247253594,0.9171694126503487,0.9171694126503487,0.024651103236457205
u50_gradient_maxdet,V2_RMSE,5.377371087619197,5.377371087619197,0.6788334409334442,6.647232480568763,6.647232480568763,1.1526221985912088,0.8802184276662628,0.8802184276662628,0.033616884733207175
u50_gradient_maxdet,combined_normalized_RMSE,0.5219238845158712,0.5219238845158712,0.05544021475758302,0.6221723480201817,0.6221723480201817,0.10868777234372126,0.8701598332959376,0.8701598332959376,0.0070374791629465505
