outer_seed,method,phase,start_labels,stop_labels,metric,normalized_partial_AULC
157,gradient_maxdet,early,333,525,combined_normalized_RMSE,0.6460024073719759
157,gradient_maxdet,early,333,525,V1_RMSE,4.686193629027273
157,gradient_maxdet,early,333,525,V2_RMSE,7.3813579612290745
157,gradient_maxdet,early,333,525,V1_MAE,2.356154438736532
157,gradient_maxdet,early,333,525,V2_MAE,3.815305489573261
157,gradient_maxdet,early,333,525,V1_R2,0.6016204585303268
157,gradient_maxdet,early,333,525,V2_R2,0.7579266134669874
157,gradient_maxdet,middle,525,653,combined_normalized_RMSE,0.5146502419490232
157,gradient_maxdet,middle,525,653,V1_RMSE,3.864588577283536
157,gradient_maxdet,middle,525,653,V2_RMSE,5.526974506227359
157,gradient_maxdet,middle,525,653,V1_MAE,1.9862699510096362
157,gradient_maxdet,middle,525,653,V2_MAE,3.0723131108198234
157,gradient_maxdet,middle,525,653,V1_R2,0.7291257672364624
157,gradient_maxdet,middle,525,653,V2_R2,0.8649370763646009
157,gradient_maxdet,late,653,1005,combined_normalized_RMSE,0.4893946287504374
157,gradient_maxdet,late,653,1005,V1_RMSE,3.7682646622378893
157,gradient_maxdet,late,653,1005,V2_RMSE,4.9747660607506425
157,gradient_maxdet,late,653,1005,V1_MAE,1.8484983614308654
157,gradient_maxdet,late,653,1005,V2_MAE,2.7383093556885836
157,gradient_maxdet,late,653,1005,V1_R2,0.7430770137993761
157,gradient_maxdet,late,653,1005,V2_R2,0.8915882478203823
157,hybrid,early,333,525,combined_normalized_RMSE,0.6542455175078087
157,hybrid,early,333,525,V1_RMSE,4.817203048155361
157,hybrid,early,333,525,V2_RMSE,7.272312249345727
157,hybrid,early,333,525,V1_MAE,2.468416890747351
157,hybrid,early,333,525,V2_MAE,3.838796281319061
157,hybrid,early,333,525,V1_R2,0.5784977255053351
157,hybrid,early,333,525,V2_R2,0.7635534188244572
157,hybrid,middle,525,653,combined_normalized_RMSE,0.5841665606357733
157,hybrid,middle,525,653,V1_RMSE,4.451384014516568
157,hybrid,middle,525,653,V2_RMSE,6.077149733495126
157,hybrid,middle,525,653,V1_MAE,2.1334131928942472
157,hybrid,middle,525,653,V2_MAE,3.099293954938436
157,hybrid,middle,525,653,V1_R2,0.6413093908096511
157,hybrid,middle,525,653,V2_R2,0.8381087290481358
157,hybrid,late,653,1005,combined_normalized_RMSE,0.5450333736480878
157,hybrid,late,653,1005,V1_RMSE,4.2766401297362115
157,hybrid,late,653,1005,V2_RMSE,5.288488549261621
157,hybrid,late,653,1005,V1_MAE,1.9373205760374084
157,hybrid,late,653,1005,V2_MAE,2.544564830105575
157,hybrid,late,653,1005,V1_R2,0.669375726718102
157,hybrid,late,653,1005,V2_R2,0.8774622930880905
157,kernel_ivr,early,333,525,combined_normalized_RMSE,0.6584246462697317
157,kernel_ivr,early,333,525,V1_RMSE,4.787544002409326
157,kernel_ivr,early,333,525,V2_RMSE,7.478577032566233
157,kernel_ivr,early,333,525,V1_MAE,2.473905462917569
157,kernel_ivr,early,333,525,V2_MAE,3.9547268336148957
157,kernel_ivr,early,333,525,V1_R2,0.5814649223391507
157,kernel_ivr,early,333,525,V2_R2,0.7464687887655854
157,kernel_ivr,middle,525,653,combined_normalized_RMSE,0.524260712624048
157,kernel_ivr,middle,525,653,V1_RMSE,4.032588067390032
157,kernel_ivr,middle,525,653,V2_RMSE,5.343372697137305
157,kernel_ivr,middle,525,653,V1_MAE,2.0588847791119447
157,kernel_ivr,middle,525,653,V2_MAE,3.00763152300311
157,kernel_ivr,middle,525,653,V1_R2,0.7058291475677683
157,kernel_ivr,middle,525,653,V2_R2,0.8749014850752994
157,kernel_ivr,late,653,1005,combined_normalized_RMSE,0.4976176033418215
157,kernel_ivr,late,653,1005,V1_RMSE,3.8290287141638255
157,kernel_ivr,late,653,1005,V2_RMSE,5.066464046219168
157,kernel_ivr,late,653,1005,V1_MAE,1.8691266974463085
157,kernel_ivr,late,653,1005,V2_MAE,2.7148367931360977
157,kernel_ivr,late,653,1005,V1_R2,0.7343324362580403
157,kernel_ivr,late,653,1005,V2_R2,0.8875423841304972
157,lcmd,early,333,525,combined_normalized_RMSE,0.68915730698578
157,lcmd,early,333,525,V1_RMSE,4.954975633007927
157,lcmd,early,333,525,V2_RMSE,7.983377221919767
157,lcmd,early,333,525,V1_MAE,2.4992515162931834
157,lcmd,early,333,525,V2_MAE,4.071899056720505
157,lcmd,early,333,525,V1_R2,0.5553672514350644
157,lcmd,early,333,525,V2_R2,0.7174469121003364
157,lcmd,middle,525,653,combined_normalized_RMSE,0.5908385130812416
157,lcmd,middle,525,653,V1_RMSE,4.422788528300076
157,lcmd,middle,525,653,V2_RMSE,6.3853120469422775
157,lcmd,middle,525,653,V1_MAE,2.1035441038348406
157,lcmd,middle,525,653,V2_MAE,3.139958217847261
157,lcmd,middle,525,653,V1_R2,0.6464254709013694
157,lcmd,middle,525,653,V2_R2,0.8210036217730204
157,lcmd,late,653,1005,combined_normalized_RMSE,0.5222916407784498
157,lcmd,late,653,1005,V1_RMSE,4.038666504914573
157,lcmd,late,653,1005,V2_RMSE,5.259172740599703
157,lcmd,late,653,1005,V1_MAE,1.8158295503857091
157,lcmd,late,653,1005,V2_MAE,2.5400109421019206
157,lcmd,late,653,1005,V1_R2,0.705176908608824
157,lcmd,late,653,1005,V2_R2,0.878688527493664
157,random,early,333,525,combined_normalized_RMSE,0.8339812783501149
157,random,early,333,525,V1_RMSE,5.707491936597044
157,random,early,333,525,V2_RMSE,10.36617600857308
157,random,early,333,525,V1_MAE,2.7351160341982457
157,random,early,333,525,V2_MAE,5.058977315037085
157,random,early,333,525,V1_R2,0.40822437978612697
157,random,early,333,525,V2_R2,0.5262911588425679
157,random,middle,525,653,combined_normalized_RMSE,0.7918859832657497
157,random,middle,525,653,V1_RMSE,5.440391767473809
157,random,middle,525,653,V2_RMSE,9.792724636255851
157,random,middle,525,653,V1_MAE,2.6234396557442006
157,random,middle,525,653,V2_MAE,4.701541452885246
157,random,middle,525,653,V1_R2,0.4641393134832573
157,random,middle,525,653,V2_R2,0.5779030759115298
157,random,late,653,1005,combined_normalized_RMSE,0.7345287245433361
157,random,late,653,1005,V1_RMSE,4.9725170366914
157,random,late,653,1005,V2_RMSE,9.248369709592295
157,random,late,653,1005,V1_MAE,2.304504773287776
157,random,late,653,1005,V2_MAE,3.9676359095343683
157,random,late,653,1005,V1_R2,0.5506683412914913
157,random,late,653,1005,V2_R2,0.6221520355255757
157,u50_gradient_maxdet,early,333,525,combined_normalized_RMSE,0.645223265430411
157,u50_gradient_maxdet,early,333,525,V1_RMSE,4.689349300884693
157,u50_gradient_maxdet,early,333,525,V2_RMSE,7.34842536987361
157,u50_gradient_maxdet,early,333,525,V1_MAE,2.36971678307874
157,u50_gradient_maxdet,early,333,525,V2_MAE,3.838410459166999
157,u50_gradient_maxdet,early,333,525,V1_R2,0.6011383030441799
157,u50_gradient_maxdet,early,333,525,V2_R2,0.7598751811042824
