outer_seed,method,fit_count,extra_ensemble_fits,epochs,optimizer_steps,training_seconds,gradient_seconds,gradient_extractions,ensemble_inference_seconds,selector_seconds,historical_round_elapsed_seconds,new_fit_count,new_training_seconds,cost_note,member0_evaluation_fits,member1_member2_extra_ensemble_fits,reused_fit_count,reused_gradient_extractions
157,random,22,0.0,5088,5088.0,13230.07131624897,0.0,0,,,13233.653409168124,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components,,,,
157,hybrid,64,42.0,22745,22745.0,54588.93335587403,0.0,0,,,52413.93357799802,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components,,,,
157,lcmd,22,0.0,9025,9025.0,15679.980331747036,2134.406877292029,21,,,17830.27266583196,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components,,,,
157,kernel_ivr,22,0.0,6319,6319.0,7110.5097735809395,1226.3361457501305,21,0.0,7.570522835070733,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed,,,,
6101,random,22,0.0,4442,4442.0,14124.79068979394,0.0,0,,,14130.33405629103,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components,,,,
6101,hybrid,64,42.0,15705,15705.0,39297.764888494916,0.0,0,,,38782.363265998196,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components,,,,
6101,lcmd,22,0.0,4952,4952.0,11021.805413208902,2689.763395334303,21,,,13728.75166153902,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components,,,,
6101,kernel_ivr,22,0.0,4932,4932.0,5215.36324325006,1191.8438323718146,21,0.0,8.158201331971213,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed,,,,
157,gradient_maxdet,22,,8728,,16719.815434625838,2058.7466199180344,21,51.2284027102869,3.065190749359317,,21,16719.815434625838,new fit time uses the historical helper and includes validation plus its frozen prediction; separately clocked acquisition inference is reported without forming a weighted score,22.0,0.0,1.0,1.0
157,u50_gradient_maxdet,64,,22095,,32709.95239208429,1456.6171044994844,21,123.13396699994337,2.3792564587201923,,61,32709.95239208429,new fit time uses the historical helper and includes validation plus its frozen prediction; separately clocked acquisition inference is reported without forming a weighted score,22.0,42.0,3.0,1.0
6101,gradient_maxdet,22,,4533,,11690.587271124008,2546.03965033195,21,66.73751620703842,4.229291083174758,,21,11690.587271124008,new fit time uses the historical helper and includes validation plus its frozen prediction; separately clocked acquisition inference is reported without forming a weighted score,22.0,0.0,1.0,1.0
6101,u50_gradient_maxdet,64,,14061,,20940.760269253282,1488.2639223329024,21,130.38052529201377,2.448602208169177,,61,20940.760269253282,new fit time uses the historical helper and includes validation plus its frozen prediction; separately clocked acquisition inference is reported without forming a weighted score,22.0,42.0,3.0,1.0
