scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,157.0,gradient_maxdet,V2_RMSE,Random@1005,8.312934924151305,373.07318348218246,397.0,397.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_RMSE,N80,5.399766461125763,560.4361449276549,589.0,589.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_RMSE,N90,4.916636173414873,841.2677227260401,845.0,973.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_RMSE,N95,4.675071029559429,,,,CENSORED,1005.0
seed,157.0,hybrid,V2_RMSE,Random@1005,8.312934924151305,377.0054067603143,397.0,397.0,REACHED,1005.0
seed,157.0,hybrid,V2_RMSE,N80,5.399766461125763,710.8882067295677,717.0,717.0,REACHED,1005.0
seed,157.0,hybrid,V2_RMSE,N90,4.916636173414873,,,,CENSORED,1005.0
seed,157.0,hybrid,V2_RMSE,N95,4.675071029559429,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V2_RMSE,Random@1005,8.312934924151305,397.7529023042296,429.0,429.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_RMSE,N80,5.399766461125763,568.9930816630406,589.0,589.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_RMSE,N90,4.916636173414873,961.2064791880144,973.0,973.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_RMSE,N95,4.675071029559429,,,,CENSORED,1005.0
seed,157.0,lcmd,V2_RMSE,Random@1005,8.312934924151305,419.4655849499292,429.0,429.0,REACHED,1005.0
seed,157.0,lcmd,V2_RMSE,N80,5.399766461125763,703.0371016735253,717.0,717.0,REACHED,1005.0
seed,157.0,lcmd,V2_RMSE,N90,4.916636173414873,,,,CENSORED,1005.0
seed,157.0,lcmd,V2_RMSE,N95,4.675071029559429,,,,CENSORED,1005.0
seed,157.0,random,V2_RMSE,Random@1005,8.312934924151305,919.5617909144179,941.0,941.0,REACHED,1005.0
seed,157.0,random,V2_RMSE,N80,5.399766461125763,,,,CENSORED,1005.0
seed,157.0,random,V2_RMSE,N90,4.916636173414873,,,,CENSORED,1005.0
seed,157.0,random,V2_RMSE,N95,4.675071029559429,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V2_RMSE,Random@1005,8.312934924151305,373.07318348218246,397.0,397.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_RMSE,N80,5.399766461125763,588.4459620030767,589.0,589.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_RMSE,N90,4.916636173414873,875.6008544154723,877.0,1005.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_RMSE,N95,4.675071029559429,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V1_MAE,Random@1005,2.180377501092083,489.14025162788056,493.0,557.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V1_MAE,N80,1.689228799646135,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V1_MAE,N90,1.5737070898357912,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V1_MAE,N95,1.5159462349306194,,,,CENSORED,1005.0
seed,157.0,hybrid,V1_MAE,Random@1005,2.180377501092083,541.3818774648056,557.0,557.0,REACHED,1005.0
seed,157.0,hybrid,V1_MAE,N80,1.689228799646135,,,,CENSORED,1005.0
seed,157.0,hybrid,V1_MAE,N90,1.5737070898357912,,,,CENSORED,1005.0
seed,157.0,hybrid,V1_MAE,N95,1.5159462349306194,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V1_MAE,Random@1005,2.180377501092083,518.3977086281008,525.0,589.0,REACHED,1005.0
seed,157.0,kernel_ivr,V1_MAE,N80,1.689228799646135,972.9062629973006,973.0,,REACHED,1005.0
seed,157.0,kernel_ivr,V1_MAE,N90,1.5737070898357912,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V1_MAE,N95,1.5159462349306194,,,,CENSORED,1005.0
seed,157.0,lcmd,V1_MAE,Random@1005,2.180377501092083,517.6081552546026,525.0,525.0,REACHED,1005.0
seed,157.0,lcmd,V1_MAE,N80,1.689228799646135,,,,CENSORED,1005.0
seed,157.0,lcmd,V1_MAE,N90,1.5737070898357912,,,,CENSORED,1005.0
seed,157.0,lcmd,V1_MAE,N95,1.5159462349306194,,,,CENSORED,1005.0
seed,157.0,random,V1_MAE,Random@1005,2.180377501092083,902.716855893908,909.0,909.0,REACHED,1005.0
seed,157.0,random,V1_MAE,N80,1.689228799646135,,,,CENSORED,1005.0
seed,157.0,random,V1_MAE,N90,1.5737070898357912,,,,CENSORED,1005.0
seed,157.0,random,V1_MAE,N95,1.5159462349306194,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V1_MAE,Random@1005,2.180377501092083,536.7389712297665,557.0,557.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V1_MAE,N80,1.689228799646135,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V1_MAE,N90,1.5737070898357912,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V1_MAE,N95,1.5159462349306194,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V2_MAE,Random@1005,3.684403755681978,421.7956437327839,429.0,429.0,REACHED,1005.0
