phase,metric,method,comparator,mean_difference,median_difference,directional_wins_lower_is_better,per_seed_differences
whole,combined_normalized_RMSE,gradient_maxdet,lcmd,0.0017469229643272133,0.0017469229643272133,1,"{""157"": -0.04407379116761123, ""6101"": 0.04756763709626566}"
whole,combined_normalized_RMSE,u50_gradient_maxdet,gradient_maxdet,0.0013750394930371335,0.0013750394930371335,1,"{""157"": 0.006368185817078764, ""6101"": -0.0036181068310044973}"
whole,combined_normalized_RMSE,u50_gradient_maxdet,hybrid,0.016590518019541867,0.016590518019541867,1,"{""157"": -0.03837229653702379, ""6101"": 0.07155333257610752}"
whole,combined_normalized_RMSE,u50_gradient_maxdet,lcmd,0.0031219624573643467,0.0031219624573643467,1,"{""157"": -0.03770560535053247, ""6101"": 0.04394953026526116}"
early,combined_normalized_RMSE,gradient_maxdet,lcmd,-0.05111660517973177,-0.05111660517973177,2,"{""157"": -0.04315489961380414, ""6101"": -0.05907831074565939}"
early,combined_normalized_RMSE,u50_gradient_maxdet,gradient_maxdet,0.0012394105396536514,0.0012394105396536514,1,"{""157"": -0.0007791419415649203, ""6101"": 0.0032579630208722232}"
early,combined_normalized_RMSE,u50_gradient_maxdet,hybrid,-0.009290409967001478,-0.009290409967001478,2,"{""157"": -0.009022252077397708, ""6101"": -0.009558567856605249}"
early,combined_normalized_RMSE,u50_gradient_maxdet,lcmd,-0.049877194640078115,-0.049877194640078115,2,"{""157"": -0.04393404155536906, ""6101"": -0.05582034772478717}"
middle,combined_normalized_RMSE,gradient_maxdet,lcmd,0.010522204569816118,0.010522204569816118,1,"{""157"": -0.07618827113221838, ""6101"": 0.09723268027185061}"
middle,combined_normalized_RMSE,u50_gradient_maxdet,gradient_maxdet,0.010846826192203118,0.010846826192203118,0,"{""157"": 0.015218263835980239, ""6101"": 0.006475388548425998}"
middle,combined_normalized_RMSE,u50_gradient_maxdet,hybrid,0.022515253445194783,0.022515253445194783,1,"{""157"": -0.054298054850769883, ""6101"": 0.09932856174115945}"
middle,combined_normalized_RMSE,u50_gradient_maxdet,lcmd,0.021369030762019237,0.021369030762019237,1,"{""157"": -0.06097000729623814, ""6101"": 0.10370806882027661}"
late,combined_normalized_RMSE,gradient_maxdet,lcmd,0.027390563186363348,0.027390563186363348,1,"{""157"": -0.03289701202801243, ""6101"": 0.08767813840073913}"
late,combined_normalized_RMSE,u50_gradient_maxdet,gradient_maxdet,-0.00199526715026882,-0.00199526715026882,1,"{""157"": 0.007048518042192753, ""6101"": -0.011039052342730393}"
late,combined_normalized_RMSE,u50_gradient_maxdet,hybrid,0.028552938584691656,0.028552938584691656,1,"{""157"": -0.04859022685545766, ""6101"": 0.10569610402484098}"
late,combined_normalized_RMSE,u50_gradient_maxdet,lcmd,0.025395296036094528,0.025395296036094528,1,"{""157"": -0.025848493985819676, ""6101"": 0.07663908605800873}"
