method,rounds,mean_gradient_norm,mean_effective_rank,mean_abs_kernel_correlation,mean_overlap_lcmd,mean_overlap_hybrid,total_gradient_seconds,total_selector_seconds,comparison,mean_overlap_fraction,median_overlap_fraction,min_overlap_fraction,max_overlap_fraction,identical_batches
gradient_maxdet,42,438.08894351555944,9.159012667193608,0.277871796701807,0.03720238095238095,0.03943452380952381,4834.654426666966,7.294481832534075,,,,,,
u50_gradient_maxdet,42,435.1484456631558,8.88425940642228,0.2785439965129032,0.04389880952380952,0.044642857142857144,3174.749183249369,4.8278586668893695,,,,,,
,42,,,,,,,,u50_gradient_maxdet_vs_gradient_maxdet,0.3444940476190476,0.15625,0.0,1.0,8.0
