outer_seed,method,source_round,active_label_count,pool_size,candidate_pool_size,top50_cutoff,normalization_scale,selected_gradient_norm_mean,selected_gradient_norm_median,nearest_L_t_gradient_distance_mean,gram_effective_rank,within_batch_mean_absolute_normalized_kernel_correlation,overlap_lcmd_count,overlap_lcmd_fraction,overlap_hybrid_count,overlap_hybrid_fraction,gradient_status,gradient_seconds,selector_seconds,member0_pool_inference_seconds,extra_member_measured_repeat_inference_seconds,ensemble_inference_seconds_total,selected_uncertainty_count,selected_uncertainty_mean,selected_uncertainty_median,gate_nonselected_uncertainty_count,gate_nonselected_uncertainty_mean,gate_nonselected_uncertainty_median,rejected_by_gate_uncertainty_count,rejected_by_gate_uncertainty_mean,rejected_by_gate_uncertainty_median
157,gradient_maxdet,0,333,2997,2997,,148.34281932681438,428.13493959626453,431.81105478788857,260.50690956067115,8.34345078104884,0.3808706698262784,9,0.28125,13,0.40625,reused_historical_round0,125.45757037500152,0.056694458005949855,1.186150124995038,0.0,1.186150124995038,,,,,,,,,
157,gradient_maxdet,1,365,2965,2965,,229.7672396932771,568.3515788727486,523.4618097263636,274.29500230516646,5.969240568612823,0.391148776320166,5,0.15625,4,0.125,new_extraction,107.37924666702747,0.14499929209705442,2.98187095799949,0.0,2.98187095799949,,,,,,,,,
157,gradient_maxdet,2,397,2933,2933,,258.58211942846856,582.7615138170786,555.6298126421084,234.41092213863823,6.253132532214791,0.37929270350917926,0,0.0,4,0.125,new_extraction,121.23680720804259,0.1260109170107171,2.4675422919681296,0.0,2.4675422919681296,,,,,,,,,
157,gradient_maxdet,3,429,2901,2901,,290.99952640652737,489.87637861548296,467.43924031391145,142.13233087433238,9.971615909830689,0.28722040025057305,1,0.03125,3,0.09375,new_extraction,121.02327687502839,0.20286608301103115,3.067285167053342,0.0,3.067285167053342,,,,,,,,,
157,gradient_maxdet,4,461,2869,2869,,314.1719146850671,534.8987490831812,523.7960471198544,180.40402666699848,6.6322189687263995,0.39693320142044347,1,0.03125,3,0.09375,new_extraction,121.16049179201946,0.19383383402600884,2.9922812500735745,0.0,2.9922812500735745,,,,,,,,,
157,gradient_maxdet,5,493,2837,2837,,343.3961773679577,491.76560918319876,502.76902370786695,155.64636318168436,9.531804088660301,0.25583186546659953,1,0.03125,3,0.09375,new_extraction,103.98743633297272,0.1900896659353748,3.0486137089319527,0.0,3.0486137089319527,,,,,,,,,
157,gradient_maxdet,6,525,2805,2805,,332.58886419996276,445.1262705299596,458.23958553673464,146.299567239969,8.564258386456217,0.3021770442453589,0,0.0,0,0.0,new_extraction,134.19968170893844,0.1932753750588745,3.2391792919952422,0.0,3.2391792919952422,,,,,,,,,
157,gradient_maxdet,7,557,2773,2773,,393.22521641044585,486.7838641853322,436.8395186685193,46.9471662112272,8.548569929255489,0.3211243839714744,0,0.0,1,0.03125,new_extraction,127.98429575003684,0.1988668340491131,2.8670040840515867,0.0,2.8670040840515867,,,,,,,,,
157,gradient_maxdet,8,589,2741,2741,,372.57100821933085,445.01885456507136,419.1629019567102,103.05337050117362,8.655081352280767,0.3405436753499121,0,0.0,0,0.0,new_extraction,115.96000624995213,0.15373912500217557,2.780404290999286,0.0,2.780404290999286,,,,,,,,,
157,gradient_maxdet,9,621,2709,2709,,330.9145489612471,338.3453039067484,322.88331731644644,188.5579896509239,13.215924651812605,0.21944471100534918,0,0.0,0,0.0,new_extraction,144.6603294169763,0.20486462500412017,3.3492947909981012,0.0,3.3492947909981012,,,,,,,,,
157,gradient_maxdet,10,653,2677,2677,,377.4300968105628,401.50527356690134,386.38360374788647,145.75047450285405,8.732181043650263,0.2686211077756968,0,0.0,0,0.0,new_extraction,138.8752894999925,0.2119113749358803,2.950433125020936,0.0,2.950433125020936,,,,,,,,,
157,gradient_maxdet,11,685,2645,2645,,405.6871022748523,392.8359230428383,379.8449323425349,174.3951675086534,7.955311743515514,0.3033272766379341,0,0.0,1,0.03125,new_extraction,133.68464012502227,0.1986714160302654,2.978618082939647,0.0,2.978618082939647,,,,,,,,,
157,gradient_maxdet,12,717,2613,2613,,355.6640135917687,381.34712134101767,330.777096626344,164.5939961735132,8.266019226357068,0.3067902720223788,1,0.03125,1,0.03125,new_extraction,141.85974149999674,0.19346712506376207,3.4013197920285165,0.0,3.4013197920285165,,,,,,,,,
157,gradient_maxdet,13,749,2581,2581,,386.36055181815465,357.6181388446229,364.26648001485376,187.5542415376591,9.537560212725861,0.28615792397323764,2,0.0625,0,0.0,new_extraction,134.64539662504103,0.18053095799405128,3.410260709002614,0.0,3.410260709002614,,,,,,,,,
157,gradient_maxdet,14,781,2549,2549,,376.1492804179455,338.2386724956133,307.1884328061526,101.18392482723597,9.828684540527753,0.22204376149491,1,0.03125,1,0.03125,new_extraction,134.6197914580116,0.22215537494048476,3.5610981669742614,0.0,3.5610981669742614,,,,,,,,,
157,gradient_maxdet,15,813,2517,2517,,359.47871784971704,289.52955775969565,281.294262463824,75.6527216722045,15.067175049986638,0.17973565141305978,0,0.0,1,0.03125,new_extraction,51.42684966698289,0.06112704100087285,0.9594132920028642,0.0,0.9594132920028642,,,,,,,,,
157,gradient_maxdet,16,845,2485,2485,,408.87500513196613,359.6021728772396,334.56050573158257,118.03794689262183,9.022147548176475,0.22901047805520378,0,0.0,0,0.0,new_extraction,43.09899904206395,0.05629625008441508,1.0363852090667933,0.0,1.0363852090667933,,,,,,,,,
157,gradient_maxdet,17,877,2453,2453,,377.0812303361048,323.8402125503313,305.03342051366326,92.25364364589397,11.79331785911955,0.20542269770610927,0,0.0,0,0.0,new_extraction,45.59281312499661,0.062144124996848404,1.215245334082283,0.0,1.215245334082283,,,,,,,,,
157,gradient_maxdet,18,909,2421,2421,,370.8399795078207,260.30991793327706,266.6293632898389,91.90095928189172,13.26157450680081,0.17831106029346855,1,0.03125,0,0.0,new_extraction,47.825291875051335,0.06668541603721678,1.3652294160565361,0.0,1.3652294160565361,,,,,,,,,
157,gradient_maxdet,19,941,2389,2389,,375.7202653212004,300.3073673380525,290.6383167616421,101.24639631540256,10.451258315752316,0.2345819191745022,1,0.03125,0,0.0,new_extraction,48.131588832940906,0.09375745907891542,1.5036062080180272,0.0,1.5036062080180272,,,,,,,,,
157,gradient_maxdet,20,973,2357,2357,,381.91691441110555,271.4550763495449,260.17356648786716,130.07677180728223,10.623163997496844,0.17083708713768747,0,0.0,0,0.0,new_extraction,41.39464616694022,0.0532039999961853,0.8671674160286784,0.0,0.8671674160286784,,,,,,,,,
157,u50_gradient_maxdet,0,333,2997,1499,0.13935628275371065,148.34281932681438,428.13493959626453,431.81105478788857,260.50690956067115,8.34345078104884,0.3808706698262784,9,0.28125,13,0.40625,reused_historical_round0,125.45757037500152,0.2285370830213651,4.165908541064709,0.0,4.165908541064709,32.0,0.7710261242690687,0.6973934422996204,1467.0,0.30125753375035474,0.22114865644338208,1498.0,0.0875895206601751,0.08780414737701717
157,u50_gradient_maxdet,1,365,2965,1483,0.13169121639490378,229.7672396932771,568.3515788727486,523.4618097263636,274.29500230516646,5.969240568612823,0.391148776320166,5,0.15625,4,0.125,new_extraction,100.37594687496312,0.1347837500507012,2.9800037499517202,5.8772880010074005,8.85729175095912,32.0,0.45658848176395345,0.4538973068384567,1451.0,0.26325705488053314,0.21208234477432336,1482.0,0.0783555130391629,0.07653998048669
157,u50_gradient_maxdet,2,397,2933,1467,0.1257942152257507,258.58211942846856,582.7615138170786,555.6298126421084,234.41092213863823,6.253132532214791,0.37929270350917926,0,0.0,4,0.125,new_extraction,77.39661020797212,0.08997091697528958,2.1523174999747425,5.008554707979783,7.160872207954526,32.0,0.4890744944341352,0.36563971226914826,1435.0,0.23969033322275557,0.2013388960916028,1466.0,0.08172866088094494,0.08328940372601557
157,u50_gradient_maxdet,3,429,2901,1451,0.10865615060805267,290.99952640652737,489.87637861548296,467.43924031391145,142.13233087433238,9.971615909830689,0.28722040025057305,1,0.03125,3,0.09375,new_extraction,76.6520022089826,0.10526199999731034,2.227504750015214,4.4665934989461675,6.694098248961382,32.0,0.3839384416980109,0.395706597499179,1419.0,0.21116987873411344,0.16653364362518416,1450.0,0.07173600547719998,0.07382226656982797
157,u50_gradient_maxdet,4,461,2869,1435,0.11113265422985749,314.1719146850671,532.4016627697252,523.7960471198544,180.40376619588153,6.798109875584832,0.3902130493220926,1,0.03125,3,0.09375,new_extraction,74.99664483300876,0.12035979190841317,2.4223042499506846,4.726172833004966,7.148477082955651,32.0,0.4347380630843186,0.37186056975020904,1403.0,0.20487427846003886,0.16650584642835944,1434.0,0.07351823620932234,0.07501693550892796
157,u50_gradient_maxdet,5,493,2837,1419,0.10666775296207452,354.6714627329043,529.8871249614629,498.7306562614329,163.00864858776643,7.885107754213662,0.29738216786202964,0,0.0,2,0.0625,resumed_cache,92.89367670798674,0.11656241596210748,2.8979508749907836,4.447200709022582,7.345151584013365,32.0,0.3103342166587806,0.2915505322922447,1387.0,0.1896874223490289,0.16291141425047773,1418.0,0.0683264155363344,0.07030329890227177
157,u50_gradient_maxdet,6,525,2805,1403,0.100269970307707,356.09911985595414,463.13502929732556,436.5696500542376,109.58500292149837,8.242710419975287,0.3048691124243409,0,0.0,1,0.03125,new_extraction,82.9996370000299,0.09580787504091859,2.7008397500030696,4.4531114579876885,7.153951207990758,32.0,0.3266098089568471,0.3050564525121457,1371.0,0.18511773739067577,0.15499873639153797,1402.0,0.06250541136730536,0.0623758345606856
157,u50_gradient_maxdet,7,557,2773,1387,0.10760828515429045,346.90692071562466,383.17195615829326,359.5510653797417,144.39388946611652,9.421672032864267,0.26339860519828084,3,0.09375,1,0.03125,new_extraction,81.90824945806526,0.10793095803819597,2.502929624984972,4.3410993330180645,6.844028958003037,32.0,0.330477650781161,0.22966770407099854,1355.0,0.17831880508817338,0.15355500458308283,1386.0,0.06851353481135126,0.06911265080275159
157,u50_gradient_maxdet,8,589,2741,1371,0.11568149121771724,392.9417290380996,418.08469490607354,396.5463012646195,124.55559825413644,10.42653697581661,0.26071765081966186,1,0.03125,1,0.03125,new_extraction,77.51941091706976,0.13695645797997713,2.2255973749561235,4.516984625952318,6.742582000908442,32.0,0.4795670490217817,0.441288882113818,1339.0,0.20403954923932677,0.16599552841778153,1370.0,0.07778686165092338,0.07961052741371205
157,u50_gradient_maxdet,9,621,2709,1355,0.09899309358083955,370.7172305315176,390.8530568103113,368.4876410892508,152.4612153534776,8.244263884623658,0.29720519820000724,1,0.03125,0,0.0,new_extraction,71.84678333404008,0.09880712500307709,1.9926184170180932,3.998599375016056,5.991217792034149,32.0,0.33191025744212976,0.23406760487087794,1323.0,0.1702310458982473,0.14253191120368158,1354.0,0.06421954004033814,0.06450059064851091
157,u50_gradient_maxdet,10,653,2677,1339,0.10654556826993747,421.8422305567455,418.99067794514315,415.9635370384675,77.31433366824619,8.41689604597661,0.3329478986365522,1,0.03125,0,0.0,new_extraction,69.09495637507644,0.0971850419882685,1.9349482499528676,3.8612089169910178,5.796157166943885,32.0,0.22651154383788713,0.1806088220268196,1307.0,0.1810924340897869,0.16299964897135305,1338.0,0.06991794326416857,0.07142772070850381
157,u50_gradient_maxdet,11,685,2645,1323,0.10313941639731317,387.3714950082567,357.29691023935646,331.4553577712501,163.96471031937966,9.949593148924679,0.20920807395691665,3,0.09375,2,0.0625,new_extraction,68.48191125004087,0.08791508397553116,1.8416100420290604,3.362864499911666,5.204474541940726,32.0,0.23704053203782605,0.21531021345189888,1291.0,0.18059391425464366,0.15707659176507555,1322.0,0.06527122449670211,0.06479367649163333
