method,active_label_count,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
gradient_maxdet,333,0.8529759142704674,5.429356303085303,9.919499844208094,2.6507533174052798,4.810769740911983,0.49153969693114313,0.5491565060988396
gradient_maxdet,365,0.7965765929653412,5.1226178285906165,9.184601580698818,2.510827052793343,4.481405023762362,0.5460341091260223,0.6134084129829718
gradient_maxdet,397,0.7208343798753991,4.68782954809557,8.157935625255272,2.3077314537492017,4.070649849139244,0.6204150235904908,0.6945405616063081
gradient_maxdet,429,0.7034880914806294,4.629255529991931,7.781117935315211,2.287723406613302,3.845298578985018,0.6301410391010617,0.7179190374765609
gradient_maxdet,461,0.7102420194574657,4.670193096798869,7.856073319439688,2.2248313115369216,3.8799699782181705,0.6236902898759467,0.7119192991024617
gradient_maxdet,493,0.6635863741910435,4.410851886201764,7.237229887184128,2.1098229687848535,3.5200861143551285,0.664078495558047,0.757884079007086
gradient_maxdet,525,0.6682774980677513,4.421844377847963,7.388789325960328,2.059632656099699,3.4470271215164403,0.6614495106214382,0.7502000448532382
gradient_maxdet,557,0.6160373926603314,4.08907714166615,6.653151835746858,1.986972909179523,3.3986375163213243,0.7114297739455921,0.7893750271642854
gradient_maxdet,589,0.6153073000555624,4.109299382705176,6.556875657961379,2.018477669150995,3.2693886762614444,0.7082469798381638,0.7945613764550175
gradient_maxdet,621,0.6270011071548657,4.154907929523557,6.772760694109309,2.0191993090174467,3.4317213125366104,0.7018598378773461,0.7798931143932405
gradient_maxdet,653,0.6016638342558401,4.01475862432576,6.418679388994675,1.91667215458209,3.181049866356152,0.7215302857670094,0.8025726219705833
gradient_maxdet,685,0.6015224919007103,4.041624653131892,6.332624088542523,1.918168038344212,3.1266508142439298,0.7175277272773195,0.8085427551816124
gradient_maxdet,717,0.5926898678554655,3.9607746000748527,6.309679593464843,1.8469510907463604,3.1054236723078814,0.7290432543888615,0.8094139800532341
gradient_maxdet,749,0.593792675796781,3.9982436216447685,6.236382686627319,1.8784337612650663,3.109664547357628,0.7238934167668994,0.814190907273672
gradient_maxdet,781,0.5796084235844035,3.9159463992874253,6.065078134725448,1.8646172152148734,2.979457817489295,0.7353321260282513,0.8255664921238002
gradient_maxdet,813,0.5668645772336216,3.8201584279493987,5.9677866944193205,1.77202116671226,2.9051413650421214,0.7481175682693677,0.8324641160290601
gradient_maxdet,845,0.5679581608441044,3.9079453877343813,5.779929557373235,1.814899158706482,2.916380852818203,0.736438249505455,0.8431577008120976
gradient_maxdet,877,0.5268026534438186,3.6411145230607147,5.415402989653053,1.7660155499295938,2.8352198789445615,0.7684730030982572,0.8658380768741782
