method,combined_normalized_RMSE,combined_normalized_RMSE_AULC,V1_RMSE,V1_RMSE_AULC,V2_RMSE,V2_RMSE_AULC,V1_MAE,V1_MAE_AULC,V2_MAE,V2_MAE_AULC,V1_R2,V1_R2_AULC,V2_R2,V2_R2_AULC,combined_normalized_RMSE_N80,combined_normalized_RMSE_N80_status,combined_normalized_RMSE_N90,combined_normalized_RMSE_N90_status,combined_normalized_RMSE_N95,combined_normalized_RMSE_N95_status,V1_RMSE_N80,V1_RMSE_N80_status,V1_RMSE_N90,V1_RMSE_N90_status,V1_RMSE_N95,V1_RMSE_N95_status,V2_RMSE_N80,V2_RMSE_N80_status,V2_RMSE_N90,V2_RMSE_N90_status,V2_RMSE_N95,V2_RMSE_N95_status,V1_R2_N80,V1_R2_N80_status,V1_R2_N90,V1_R2_N90_status,V1_R2_N95,V1_R2_N95_status,V2_R2_N80,V2_R2_N80_status,V2_R2_N90,V2_R2_N90_status,V2_R2_N95,V2_R2_N95_status,NRMSE_incremental_label_saving_observed,NRMSE_AULC_wins_vs_random,fit_count,epochs,training_seconds,gradient_seconds,new_fit_count
gradient_maxdet,0.5095075423390281,0.6207973085271445,3.5667945851888936,4.156275125622507,5.089433293664922,6.652918547513948,1.74777650604431,1.994812089527417,2.6360779466103024,3.316387817510339,0.7778649210943103,0.697840656389048,0.8810673578961157,0.7870805257262792,877.0,REACHED,1005.0,REACHED,,CENSORED,877.0,REACHED,,CENSORED,,CENSORED,845.0,REACHED,1005.0,REACHED,,CENSORED,813.0,REACHED,,CENSORED,,CENSORED,813.0,REACHED,877.0,REACHED,1005.0,REACHED,0.8333333333333334,2.0,44,13261,28410.402705749846,4604.786270249984,42
hybrid,0.5271588513106987,0.6055818300006398,3.698155165055566,4.111099318581164,5.323830460166622,6.439852842357341,1.691823138893365,1.962534506332933,2.4405615752835352,3.0888936677261674,0.753045095343694,0.6970320347595501,0.870766935083024,0.8020186963786241,685.0,REACHED,,CENSORED,,CENSORED,685.0,REACHED,,CENSORED,,CENSORED,685.0,REACHED,973.0,REACHED,,CENSORED,685.0,REACHED,,CENSORED,,CENSORED,653.0,REACHED,717.0,REACHED,,CENSORED,0.8333333333333334,2.0,128,38450,93886.69824436895,0.0,0
kernel_ivr,0.5118903141906027,0.6144577173082171,3.5402789345481898,4.12555471102416,5.233507648289961,6.578762715495021,1.7211135674437745,2.0067792903505683,2.6269533577011073,3.284081478185328,0.7821926460627947,0.7008504893500234,0.8744584045742774,0.7914502087772621,845.0,REACHED,973.0,REACHED,,CENSORED,845.0,REACHED,973.0,REACHED,,CENSORED,813.0,REACHED,877.0,REACHED,,CENSORED,749.0,REACHED,973.0,REACHED,973.0,REACHED,781.0,REACHED,845.0,REACHED,,CENSORED,0.7777777777777778,2.0,44,11251,12325.873016831,2418.179978121945,0
lcmd,0.5187509521829625,0.6190503855628173,3.5372837779405204,4.158012491475731,5.505413735492827,6.6870555976766815,1.6099607518536865,2.003527396758751,2.498568937932845,3.246333533244358,0.7800647134206654,0.6911204716441189,0.8619829096601476,0.7856090119597714,717.0,REACHED,,CENSORED,,CENSORED,717.0,REACHED,,CENSORED,,CENSORED,717.0,REACHED,,CENSORED,,CENSORED,653.0,REACHED,1005.0,REACHED,,CENSORED,685.0,REACHED,813.0,REACHED,,CENSORED,0.7222222222222222,2.0,44,13977,26701.785744955938,4824.170272626332,0
random,0.7077813986526194,0.7808774969932566,4.609632898931002,4.99734195135005,8.003402643979456,9.140973028368961,2.1026924471203374,2.3861405218084535,3.483173751144958,4.1795235375937665,0.6329420591137983,0.56208344973738,0.7095158555086485,0.6175231582839784,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,,CENSORED,0.0,,44,9530,27354.86200604291,0.0,0
u50_gradient_maxdet,0.5219238845158712,0.6221723480201817,3.591811531843415,4.176353819288789,5.377371087619197,6.647232480568763,1.7424965293573247,2.017991246099789,2.7360276243955397,3.3539927818329485,0.7760056206446596,0.6946534165369849,0.8668165027525643,0.7880498318452089,845.0,REACHED,,CENSORED,,CENSORED,845.0,REACHED,,CENSORED,,CENSORED,845.0,REACHED,909.0,REACHED,,CENSORED,813.0,REACHED,,CENSORED,,CENSORED,845.0,REACHED,877.0,REACHED,,CENSORED,0.8333333333333334,2.0,128,36156,53650.71266133757,2944.881026832387,122
