outer_seed,source_round,active_label_count,intersection_count,overlap_fraction,same_ordered_batch
157,0,333,32,1.0,True
157,1,365,32,1.0,True
157,2,397,32,1.0,True
157,3,429,32,1.0,True
157,4,461,31,0.96875,False
157,5,493,16,0.5,False
157,6,525,7,0.21875,False
157,7,557,6,0.1875,False
157,8,589,6,0.1875,False
157,9,621,4,0.125,False
157,10,653,5,0.15625,False
157,11,685,2,0.0625,False
157,12,717,2,0.0625,False
157,13,749,5,0.15625,False
157,14,781,2,0.0625,False
157,15,813,3,0.09375,False
157,16,845,3,0.09375,False
157,17,877,0,0.0,False
157,18,909,0,0.0,False
157,19,941,2,0.0625,False
157,20,973,1,0.03125,False
6101,0,333,32,1.0,True
6101,1,365,32,1.0,True
6101,2,397,32,1.0,True
6101,3,429,32,1.0,True
6101,4,461,31,0.96875,False
6101,5,493,16,0.5,False
6101,6,525,9,0.28125,False
6101,7,557,6,0.1875,False
6101,8,589,7,0.21875,False
6101,9,621,6,0.1875,False
6101,10,653,4,0.125,False
6101,11,685,4,0.125,False
6101,12,717,2,0.0625,False
6101,13,749,5,0.15625,False
6101,14,781,2,0.0625,False
6101,15,813,4,0.125,False
6101,16,845,0,0.0,False
6101,17,877,6,0.1875,False
6101,18,909,0,0.0,False
6101,19,941,5,0.15625,False
6101,20,973,5,0.15625,False
