outer_seed,strategy,mean_transfer_prediction_shift,median_transfer_prediction_shift,mean_target_ensemble_uncertainty,mean_quantile_width,mean_latent_distance,mean_target_representativeness,mean_pool_knn10_distance,batch_mean_pairwise_distance,batch_min_pairwise_distance,informative_shortlist_mean_distance_to_batch,informative_shortlist_max_distance_to_batch,selected_unique_compounds,compound_hhi,mean_abs_condition_z,max_abs_condition_z,condition_distribution
42,transfer_shift,6.670591957576318,5.787394309083208,2.2990176191592995,3.75502671954636,32.47915946604631,-22.816372308375932,22.816372308375932,27.54539335778887,6.975684144001162,24.012426642907553,37.402068928986616,9,0.12000000000000002,0.5654876,1.4142139,"{""mean"": [86.35603332519531, 3.336556911468506, 2.746269464492798, 0.0, 0.2537305951118469, 2.3306872844696045, 1.600000023841858, 106.2199935913086, 300.0], ""std"": [0.17468734085559845, 2.3646554946899414, 0.17982171475887299, 0.0, 0.17982174456119537, 0.18136824667453766, 0.800000011920929, 5.1232404708862305, 0.0]}"
42,transfer_shift_uncertainty,5.760690050912019,4.636169282193867,5.15092828874981,3.2034478682881464,30.26313334285602,-20.841513860115747,20.841513860115747,30.175942704916185,12.664595050934667,15.468803786287607,29.791465498683635,9,0.12000000000000002,0.6522523,4.31605,"{""mean"": [86.26191711425781, 2.0624098777770996, 2.843162775039673, 0.0, 0.15683728456497192, 2.4284138679504395, 2.0, 116.72999572753906, 300.0], ""std"": [0.1864735633134842, 2.5241971015930176, 0.19195416569709778, 0.0, 0.19195416569709778, 0.19360502064228058, 0.0, 19.2822208404541, 0.0]}"
42,transfer_shift_uncertainty_representative,2.9619781878127256,2.3928997978342403,1.7191235291348073,1.8396271302258067,14.698746467279477,-10.279920031397001,10.279920031397001,22.790530390730524,6.360350426811286,8.688528265510753,29.4699588205485,8,0.16000000000000003,0.90158117,16.242071,"{""mean"": [86.24882507324219, 1.8852685689926147, 2.8566336631774902, 0.0, 0.14336642622947693, 2.4420006275177, 1.600000023841858, 115.16099548339844, 350.0], ""std"": [0.10400620102882385, 1.407867431640625, 0.10706212371587753, 0.0, 0.10706216096878052, 0.10798300802707672, 0.800000011920929, 22.529111862182617, 150.0]}"
42,pretrained_random,0.9745698282762527,0.593705207532151,0.15494030092305539,0.6903045547628915,8.102034422592867,-5.8929389652440936,5.8929389652440936,14.546069220836342,5.5099095295150065,13.842915091147177,58.774642519649234,10,0.10000000000000003,1.1588398,16.242071,"{""mean"": [87.1171646118164, 13.639566421508789, 1.962770700454712, 0.0, 1.0372294187545776, 1.5404503345489502, 1.399999976158142, 117.0090103149414, 380.0], ""std"": [0.8039100170135498, 10.882214546203613, 0.8275448679924011, 0.0, 0.8275448679924011, 0.8346618413925171, 0.9165151119232178, 24.184412002563477, 166.13247680664062]}"
42,pretrained_coverage,4.490626950165806,4.636169282193867,3.66780484936992,2.658710021141087,30.52398694561321,-21.050898167880508,21.050898167880508,38.91440063558601,17.620022391592695,19.03183139224866,25.35053758186736,9,0.12000000000000002,1.062554,22.801369,"{""mean"": [86.61430358886719, 6.832508087158203, 2.4804177284240723, 0.0, 0.5195823907852173, 2.062549352645874, 2.0, 112.1679916381836, 390.0], ""std"": [0.7399632334709167, 10.016585350036621, 0.7617174983024597, 0.0, 0.7617175579071045, 0.7682682871818542, 0.0, 8.72119426727295, 211.8961944580078]}"
42,pretrained_ensemble,3.7937253125294617,3.632839971959238,6.175890963457645,2.1709269809482508,21.33779298054558,-14.860341313487975,14.860341313487975,25.15636410121656,7.5682175169351,12.218125866873729,37.75075660223385,8,0.14,0.9798484,16.242071,"{""mean"": [86.22492980957031, 1.5617927312850952, 2.881232738494873, 0.0, 0.11876751482486725, 2.466811180114746, 2.0, 134.8300018310547, 350.0], ""std"": [0.17908000946044922, 2.42411732673645, 0.18434353172779083, 0.0, 0.18434353172779083, 0.18592888116836548, 0.0, 27.6901798248291, 150.0]}"
42,pretrained_hybrid,5.099772617520613,5.065451181034838,3.8271065182710884,3.014138686061277,31.165150587916504,-21.338728512028823,21.338728512028823,34.12061386137525,16.92963456273819,18.51222977184469,26.522720178429168,9,0.12000000000000002,0.8453723,22.801369,"{""mean"": [86.29048156738281, 2.4491748809814453, 2.813750982284546, 0.0, 0.1862490475177765, 2.398749351501465, 2.0, 109.64900207519531, 370.0], ""std"": [0.1886536329984665, 2.553706645965576, 0.19419822096824646, 0.0, 0.19419823586940765, 0.19586840271949768, 0.0, 4.713875770568848, 210.0]}"
42,pretrained_quantile_width,6.670591957576318,5.787394309083208,2.299017619159299,3.75502671954636,32.47915946604631,-22.816372308375932,22.816372308375932,27.54539335778887,6.975684144001162,24.012426642907553,37.402068928986616,9,0.12000000000000002,0.56548756,1.4142139,"{""mean"": [86.35603332519531, 3.336556911468506, 2.746269464492798, 0.0, 0.2537305951118469, 2.3306872844696045, 1.600000023841858, 106.2199935913086, 300.0], ""std"": [0.17468734085559845, 2.3646554946899414, 0.17982171475887299, 0.0, 0.17982172966003418, 0.18136826157569885, 0.800000011920929, 5.1232404708862305, 0.0]}"
525,transfer_shift,3.8773328269071747,3.664769328744673,1.3424976839756406,3.058430121107299,14.788673737693468,-11.277036003888089,11.277036003888089,12.841453962330338,7.39937106998196,14.141520574187421,22.76838709492233,10,0.10000000000000003,0.54141104,1.4513993,"{""mean"": [86.28666687011719, 2.397606134414673, 2.8176727294921875, 0.0, 0.1823274791240692, 2.4027047157287598, 1.7999999523162842, 108.24200439453125, 320.0], ""std"": [0.12584856152534485, 1.7035386562347412, 0.1295466125011444, 0.0, 0.12954668700695038, 0.13066092133522034, 0.5999999642372131, 6.621380805969238, 60.0]}"
525,transfer_shift_uncertainty,3.46451720326696,3.3895098527402663,2.0172468010697733,2.8479311072649196,14.782008643936786,-11.198840232969857,11.198840232969857,15.091939525484074,7.746266312353435,11.282253183118527,19.285472214844493,10,0.10000000000000003,0.5707389,1.8865867,"{""mean"": [86.29975891113281, 2.5747478008270264, 2.804201602935791, 0.0, 0.19579832255840302, 2.38911771774292, 1.7999999523162842, 115.73200988769531, 320.0], ""std"": [0.1969832181930542, 2.6664605140686035, 0.20277264714241028, 0.0, 0.20277269184589386, 0.20451658964157104, 0.5999999642372131, 9.258855819702148, 60.0]}"
