outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
42,pretrained_ensemble,historical_E4_round1,1,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,pretrained_ensemble,historical_E4_round1,2,f95928e2618ed15e654f,COc1ccc(C=O)cc1
42,pretrained_ensemble,historical_E4_round1,3,9563dde5c28fb62e4f7e,C=CC(=O)OCCOc1ccccc1
42,pretrained_ensemble,historical_E4_round1,4,27b234a05f8c66fd059f,O=Cc1cc(Br)ccc1O
42,pretrained_ensemble,historical_E4_round1,5,99dd4a9a47de5c84b7c0,O=Cc1ccc(Br)cc1O
42,pretrained_ensemble,historical_E4_round1,6,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
42,pretrained_ensemble,historical_E4_round1,7,8837a8a19c37b63d2e48,O=Cc1ccc(-c2ccccc2)cc1
42,pretrained_ensemble,historical_E4_round1,8,226ebdbf914ce9333de8,O=Cc1ccc(Br)cc1O
42,pretrained_ensemble,historical_E4_round1,9,7e451fd74af5bfa51ac9,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,pretrained_ensemble,historical_E4_round1,10,848f6c84b4d5fc44c3c2,N#Cc1ccccc1Br
42,pretrained_hybrid,historical_E4_round1,1,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,pretrained_hybrid,historical_E4_round1,2,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
42,pretrained_hybrid,historical_E4_round1,3,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
42,pretrained_hybrid,historical_E4_round1,4,f95928e2618ed15e654f,COc1ccc(C=O)cc1
42,pretrained_hybrid,historical_E4_round1,5,546046afb5114d631360,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
42,pretrained_hybrid,historical_E4_round1,6,e375bb01e53e46f8faee,O=C1CCCc2ccccc21
42,pretrained_hybrid,historical_E4_round1,7,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,pretrained_hybrid,historical_E4_round1,8,7e451fd74af5bfa51ac9,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,pretrained_hybrid,historical_E4_round1,9,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
42,pretrained_hybrid,historical_E4_round1,10,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
42,pretrained_quantile_width,historical_E4_round1,1,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
42,pretrained_quantile_width,historical_E4_round1,2,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
42,pretrained_quantile_width,historical_E4_round1,3,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
42,pretrained_quantile_width,historical_E4_round1,4,82fa7e7b3bd183853280,CCOC(=O)c1cccnc1
42,pretrained_quantile_width,historical_E4_round1,5,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
42,pretrained_quantile_width,historical_E4_round1,6,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
42,pretrained_quantile_width,historical_E4_round1,7,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,pretrained_quantile_width,historical_E4_round1,8,7a0a82051f50d5b0c89c,OCCCc1ccccc1
42,pretrained_quantile_width,historical_E4_round1,9,f95928e2618ed15e654f,COc1ccc(C=O)cc1
42,pretrained_quantile_width,historical_E4_round1,10,d59d233a1606de5b6deb,CC(C)(O)CCc1ccccc1
525,transfer_shift,D43_new,1,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
525,transfer_shift,D43_new,2,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
525,transfer_shift,D43_new,3,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
525,transfer_shift,D43_new,4,10d51839b15b94f0ae56,CCOC(=O)/C=C(/C)N
525,transfer_shift,D43_new,5,82fa7e7b3bd183853280,CCOC(=O)c1cccnc1
525,transfer_shift,D43_new,6,4e6d2ab0e823ac1d4b58,CC(=O)CC(=O)OC(C)(C)C
525,transfer_shift,D43_new,7,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
525,transfer_shift,D43_new,8,f95928e2618ed15e654f,COc1ccc(C=O)cc1
525,transfer_shift,D43_new,9,3545611fd9950a160288,C/C(=N\O)c1ccccc1
525,transfer_shift,D43_new,10,f1afcbd393ce4f5a6316,COc1ccc(CO)cc1
525,transfer_shift_uncertainty,D43_new,1,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
525,transfer_shift_uncertainty,D43_new,2,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
525,transfer_shift_uncertainty,D43_new,3,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,transfer_shift_uncertainty,D43_new,4,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
525,transfer_shift_uncertainty,D43_new,5,f95928e2618ed15e654f,COc1ccc(C=O)cc1
525,transfer_shift_uncertainty,D43_new,6,3545611fd9950a160288,C/C(=N\O)c1ccccc1
525,transfer_shift_uncertainty,D43_new,7,be7d68067464e72d0b8d,COC(=O)CS
