outer_seed,relationship,spearman,top10_count,top10_overlap_count,top10_overlap_fraction
42,transfer_shift_vs_ensemble_uncertainty,0.6971917794330241,47,25,0.5319148936170213
42,transfer_shift_vs_qwidth,0.9175224173941687,47,41,0.8723404255319149
42,transfer_shift_vs_latent_distance,0.638179834704747,47,31,0.6595744680851063
42,transfer_shift_vs_representativeness,-0.6829892231863876,47,0,0.0
42,T2_vs_old_ensemble,0.9170025196553477,47,38,0.8085106382978723
42,T2_vs_old_hybrid_proxy,0.8759155105702267,47,42,0.8936170212765957
525,transfer_shift_vs_ensemble_uncertainty,0.5270060256619071,47,23,0.48936170212765956
525,transfer_shift_vs_qwidth,0.9286426254850155,47,44,0.9361702127659575
525,transfer_shift_vs_latent_distance,0.47990375496114324,47,32,0.6808510638297872
525,transfer_shift_vs_representativeness,-0.6945627903211046,47,0,0.0
525,T2_vs_old_ensemble,0.8666086987003593,47,37,0.7872340425531915
525,T2_vs_old_hybrid_proxy,0.8117142034079758,47,38,0.8085106382978723
1101,transfer_shift_vs_ensemble_uncertainty,0.6739069840991452,47,28,0.5957446808510638
1101,transfer_shift_vs_qwidth,0.9145212913525008,47,41,0.8723404255319149
1101,transfer_shift_vs_latent_distance,0.6862511098339044,47,22,0.46808510638297873
1101,transfer_shift_vs_representativeness,-0.6648287746627092,47,0,0.0
1101,T2_vs_old_ensemble,0.9118374049634026,47,37,0.7872340425531915
1101,T2_vs_old_hybrid_proxy,0.9043822661402205,47,39,0.8297872340425532
