stage,outer_seed,strategy,round,gradient_training_label_count,Var_V1_ddof0,Var_V2_ddof0,Var_V1_over_Var_V2,status,potential_confound_only
E4_Protocol_A_formal,42,pretrained_random,0.0,42.0,358.54473151297555,685.9556706664147,0.5226937349532292,observed,True
E4_Protocol_A_formal,42,pretrained_random,1.0,52.0,306.7816918094592,592.8606696612015,0.517460016338702,observed,True
E4_Protocol_A_formal,42,pretrained_coverage,0.0,42.0,358.54473151297555,685.9556706664147,0.5226937349532292,observed,True
E4_Protocol_A_formal,42,pretrained_coverage,1.0,52.0,1062.9834204470742,3066.3960572813935,0.3466556180578625,observed,True
E4_Protocol_A_formal,42,pretrained_ensemble,0.0,42.0,358.54473151297555,685.9556706664147,0.5226937349532292,observed,True
E4_Protocol_A_formal,42,pretrained_ensemble,1.0,52.0,825.3097042190583,1994.1641088048568,0.4138624803119555,observed,True
E4_Protocol_A_formal,42,pretrained_hybrid,0.0,42.0,358.54473151297555,685.9556706664147,0.5226937349532292,observed,True
E4_Protocol_A_formal,42,pretrained_hybrid,1.0,52.0,1188.653853755753,3793.493434726331,0.3133401636798943,observed,True
E4_Protocol_A_formal,42,pretrained_quantile_width,0.0,42.0,358.54473151297555,685.9556706664147,0.5226937349532292,observed,True
E4_Protocol_A_formal,42,pretrained_quantile_width,1.0,52.0,1219.7838273545365,3635.5038661602152,0.33551988177167325,observed,True
E4_Protocol_A_formal,525,pretrained_random,0.0,42.0,427.3462008692366,1721.6078875740106,0.2482250481969085,observed,True
E4_Protocol_A_formal,525,pretrained_random,1.0,52.0,365.10407058986686,1451.9711299104206,0.2514540840852614,observed,True
E4_Protocol_A_formal,525,pretrained_coverage,0.0,42.0,427.3462008692366,1721.6078875740106,0.2482250481969085,observed,True
E4_Protocol_A_formal,525,pretrained_coverage,1.0,52.0,1412.7458716253693,3694.201112549309,0.38242256676991143,observed,True
E4_Protocol_A_formal,525,pretrained_ensemble,0.0,42.0,427.3462008692366,1721.6078875740106,0.2482250481969085,observed,True
E4_Protocol_A_formal,525,pretrained_ensemble,1.0,52.0,1348.9447126427924,4090.7190995592946,0.32975735556814895,observed,True
E4_Protocol_A_formal,525,pretrained_hybrid,0.0,42.0,427.3462008692366,1721.6078875740106,0.2482250481969085,observed,True
E4_Protocol_A_formal,525,pretrained_hybrid,1.0,52.0,1400.1228910615962,3727.1511575443783,0.37565497933388425,observed,True
E4_Protocol_A_formal,525,pretrained_quantile_width,0.0,42.0,427.3462008692366,1721.6078875740106,0.2482250481969085,observed,True
E4_Protocol_A_formal,525,pretrained_quantile_width,1.0,52.0,1602.311192677515,4527.373222258177,0.3539163029016436,observed,True
E4_Protocol_A_formal,1101,pretrained_random,0.0,42.0,158.82996441169058,609.5418304752455,0.2605727063684121,observed,True
E4_Protocol_A_formal,1101,pretrained_random,1.0,52.0,141.7537073420036,542.1354220855933,0.26147287479699727,observed,True
E4_Protocol_A_formal,1101,pretrained_coverage,0.0,42.0,158.82996441169058,609.5418304752455,0.2605727063684121,observed,True
E4_Protocol_A_formal,1101,pretrained_coverage,1.0,52.0,1311.6054151000576,3650.9176492387824,0.35925362911801856,observed,True
E4_Protocol_A_formal,1101,pretrained_ensemble,0.0,42.0,158.82996441169058,609.5418304752455,0.2605727063684121,observed,True
E4_Protocol_A_formal,1101,pretrained_ensemble,1.0,52.0,1088.2643154945347,3242.6978010714583,0.33560460525644675,observed,True
E4_Protocol_A_formal,1101,pretrained_hybrid,0.0,42.0,158.82996441169058,609.5418304752455,0.2605727063684121,observed,True
E4_Protocol_A_formal,1101,pretrained_hybrid,1.0,52.0,1314.2216812541092,3657.3409322608486,0.3593380288016245,observed,True
E4_Protocol_A_formal,1101,pretrained_quantile_width,0.0,42.0,158.82996441169058,609.5418304752455,0.2605727063684121,observed,True
E4_Protocol_A_formal,1101,pretrained_quantile_width,1.0,52.0,1438.676221313075,4438.687304610453,0.32412200332713814,observed,True
E4_A2_low_L0_smoke,42,pretrained_random,,,,,,not_run_qualification_gate_failed,True
E4_A2_low_L0_smoke,42,transfer_shift_uncertainty,,,,,,not_run_qualification_gate_failed,True
E4_A2_low_L0_smoke,42,transfer_shift_uncertainty_representative,,,,,,not_run_qualification_gate_failed,True
