outer_seed,method,round,active_label_count,unlabeled_count,incoming_batch_count,selected_ids_unique,selected_from_previous_U_t,trajectory_transition_pass
157,random,0,333,2997,0,True,True,True
157,random,1,365,2965,32,True,True,True
157,random,2,397,2933,32,True,True,True
157,random,3,429,2901,32,True,True,True
157,random,4,461,2869,32,True,True,True
157,random,5,493,2837,32,True,True,True
157,random,6,525,2805,32,True,True,True
157,random,7,557,2773,32,True,True,True
157,random,8,589,2741,32,True,True,True
157,random,9,621,2709,32,True,True,True
157,random,10,653,2677,32,True,True,True
157,random,11,685,2645,32,True,True,True
157,random,12,717,2613,32,True,True,True
157,random,13,749,2581,32,True,True,True
157,random,14,781,2549,32,True,True,True
157,random,15,813,2517,32,True,True,True
157,random,16,845,2485,32,True,True,True
157,random,17,877,2453,32,True,True,True
157,random,18,909,2421,32,True,True,True
157,random,19,941,2389,32,True,True,True
157,random,20,973,2357,32,True,True,True
157,random,21,1005,2325,32,True,True,True
157,hybrid,0,333,2997,0,True,True,True
157,hybrid,1,365,2965,32,True,True,True
157,hybrid,2,397,2933,32,True,True,True
157,hybrid,3,429,2901,32,True,True,True
157,hybrid,4,461,2869,32,True,True,True
157,hybrid,5,493,2837,32,True,True,True
157,hybrid,6,525,2805,32,True,True,True
157,hybrid,7,557,2773,32,True,True,True
157,hybrid,8,589,2741,32,True,True,True
157,hybrid,9,621,2709,32,True,True,True
157,hybrid,10,653,2677,32,True,True,True
157,hybrid,11,685,2645,32,True,True,True
157,hybrid,12,717,2613,32,True,True,True
157,hybrid,13,749,2581,32,True,True,True
157,hybrid,14,781,2549,32,True,True,True
157,hybrid,15,813,2517,32,True,True,True
157,hybrid,16,845,2485,32,True,True,True
157,hybrid,17,877,2453,32,True,True,True
157,hybrid,18,909,2421,32,True,True,True
157,hybrid,19,941,2389,32,True,True,True
157,hybrid,20,973,2357,32,True,True,True
157,hybrid,21,1005,2325,32,True,True,True
157,lcmd,0,333,2997,0,True,True,True
157,lcmd,1,365,2965,32,True,True,True
157,lcmd,2,397,2933,32,True,True,True
157,lcmd,3,429,2901,32,True,True,True
157,lcmd,4,461,2869,32,True,True,True
157,lcmd,5,493,2837,32,True,True,True
157,lcmd,6,525,2805,32,True,True,True
157,lcmd,7,557,2773,32,True,True,True
157,lcmd,8,589,2741,32,True,True,True
157,lcmd,9,621,2709,32,True,True,True
157,lcmd,10,653,2677,32,True,True,True
157,lcmd,11,685,2645,32,True,True,True
157,lcmd,12,717,2613,32,True,True,True
157,lcmd,13,749,2581,32,True,True,True
157,lcmd,14,781,2549,32,True,True,True
157,lcmd,15,813,2517,32,True,True,True
157,lcmd,16,845,2485,32,True,True,True
157,lcmd,17,877,2453,32,True,True,True
157,lcmd,18,909,2421,32,True,True,True
157,lcmd,19,941,2389,32,True,True,True
157,lcmd,20,973,2357,32,True,True,True
157,lcmd,21,1005,2325,32,True,True,True
887,random,0,333,2997,0,True,True,True
887,random,1,365,2965,32,True,True,True
887,random,2,397,2933,32,True,True,True
887,random,3,429,2901,32,True,True,True
887,random,4,461,2869,32,True,True,True
887,random,5,493,2837,32,True,True,True
887,random,6,525,2805,32,True,True,True
887,random,7,557,2773,32,True,True,True
887,random,8,589,2741,32,True,True,True
887,random,9,621,2709,32,True,True,True
887,random,10,653,2677,32,True,True,True
887,random,11,685,2645,32,True,True,True
887,random,12,717,2613,32,True,True,True
887,random,13,749,2581,32,True,True,True
887,random,14,781,2549,32,True,True,True
887,random,15,813,2517,32,True,True,True
887,random,16,845,2485,32,True,True,True
887,random,17,877,2453,32,True,True,True
887,random,18,909,2421,32,True,True,True
887,random,19,941,2389,32,True,True,True
887,random,20,973,2357,32,True,True,True
887,random,21,1005,2325,32,True,True,True
887,hybrid,0,333,2997,0,True,True,True
887,hybrid,1,365,2965,32,True,True,True
887,hybrid,2,397,2933,32,True,True,True
887,hybrid,3,429,2901,32,True,True,True
887,hybrid,4,461,2869,32,True,True,True
887,hybrid,5,493,2837,32,True,True,True
887,hybrid,6,525,2805,32,True,True,True
887,hybrid,7,557,2773,32,True,True,True
887,hybrid,8,589,2741,32,True,True,True
887,hybrid,9,621,2709,32,True,True,True
887,hybrid,10,653,2677,32,True,True,True
887,hybrid,11,685,2645,32,True,True,True
887,hybrid,12,717,2613,32,True,True,True
887,hybrid,13,749,2581,32,True,True,True
887,hybrid,14,781,2549,32,True,True,True
887,hybrid,15,813,2517,32,True,True,True
887,hybrid,16,845,2485,32,True,True,True
887,hybrid,17,877,2453,32,True,True,True
887,hybrid,18,909,2421,32,True,True,True
887,hybrid,19,941,2389,32,True,True,True
887,hybrid,20,973,2357,32,True,True,True
887,hybrid,21,1005,2325,32,True,True,True
887,lcmd,0,333,2997,0,True,True,True
887,lcmd,1,365,2965,32,True,True,True
887,lcmd,2,397,2933,32,True,True,True
887,lcmd,3,429,2901,32,True,True,True
887,lcmd,4,461,2869,32,True,True,True
887,lcmd,5,493,2837,32,True,True,True
887,lcmd,6,525,2805,32,True,True,True
887,lcmd,7,557,2773,32,True,True,True
887,lcmd,8,589,2741,32,True,True,True
887,lcmd,9,621,2709,32,True,True,True
887,lcmd,10,653,2677,32,True,True,True
887,lcmd,11,685,2645,32,True,True,True
887,lcmd,12,717,2613,32,True,True,True
887,lcmd,13,749,2581,32,True,True,True
887,lcmd,14,781,2549,32,True,True,True
887,lcmd,15,813,2517,32,True,True,True
887,lcmd,16,845,2485,32,True,True,True
887,lcmd,17,877,2453,32,True,True,True
887,lcmd,18,909,2421,32,True,True,True
887,lcmd,19,941,2389,32,True,True,True
887,lcmd,20,973,2357,32,True,True,True
887,lcmd,21,1005,2325,32,True,True,True
2357,random,0,333,2997,0,True,True,True
2357,random,1,365,2965,32,True,True,True
2357,random,2,397,2933,32,True,True,True
2357,random,3,429,2901,32,True,True,True
2357,random,4,461,2869,32,True,True,True
2357,random,5,493,2837,32,True,True,True
2357,random,6,525,2805,32,True,True,True
2357,random,7,557,2773,32,True,True,True
2357,random,8,589,2741,32,True,True,True
2357,random,9,621,2709,32,True,True,True
2357,random,10,653,2677,32,True,True,True
2357,random,11,685,2645,32,True,True,True
2357,random,12,717,2613,32,True,True,True
2357,random,13,749,2581,32,True,True,True
2357,random,14,781,2549,32,True,True,True
2357,random,15,813,2517,32,True,True,True
2357,random,16,845,2485,32,True,True,True
2357,random,17,877,2453,32,True,True,True
2357,random,18,909,2421,32,True,True,True
2357,random,19,941,2389,32,True,True,True
2357,random,20,973,2357,32,True,True,True
2357,random,21,1005,2325,32,True,True,True
2357,hybrid,0,333,2997,0,True,True,True
2357,hybrid,1,365,2965,32,True,True,True
2357,hybrid,2,397,2933,32,True,True,True
2357,hybrid,3,429,2901,32,True,True,True
2357,hybrid,4,461,2869,32,True,True,True
2357,hybrid,5,493,2837,32,True,True,True
2357,hybrid,6,525,2805,32,True,True,True
2357,hybrid,7,557,2773,32,True,True,True
2357,hybrid,8,589,2741,32,True,True,True
2357,hybrid,9,621,2709,32,True,True,True
2357,hybrid,10,653,2677,32,True,True,True
2357,hybrid,11,685,2645,32,True,True,True
2357,hybrid,12,717,2613,32,True,True,True
2357,hybrid,13,749,2581,32,True,True,True
2357,hybrid,14,781,2549,32,True,True,True
2357,hybrid,15,813,2517,32,True,True,True
2357,hybrid,16,845,2485,32,True,True,True
2357,hybrid,17,877,2453,32,True,True,True
2357,hybrid,18,909,2421,32,True,True,True
2357,hybrid,19,941,2389,32,True,True,True
2357,hybrid,20,973,2357,32,True,True,True
2357,hybrid,21,1005,2325,32,True,True,True
2357,lcmd,0,333,2997,0,True,True,True
