record_type,outer_seed,method,comparison,AULC_raw,normalized_AULC,mean,median,std
per_seed,157.0,random,,520.0399223404922,0.773868932054304,,,
per_seed,157.0,hybrid,,392.2402066470051,0.5836907837009004,,,
per_seed,157.0,lcmd,,391.79219016968295,0.5830240925144091,,,
per_seed,887.0,random,,312.77538587528926,0.4654395623144185,,,
per_seed,887.0,hybrid,,251.88373807958294,0.3748269911898556,,,
per_seed,887.0,lcmd,,230.46186243266712,0.3429492000486118,,,
per_seed,2357.0,random,,352.180428563086,0.5240780186950685,,,
per_seed,2357.0,hybrid,,268.5781909740025,0.39966992704464654,,,
per_seed,2357.0,lcmd,,263.38476173435475,0.3919416097237422,,,
per_seed,6101.0,random,,529.4594336184447,0.7878860619322093,,,
per_seed,6101.0,hybrid,,421.6617728738548,0.6274728763003792,,,
per_seed,6101.0,lcmd,,440.21152802674357,0.6550766786112255,,,
per_seed,12203.0,random,,383.05953348590026,0.5700290676873516,,,
per_seed,12203.0,hybrid,,276.2638802776667,0.4111069646989088,,,
per_seed,12203.0,lcmd,,285.3993325957776,0.4247013877913357,,,
method_summary,,random,,,,0.6242603285366705,0.5700290676873516,0.13217993457227403
method_summary,,hybrid,,,,0.47935350858693815,0.4111069646989088,0.10465034240676574
method_summary,,lcmd,,,,0.4795385937378649,0.4247013877913357,0.11904610949613398
paired_difference_summary,,,hybrid_minus_random,,,-0.1449068199497323,-0.15892210298844284,0.03421821745250184
paired_difference_summary,,,lcmd_minus_random,,,-0.1447217347988055,-0.1328093833209838,0.024175344585069633
paired_difference_summary,,,lcmd_minus_hybrid,,,0.00018508515092676702,-0.0006666911864913194,0.020114531525552492
