method,round,active_label_count,active_label_fraction_outer_train,shared_validation_label_count,total_observed_non_test_labels,total_observed_fraction_full_dataset,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
hybrid,0,333.0,0.1,416.0,749.0,0.1799183281287533,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.48664194340795214,0.5516772802117034
hybrid,1,365.0,0.10960960960960961,416.0,781.0,0.18760509248138363,0.6827252726358439,5.091937968091092,9.153304328259773,2.5613047427124824,4.647888675868082,0.5049443285875969,0.5991850391526452
hybrid,2,397.0,0.11921921921921921,416.0,813.0,0.19529185683401393,0.6453437423698473,4.863786817489034,8.515706067984073,2.4059419562204853,4.254359725110537,0.5478922929925922,0.6485625644884746
hybrid,3,429.0,0.12882882882882882,416.0,845.0,0.20297862118664428,0.5740544571677179,4.378276007828842,7.478708751345299,2.1809676900470287,3.7955008486192,0.632846195380451,0.7309498080189641
hybrid,4,461.0,0.13843843843843845,416.0,877.0,0.21066538553927455,0.5725746020583378,4.382660426850416,7.379192464168628,2.1691732755382,3.7604043967432252,0.6328810837719309,0.7377613402710942
hybrid,5,493.0,0.14804804804804805,416.0,909.0,0.2183521498919049,0.5558050063733848,4.271121417687191,7.061265428011043,2.1115011364435974,3.5371404614665813,0.6520176686085295,0.7589062595918138
hybrid,6,525.0,0.15765765765765766,416.0,941.0,0.2260389142445352,0.5209235947024204,4.055179289426633,6.479336673403859,1.9943613666424647,3.398077402526526,0.6856548959961952,0.7974663899403658
hybrid,7,557.0,0.16726726726726726,416.0,973.0,0.23372567859716548,0.4900140563111415,3.7878834125546184,6.102097871331038,1.8926463886416502,3.158853536143863,0.7245287434263065,0.8184723507110399
hybrid,8,589.0,0.17687687687687687,416.0,1005.0,0.24141244294979583,0.46850407775289915,3.707359994876376,5.5907791111894065,1.8168349972731774,2.929398412041241,0.7348710475346462,0.8474239478328874
hybrid,9,621.0,0.1864864864864865,416.0,1037.0,0.24909920730242613,0.4549677438340165,3.589123667950922,5.484187017834538,1.8201313062251614,2.8473796636366444,0.7502379891939219,0.8532328931364009
hybrid,10,653.0,0.1960960960960961,416.0,1069.0,0.25678597165505646,0.4297847738418735,3.4160496969997096,5.169333427098679,1.7273548731129231,2.77087373230383,0.7693805428745979,0.8694826914160846
hybrid,11,685.0,0.20570570570570573,416.0,1101.0,0.2644727360076868,0.41819341182336245,3.351491872164531,4.946969499980099,1.7182998084335874,2.6398614615845166,0.7796341483288282,0.878554815709669
hybrid,12,717.0,0.21531531531531528,416.0,1133.0,0.27215950036031705,0.4122324536112113,3.3035470018040423,4.883506475506945,1.7013421500043617,2.6313953719836634,0.7861846160108407,0.8823507195221698
hybrid,13,749.0,0.2249249249249249,416.0,1165.0,0.2798462647129474,0.41455499992128003,3.2802352856908796,4.9870848411910815,1.6847595862347444,2.7119983316325458,0.7907231337779257,0.8777155437289345
hybrid,14,781.0,0.23453453453453452,416.0,1197.0,0.2875330290655777,0.41220570502068804,3.302292134482375,4.854062211066418,1.6558802781916924,2.641953501941489,0.7857539401780798,0.8826010585151801
hybrid,15,813.0,0.24414414414414415,416.0,1229.0,0.29521979341820803,0.4166528786295031,3.367715617410061,4.829443559549779,1.7028990558011354,2.5082451708311084,0.7770419065156245,0.8850143006546336
hybrid,16,845.0,0.25375375375375375,416.0,1261.0,0.30290655777083836,0.41413427968859945,3.3159497136119533,4.854823971970644,1.6194379534366892,2.4766419806354625,0.7840791050957041,0.883493576104817
hybrid,17,877.0,0.26336336336336336,416.0,1293.0,0.31059332212346863,0.4131210074594612,3.316635988034359,4.900142247632162,1.6630527624409261,2.4593075658491763,0.785395956882591,0.8825989166902548
hybrid,18,909.0,0.27297297297297296,416.0,1325.0,0.31828008647609896,0.40746864439993935,3.27985419553701,4.768843403403058,1.6199215719168134,2.3970717157963084,0.788328716811056,0.8876879325844772
hybrid,19,941.0,0.28258258258258256,416.0,1357.0,0.3259668508287293,0.40425935441748145,3.228282180779035,4.7976826287307786,1.648252032757949,2.408680636591191,0.7956966648065517,0.8872467716264583
hybrid,20,973.0,0.29219219219219217,416.0,1389.0,0.3336536151813596,0.4006727361868137,3.277280186913127,4.525683308056726,1.6149595635686276,2.317044140109055,0.7886564399560445,0.8988764750787178
hybrid,21,1005.0,0.30180180180180183,416.0,1421.0,0.34134037953398993,0.4097091827975123,3.294480814665338,4.8041717130669035,1.6113224921466636,2.4286765833838664,0.7871325055068741,0.8875477381283028
lcmd,0,333.0,0.1,416.0,749.0,0.1799183281287533,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.48664194340795214,0.5516772802117034
lcmd,1,365.0,0.10960960960960961,416.0,781.0,0.18760509248138363,0.6631462288249763,4.907886426828962,8.894683739681577,2.4889432305912322,4.481230445331235,0.5408728641096218,0.6207677473890466
lcmd,2,397.0,0.11921921921921921,416.0,813.0,0.19529185683401393,0.6433792397945742,4.804047695741988,8.382742474022791,2.466635919932267,4.425607123978132,0.5584174051648885,0.6613189629179124
lcmd,3,429.0,0.12882882882882882,416.0,845.0,0.20297862118664428,0.5926986458598484,4.460525769468725,7.63415549337183,2.3404018750865396,4.012349754214573,0.6186038982047541,0.719024417274903
lcmd,4,461.0,0.13843843843843845,416.0,877.0,0.21066538553927455,0.5531633002364338,4.138702220427742,7.109750568380543,2.1179410816668325,3.752327781100925,0.6689095954897399,0.7566772963209695
lcmd,5,493.0,0.14804804804804805,416.0,909.0,0.2183521498919049,0.5253030915916783,4.023203685921549,6.537222149080016,2.0416266655178665,3.4826187434528086,0.6893941316725362,0.7934584140707275
lcmd,6,525.0,0.15765765765765766,416.0,941.0,0.2260389142445352,0.507750219121164,3.870995748156825,6.296644537473002,2.0121623000938547,3.372469373744169,0.7115405840886238,0.8039772594316151
