outer_seed,method,round,active_label_count,active_label_fraction_outer_train,shared_validation_label_count,total_observed_non_test_labels,total_observed_fraction_full_dataset,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2,combined_normalized_RMSE
157,random,0,333,0.1,416,749,0.1799183281287533,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434,0.7552330820189761
157,random,1,365,0.10960960960960961,416,781,0.18760509248138363,4.9991212410021255,2.546018679936727,0.5485298047289822,8.929215084974805,4.784146543315274,0.6508996448689406,0.7250695142936121
157,random,2,397,0.11921921921921921,416,813,0.19529185683401393,5.941708227098384,2.7271582377042702,0.36222955640962406,10.682636390223692,5.035026080316777,0.5003330610587338,0.8642690443936346
157,random,3,429,0.12882882882882882,416,845,0.20297862118664425,6.198268686959288,2.90256676914023,0.30596313017454624,11.207505064826659,5.297097543446566,0.4500266953230815,0.9038614047771318
157,random,4,461,0.13843843843843845,416,877,0.21066538553927455,6.106151741153115,2.7550787125274145,0.32643900367704803,11.285957985581748,5.1861238742617966,0.44230008228605466,0.8992552380991824
157,random,5,493,0.14804804804804805,416,909,0.21835214989190488,5.580649649092525,2.790343758013609,0.4373850571867687,10.45297183264734,5.175093103084061,0.5215866585303961,0.826894657433556
157,random,6,525,0.15765765765765766,416,941,0.22603891424453518,5.615420343403721,2.7656576176055614,0.43035237950875693,10.012730623555578,5.023740646650466,0.56103611922106,0.8138425401881689
157,random,7,557,0.16726726726726726,416,973,0.2337256785971655,5.821619735900899,2.6861555716402523,0.3877491256434048,10.728203314443126,4.977755069732666,0.4960612981872822,0.8561985094418416
157,random,8,589,0.17687687687687687,416,1005,0.24141244294979583,5.332258534416032,2.6039377479530352,0.4863537265778546,10.014311826091657,4.792279281204553,0.5608974666131415,0.7910616406067015
157,random,9,621,0.1864864864864865,416,1037,0.24909920730242613,5.192512841525659,2.544896024022457,0.5129238056940283,8.971070386848472,4.342262349254508,0.6476191893170854,0.7424239338574314
157,random,10,653,0.1960960960960961,416,1069,0.25678597165505646,5.214931572701574,2.5518809411165524,0.5087088125267266,8.901895411724713,4.363997576048049,0.65303257983616,0.7418771581258784
157,random,11,685,0.2057057057057057,416,1101,0.2644727360076868,5.307794213820575,2.5431185208922096,0.4910561170191825,10.13802368717338,4.423293608841565,0.5499815440176058,0.7936624995631518
157,random,12,717,0.2153153153153153,416,1133,0.27215950036031705,5.459292097778018,2.4066320923592546,0.46158839889414804,10.270369481275088,4.287012870934942,0.5381554132045328,0.8105469024520738
157,random,13,749,0.2249249249249249,416,1165,0.2798462647129474,5.299355721723773,2.3527345365757566,0.4926730994507613,10.279130593402133,4.283046220418075,0.5373671264640048,0.7982238991788719
157,random,14,781,0.23453453453453454,416,1197,0.2875330290655777,5.369583853486795,2.3233000877663956,0.47913760527489246,9.804502766988318,4.03546965207985,0.5791039317157471,0.7864437659490158
157,random,15,813,0.24414414414414415,416,1229,0.29521979341820803,4.853723457694511,2.327472588427061,0.574409619788333,8.865694402817331,3.8462198861211325,0.6558488409320318,0.7110017336402381
157,random,16,845,0.25375375375375375,416,1261,0.30290655777083836,5.023621187627825,2.3042827029880004,0.5440937851580667,9.234902994711609,3.980612965224744,0.6265878904134832,0.7380131360921933
157,random,17,877,0.26336336336336336,416,1293,0.31059332212346863,5.133553611855211,2.2996620542997364,0.5239221791377432,10.106141740860817,3.871411986774106,0.5528075197345244,0.7787975877746179
157,random,18,909,0.27297297297297296,416,1325,0.31828008647609896,4.326370865438933,2.151233890359636,0.6618656931335556,8.347811480988936,3.7794386500077284,0.6948811859471442,0.6500315740045227
157,random,19,941,0.28258258258258256,416,1357,0.3259668508287293,4.596893294802182,2.1007420805146655,0.6182574315379269,8.242142865898225,3.554347252102493,0.702556831798367,0.6678474012254842
157,random,20,973,0.29219219219219217,416,1389,0.3336536151813596,4.429416351498928,2.174244730878505,0.64556650710649,7.835931623461387,3.5589412465084087,0.7311531221076473,0.6397550290926821
157,random,21,1005,0.30180180180180183,416,1421,0.34134037953398993,4.5812339230557235,2.180377501092083,0.6208538228838819,8.312934924151305,3.684403755681978,0.6974253890563308,0.6691077238818106
157,hybrid,0,333,0.1,416,749,0.1799183281287533,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434,0.7552330820189761
157,hybrid,1,365,0.10960960960960961,416,781,0.18760509248138363,5.271126932187659,2.669768691920548,0.49806359658196553,8.827951058025024,4.373794054813522,0.6587728682603684,0.7440182050208847
157,hybrid,2,397,0.11921921921921921,416,813,0.19529185683401393,5.058704464336235,2.56176975076433,0.5377037593066657,7.455193215413821,3.867971619256109,0.756644296593236,0.6804924988361001
157,hybrid,3,429,0.12882882882882882,416,845,0.20297862118664425,4.201836649426148,2.318982483957597,0.6810518590601213,6.742808522676657,3.7451815159200765,0.8009302017992896,0.5831309518047568
157,hybrid,4,461,0.13843843843843845,416,877,0.21066538553927455,4.731061129443885,2.364677462360556,0.5956486804892145,6.486426707945376,3.503541339215615,0.8157808591616902,0.6214042737687554
157,hybrid,5,493,0.14804804804804805,416,909,0.21835214989190488,4.717050385507753,2.4290505270306153,0.598040056961015,6.391618524416658,3.454341670020307,0.8211267427091068,0.6172944012711266
157,hybrid,6,525,0.15765765765765766,416,941,0.22603891424453518,4.6241936509110575,2.319102378772031,0.6137097276952275,6.194942172380761,3.4468821324318717,0.8319655860907592,0.6030324666714807
157,hybrid,7,557,0.16726726726726726,416,973,0.2337256785971655,4.115832939445092,2.048120246516715,0.6939747772814662,6.285280247000848,3.2541235265114326,0.8270291118228157,0.5606878003081199
157,hybrid,8,589,0.17687687687687687,416,1005,0.24141244294979583,4.6266406843002,2.178618572312865,0.6133007849157541,6.196323430446169,3.1403563680122795,0.8318906459999447,0.6032953106385802
157,hybrid,9,621,0.1864864864864865,416,1037,0.24909920730242613,4.511767562120515,2.1250878386646153,0.6322648189622673,5.865243098495889,2.8838632878639716,0.8493754521062086,0.5831137793834519
157,hybrid,10,653,0.1960960960960961,416,1069,0.25678597165505646,4.478396093489879,2.0445498493935563,0.6376846364630062,5.728562143694441,2.790783142300247,0.8563138264363899,0.576106237754402
157,hybrid,11,685,0.2057057057057057,416,1101,0.2644727360076868,4.320060462355987,1.9462075953860936,0.6628513726765823,5.46539639211666,2.7534092839101523,0.8692122544858367,0.5540036487610771
