outer_seed,method,round,training_seconds,epochs_run,best_epoch,acquisition_seconds_included_in_round
157,random,0,73.78048854100052,182,82,73.9531522920006
157,random,1,73.47609958297107,165,65,73.52205008303281
157,random,2,109.10589279199485,228,128,109.15512612502789
157,random,3,241.03044933301862,374,274,241.0847917079809
157,random,4,251.47301987500396,365,265,251.5246137920185
157,random,5,150.6510967920185,219,119,150.7095347919967
157,random,6,121.33527758397395,183,83,121.38830029201927
157,random,7,371.6508503750083,164,64,371.79025175003335
157,random,8,613.0601933749858,253,153,613.2394616669626
157,random,9,590.5352762920083,196,96,590.6961113750003
157,random,10,413.35059987503337,184,84,413.4500451660133
157,random,11,477.88282887497917,179,79,478.0380624590325
157,random,12,668.2628737909836,221,121,668.4597705000197
157,random,13,960.6061805830104,243,143,960.8281909999787
157,random,14,1482.0939180830028,240,140,1482.3353524169652
157,random,15,1087.7635173749877,250,150,1088.1312429170357
157,random,16,1167.8495746669942,263,163,1168.1121720420197
157,random,17,901.2439318330144,247,147,901.4791867910535
157,random,18,784.5151303749881,217,117,784.6965231249924
157,random,19,1100.942659458029,305,205,1101.2080645829556
157,random,20,724.1520939999609,192,92,724.3511061249883
157,random,21,865.3093627920025,218,118,865.5002981669968
157,hybrid,0,378.46691983303754,182,82,1071.3280870420276
157,hybrid,1,454.9890355420066,240,140,1112.0365598329809
157,hybrid,2,309.4960357079981,202,102,1095.2873377499636
157,hybrid,3,349.3495387919829,179,79,1029.1340696249972
157,hybrid,4,630.3980674580089,340,240,1731.4279895829968
157,hybrid,5,635.8883370420081,323,223,1926.770411583013
157,hybrid,6,899.6202225000015,445,345,2586.5927502500126
157,hybrid,7,427.3574199579889,198,98,3018.5083349159686
157,hybrid,8,808.9077879159595,343,243,3042.724590500002
157,hybrid,9,891.1623159160372,325,225,2633.9812970409985
157,hybrid,10,1374.8722698749625,496,396,1404.147826624976
157,hybrid,11,1063.219151416968,382,282,3038.624995167018
157,hybrid,12,1218.3002803329728,498,398,3050.641691250028
157,hybrid,13,788.8161949159694,310,210,2492.3676562079927
157,hybrid,14,928.3623054579948,338,238,2970.426995916001
157,hybrid,15,1100.745248833031,395,295,2877.666469125019
157,hybrid,16,1785.7331987499492,556,456,2981.841216916044
157,hybrid,17,577.3245057919994,353,253,2355.5470385000226
157,hybrid,18,1162.940254834015,492,392,2981.1184460420045
157,hybrid,19,803.544344834052,337,237,2790.016627541976
157,hybrid,20,1165.5000361659913,455,355,4121.905545166985
157,hybrid,21,2101.163391625043,747,647,2101.8376414169907
157,lcmd,0,235.10733525000978,182,82,361.3467815409531
157,lcmd,1,292.61016908299644,180,80,411.7583275830257
157,lcmd,2,278.903063707985,165,65,411.670963416982
157,lcmd,3,391.8645252920105,227,127,563.8494157089735
157,lcmd,4,506.0300605829689,241,141,659.5487698339857
157,lcmd,5,862.4172239580075,372,272,1027.0655227500247
157,lcmd,6,841.0265644579777,369,269,981.6084385830327
157,lcmd,7,694.0263524579932,300,200,814.5679790420108
157,lcmd,8,1434.2714261660003,716,616,1574.4849046250456
157,lcmd,9,959.2153199579916,377,277,1045.9464730829932
157,lcmd,10,965.6349822080228,435,335,1081.5040192499873
157,lcmd,11,703.8934690410388,327,227,837.3500757919974
157,lcmd,12,1361.4743421250023,627,527,1445.061341624998
157,lcmd,13,1215.2213788329973,758,658,1301.6121381669655
157,lcmd,14,494.4772256669821,440,340,534.5622897089925
157,lcmd,15,474.623950875015,455,355,526.9119577080128
157,lcmd,16,386.5825101659866,373,273,426.22379791602725
157,lcmd,17,859.488784333982,715,615,905.5126322910073
157,lcmd,18,760.323012333014,474,374,847.6284312909702
157,lcmd,19,710.0880897500319,342,242,778.4538922499632
157,lcmd,20,821.530307042005,615,515,862.3793264999986
157,lcmd,21,431.1702384590171,335,235,431.2251871660119
157,full_data_reference,-1,1836.019543708011,504,404,0.0
887,random,0,316.88434483401943,181,81,317.3625549169956
887,random,1,391.8539364999742,201,101,392.0094786249683
887,random,2,482.4807897080318,226,126,482.6563424170017
887,random,3,667.1848044170183,292,192,667.4608573329751
887,random,4,345.84158158296486,166,66,345.9694607499987
887,random,5,518.7300582089811,237,137,518.8672845839756
887,random,6,404.3408674169914,174,74,404.5293198750005
887,random,7,439.6432744170306,145,45,439.8761502499692
887,random,8,530.0951629169867,158,58,530.3339213330182
887,random,9,865.2479414159898,189,89,865.5092872499954
887,random,10,884.1920204170165,157,57,884.5223383749835
887,random,11,704.7410783329979,189,89,705.0017043339903
887,random,12,678.3806538750068,176,76,678.5981936249882
887,random,13,926.1449762500124,228,128,926.3574453750043
887,random,14,549.4809817079804,168,68,549.7007061669719
887,random,15,677.738072542008,215,115,677.8860474589746
887,random,16,753.7725651669898,210,110,754.0053730420186
887,random,17,948.3621302499669,285,185,948.5430777909933
887,random,18,954.7892288750154,267,167,954.9794322500238
887,random,19,993.211590040999,259,159,993.4413983749691
887,random,20,771.8075509580085,231,131,772.009815458965
887,random,21,807.7681948749814,272,172,807.9007027079933
887,hybrid,0,258.65862766699865,181,81,783.5322097499738
887,hybrid,1,294.3452319999924,175,75,1124.5173552919878
887,hybrid,2,401.7095379169914,227,127,1138.6585390000255
887,hybrid,3,449.7794205000391,240,140,1271.8119185419637
887,hybrid,4,440.0526649579988,237,137,1153.8035747910035
887,hybrid,5,435.04238770803204,223,123,1267.8140737499925
887,hybrid,6,449.253699916997,226,126,1297.242679500021
887,hybrid,7,424.4678155000438,198,98,1291.023025750008
887,hybrid,8,517.9604912500363,221,121,1597.079615499999
887,hybrid,9,548.8721206250484,231,131,1669.933610374981
887,hybrid,10,626.7585697090253,248,148,1690.4940582500421
887,hybrid,11,611.5022565420368,222,122,2087.8957249170053
887,hybrid,12,586.7877113749855,208,108,1895.3806621669792
887,hybrid,13,643.5976992079522,230,130,818.0014485420543
887,hybrid,14,693.6740323749837,233,133,2367.253216250043
887,hybrid,15,937.458943042031,235,135,835.6945878330152
887,hybrid,16,547.5068597079953,250,150,1506.8781781669823
887,hybrid,17,632.6165744169848,272,172,1553.0588123750058
887,hybrid,18,535.7823276669951,225,125,1529.3648208339582
887,hybrid,19,673.1918747500167,276,176,1812.2624514169875
887,hybrid,20,801.6988032500376,316,216,2196.9332781250123
887,hybrid,21,1057.0610963330255,261,161,1058.0409827919793
887,lcmd,0,316.30221962498035,181,81,474.22972745797597
887,lcmd,1,339.40000137500465,188,88,461.874418833002
887,lcmd,2,368.699478333001,231,131,487.2208651250112
887,lcmd,3,323.9215809170273,191,91,446.6410609160084
887,lcmd,4,357.16723749996163,205,105,481.80156133300625
887,lcmd,5,393.4590498750331,244,144,466.9544209999731
887,lcmd,6,330.4590161659871,238,138,436.1372546670027
887,lcmd,7,342.204707124969,250,150,445.2181382080307
887,lcmd,8,351.528761708003,235,135,461.34064554201905
887,lcmd,9,414.8053014590405,243,143,509.7899323750171
887,lcmd,10,466.45362458302407,245,145,595.8067513750284
887,lcmd,11,570.6561727090157,268,168,721.7330357080209
