target,target_NRMSE,method,labels_to_target,status
T_R30,0.5433010055541065,random,1005.0,REACHED
T_R30,0.5433010055541065,hybrid,504.47109612395576,REACHED
T_R30,0.5433010055541065,lcmd,472.32774825409933,REACHED
T_80,0.4374022926524635,random,,CENSORED_GT_1005
T_80,0.4374022926524635,hybrid,643.320418838011,REACHED
T_80,0.4374022926524635,lcmd,651.1886023307059,REACHED
