method,status,labels_to_target,saved_experimental_labels,saving_total,saving_incremental
random,REACHED,1005.0,0.0,0.0,0.0
hybrid,REACHED,504.47109612395576,500.52890387604424,0.49803871032442215,0.7448346783869706
lcmd,REACHED,472.32774825409933,532.6722517459007,0.5300221410406972,0.7926670412885427
