mode,seed,split,target,rows,top_uncertainty_rows,negative_width_rate,crossing_rate,q10_pinball_loss,q50_rmse,q50_mae,q90_pinball_loss,empirical_coverage,interval_width,nonnegative_interval_width,uncertainty_error_spearman,top_20pct_uncertainty_error_enrichment
row,42,train,V1,3330,666,0.0,0.005405405405405406,0.26891827524144146,2.114506409544139,1.1762499512492492,0.3505297037075075,0.8144144144144144,4.047319579099099,4.047319579099099,0.3887272303822174,2.0978909220901953
row,42,train,V2,3330,666,0.0,0.003303303303303303,0.46799373836036046,3.44531576984446,1.9496375138438438,0.5407748726546546,0.7612612612612613,5.563133442882883,5.563133442882883,0.39990603659995383,2.20536233454083
row,42,validation,V1,416,84,0.0,0.004807692307692308,0.29022128411057696,2.489549309847209,1.3811172276442307,0.42970630201923077,0.7644230769230769,3.8844718781250003,3.8844718781250003,0.36839895991812915,2.2862214259718256
row,42,validation,V2,416,84,0.0,0.0,0.5408221356490385,3.8054239608298945,2.192036968509616,0.6244481665384616,0.71875,5.476854502644231,5.476854502644231,0.3440701252246301,1.9495203366552065
row,42,test,V1,417,84,0.0,0.009592326139088728,0.27987986038369306,2.97305217269731,1.3641936676258994,0.4654316722302158,0.7841726618705036,3.8003783573141487,3.8003783573141487,0.3843086780003513,2.4135699304382845
row,42,test,V2,417,84,0.0,0.002398081534772182,0.6275888500719423,4.910122145375675,2.332616749880096,0.7795880118705037,0.7146282973621103,5.380698813669064,5.380698813669064,0.3263112820086373,2.551398272152516
row,525,train,V1,3330,666,0.0,0.016516516516516516,0.21603390896036037,1.8219080317948118,0.8896902652732732,0.2615105112630631,0.7801801801801802,2.8309132054774775,2.8309132054774775,0.34426203546771,2.562354866702805
row,525,train,V2,3330,666,0.0,0.0024024024024024023,0.3373540730510511,2.639730939027774,1.3088416307507507,0.3569115244984985,0.8474474474474475,4.4877095631831825,4.4877095631831825,0.4302974584113686,2.3096082764260584
row,525,validation,V1,416,84,0.0,0.026442307692307692,0.2902425895432692,2.50962029541482,1.276479259375,0.383565828798077,0.71875,2.8926232987980764,2.8926232987980764,0.43642800210043636,2.4253768351131195
row,525,validation,V2,416,84,0.0,0.007211538461538462,0.3810727177884615,3.5303011858203543,1.7649132218749999,0.6290619640865385,0.7620192307692307,4.497288212980769,4.497288212980769,0.42498371772721355,2.1029299407706086
row,525,test,V1,417,84,0.0,0.03836930455635491,0.29279668148681054,2.9653629154538335,1.34991435323741,0.4925084535251798,0.6402877697841727,2.747481146282974,2.747481146282974,0.3376390904092326,2.1796681397500346
row,525,test,V2,417,84,0.0,0.007194244604316547,0.4922602194724221,5.606662547758596,2.227464742206235,0.8828811600479616,0.7050359712230215,4.531202404316547,4.531202404316547,0.34543638652684416,2.1836351139604857
row,1101,train,V1,3330,666,0.0,0.022822822822822823,0.3067439179309309,2.43329973117405,1.367139323783784,0.4080973858348349,0.7654654654654655,4.17195820072072,4.17195820072072,0.427327722786143,2.3742170782911916
row,1101,train,V2,3330,666,0.0,0.002102102102102102,0.49275499585885885,3.8053383002197245,2.2265262275375375,0.6263153794894896,0.733033033033033,5.735727674804805,5.735727674804805,0.4408113353885132,2.3816388326312565
row,1101,validation,V1,416,84,0.0,0.028846153846153848,0.38200698686057694,3.460396847952787,1.636050458557692,0.5537641643653846,0.7259615384615384,3.810849890625,3.810849890625,0.3843013095368747,2.4800807245540013
row,1101,validation,V2,416,84,0.0,0.002403846153846154,0.6528904345432693,5.312447845856365,2.413772531971154,0.6472716988221153,0.7211538461538461,5.3578230283653845,5.3578230283653845,0.4550279437513717,2.401941653126564
row,1101,test,V1,417,84,0.0,0.023980815347721823,0.33869373302158273,2.819692007057338,1.5384822115107912,0.46789532592326144,0.7410071942446043,4.066729747721823,4.066729747721823,0.42250690523474776,2.6182766285620382
row,1101,test,V2,417,84,0.0,0.002398081534772182,0.7083465202158273,6.0583615543227625,2.9688224151079132,0.8534308824460431,0.6522781774580336,5.580539647721823,5.580539647721823,0.47976422100210003,2.668244929585807
compound,42,train,V1,3401,681,0.0,0.001470155836518671,0.2909062388691561,2.398131114232936,1.304885774642752,0.3958491462381653,0.8132902087621288,4.176111017024405,4.176111017024405,0.44098976267782075,2.3527174397502324
compound,42,train,V2,3401,681,0.0,0.00029403116730373417,0.4707232371684799,3.5951782993166512,1.9796499820640987,0.6370688141105557,0.7668332843281388,5.772862747427227,5.772862747427227,0.3610002719266755,2.159435732125108
compound,42,validation,V1,389,78,0.0,0.015424164524421594,0.43955311030848326,3.818095724178506,2.185470583033419,0.7292956146786631,0.6349614395886889,3.8981255146529565,3.8981255146529565,0.6007898111962092,2.6564219407768315
compound,42,validation,V2,389,78,0.0,0.002570694087403599,1.0035526138560413,7.103859151486323,4.028518461439589,1.688861505732648,0.5372750642673522,5.2689883655526994,5.2689883655526994,0.5138299523296396,2.417132690310916
compound,42,test,V1,373,75,0.0,0.00804289544235925,0.5997677322252011,6.744925769977184,3.3582401689008043,1.604934634691689,0.6058981233243967,3.9011502000000005,3.9011502000000005,0.5456406914734948,2.7713933615751403
compound,42,test,V2,373,75,0.0,0.00804289544235925,1.3967408933512064,12.634710986569232,6.212313276139411,3.1795363765951743,0.45576407506702415,5.19245501313673,5.19245501313673,0.492302341832537,2.7427933095568977
compound,525,train,V1,3321,665,0.0,0.03462812405901837,0.38397362130472756,4.369036941898452,2.2557118929418847,0.8452218424468534,0.7467630231857875,4.711680980304125,4.711680980304125,0.45459040637908316,2.5849792171344337
compound,525,train,V2,3321,665,0.0,0.0030111412225233363,0.7796560625112918,7.139900379172862,3.7692688872327613,1.4572019784944295,0.6350496838301717,6.665421060162602,6.665421060162602,0.5504278380130205,2.5317941215209765
compound,525,validation,V1,428,86,0.0,0.12383177570093458,0.8273172143925235,6.610754002645447,3.353600788785047,1.2093409235747663,0.6448598130841121,5.034675884345795,5.034675884345795,0.5315827415788011,2.8172243243364288
compound,525,validation,V2,428,86,0.0,0.028037383177570093,2.5750926231542053,13.524492293798044,7.454284580373832,2.7621095702803733,0.4602803738317757,7.108493569859813,7.108493569859813,0.5711954543880835,3.0532440794588647
compound,525,test,V1,414,83,0.021739130434782608,0.15217391304347827,0.38148161147343,4.913360447847416,2.462589393961353,0.9854712308937199,0.7053140096618358,4.182331155555556,4.194186874637682,0.35051990628471197,2.7729080602160816
compound,525,test,V2,414,83,0.0,0.021739130434782608,1.1270198848309179,9.865765816440558,4.86694809178744,2.09168602884058,0.4758454106280193,5.738104885507246,5.738104885507246,0.47095847412837305,2.6871362475795433
compound,1101,train,V1,3275,655,0.0,0.02198473282442748,0.29600899099053435,2.48125251304396,1.3592615426748094,0.41823230871328243,0.736793893129771,3.92216132448855,3.92216132448855,0.4685748974653537,2.4823989769860053
compound,1101,train,V2,3275,655,0.0,0.0015267175572519084,0.5178123177251909,4.150825106581779,2.3439991471755723,0.6875400963083969,0.7429007633587786,5.913547565374046,5.913547565374046,0.4439951741323241,2.41822591324349
compound,1101,validation,V1,430,86,0.0,0.020930232558139535,0.5182733988139535,4.903899944814922,2.350896424186047,0.9050079529069768,0.6325581395348837,3.651659314883721,3.651659314883721,0.4610696056878731,3.0337108050986252
compound,1101,validation,V2,430,86,0.0,0.0069767441860465115,1.1513844006976743,7.524412157464284,4.131486117906976,1.4345127930465116,0.48604651162790696,5.413224576976744,5.413224576976744,0.38855225385427444,2.569917566461266
compound,1101,test,V1,458,92,0.0,0.0,0.8031297193886463,5.166798213347834,2.7842862866812226,1.028917191724891,0.6026200873362445,4.0748283054585155,4.0748283054585155,0.4773445043007766,2.564614642751471
compound,1101,test,V2,458,92,0.0,0.0,1.9632631461135372,10.438583167065266,5.805249566812227,2.003419292074236,0.4585152838427948,6.153951574017467,6.153951574017467,0.5808782606194501,2.673563678773278
