sample_id,source_row_1based,canonical_index,split,seed
bbabdb9085edbb8c178b,2,0,train,525
96dc3dc2ebd074200228,3,1,train,525
6322e8f867a741eed74c,4,2,train,525
c2b0aff65443af0a8618,5,3,train,525
f4b69d88ad1d916ee71a,6,4,train,525
0f3559d035355b0eec80,7,5,train,525
d29a94054067cd60dd70,8,6,train,525
31d92ca6486b229184cf,9,7,train,525
8a84cca322477165b719,10,8,train,525
9cf769277f6b42d15f11,11,9,test,525
c79f29f048bbfd157f98,13,10,train,525
df0074b49eeb620c0768,14,11,test,525
f0097bc6b7827ef65922,15,12,valid,525
44348f5c4aea3b41ee9d,16,13,train,525
482cb91fac7f2a936dca,17,14,train,525
a5c6210123f05414ffc0,18,15,test,525
a82e55e1cd19814ea307,19,16,test,525
6ee3c70647b37dcd5417,20,17,test,525
2c7e37ef828eb17c78fb,21,18,train,525
7ab9c351196ad891e172,22,19,train,525
7062ca665af0f9bba6c9,23,20,train,525
6644e934f59d8b816b9f,24,21,train,525
8cc7c76a92a4474d7c6a,25,22,train,525
c883df6ea04f89f45f03,26,23,train,525
46ed1e35ca65ace74790,27,24,train,525
ec581cec37da9563e756,28,25,train,525
c2bd8e8f13a96726e7fc,29,26,train,525
2909efb29670d8f2286d,31,27,train,525
56b391fdec7a2a622e52,32,28,train,525
8a9485661ac2c4576006,33,29,train,525
7f6d1cdee16de4a37a21,34,30,train,525
fd7bf535ef538434b384,35,31,valid,525
651bb6b60c62819a4323,36,32,test,525
2a61203b59218a3cbdc6,37,33,train,525
6d6c0510303dec89b2fe,38,34,test,525
f81dc37125414986a0bb,39,35,valid,525
400615278105cebb3ed9,40,36,train,525
5d04f6757b59f5c356bb,41,37,train,525
a074620f6970d8f89567,42,38,test,525
3a02b99399bb0c3e9ff9,45,39,train,525
b80a4f9e4b61f534ee9e,46,40,test,525
2690de155843f45b00a3,47,41,train,525
549eb8499df5181b3558,48,42,train,525
02c141e2551937d10f4e,49,43,test,525
9069807baff6cbfbde75,50,44,train,525
1fe1163f7d97c16f3822,51,45,train,525
1e86d81fe1995d367fe1,52,46,test,525
614e6d0929b0845d454b,53,47,train,525
358681452207464d171e,54,48,train,525
c00e01085f35d19cd90f,55,49,train,525
a542d702abb1fa77a6fc,56,50,train,525
77577e6f6f0aa6789972,57,51,train,525
298017c801a97653f57d,58,52,train,525
849796401ee485c617a5,59,53,train,525
67cc8304e3e618d7416a,60,54,train,525
c7bc53c45a1962a88ec3,61,55,valid,525
76b9db19f45b8222d962,62,56,train,525
0279fb0f7dba4b54a816,63,57,valid,525
ca203ccf20ce8e74d86d,64,58,train,525
029d48fc98a886c9fec4,65,59,train,525
1e578360bd7749f6b397,66,60,train,525
05c14d26f4aa6f7c48b0,67,61,train,525
53d046afde1259a727f9,68,62,train,525
35ba50ab027f5f170aba,69,63,train,525
130d76d2d46a287c5dea,70,64,train,525
3ef4b1ab56fe40940b42,71,65,train,525
a340148c4096f80cc125,72,66,train,525
57af4b867d9cd419ebb9,73,67,test,525
ff8745125a0eeb17c1e5,74,68,train,525
41a468134f078d2de17d,75,69,train,525
b4899d5d03e44fbf885c,76,70,train,525
bd93eaa60288fd0d5e89,77,71,train,525
2797757b00a9f254ef2e,78,72,train,525
fad37552a4a2eae19961,79,73,train,525
6936556d392803de12ed,80,74,train,525
fd3f8b6ec11d13a8412d,81,75,train,525
b71b23379d73c3637a76,82,76,train,525
2a9d111386ac232bbf79,83,77,train,525
ca00dd1990fd356443cb,84,78,train,525
924106530353757625ba,85,79,train,525
f0d3ae15346c6cb6928d,86,80,train,525
0b6fe9b9da26ddc80e99,87,81,train,525
a9a4b1ef530ce6f46a1c,88,82,train,525
f0245d145e2758fc9ff8,89,83,train,525
f33380e15f0fd8b62027,90,84,train,525
1773be1aaa4102ae19f0,91,85,test,525
1895e2147dd146c4e564,92,86,train,525
e7c8cd496e2795b23cb3,93,87,train,525
60f64adee75a0999c5d5,94,88,train,525
851993fe56d61c8bf074,95,89,train,525
4e6d2ab0e823ac1d4b58,96,90,train,525
452aebfcddc0b031c20d,97,91,train,525
a67ee30ac22b3511e0af,98,92,valid,525
4c52102f0b5a693d59bc,99,93,train,525
f21e8077ac7b6ec1d038,100,94,train,525
982611df66af1cf7c2f5,101,95,train,525
d9e344f199dc9a567b5f,102,96,train,525
74706f7e5d10b9245796,103,97,train,525
f5d7ae6c2608335325ff,104,98,train,525
f66e095007d9d0923ce2,105,99,train,525
c9a57e8accca7da9758b,106,100,train,525
f7b1b9737459397f9ace,107,101,train,525
68feec66f657364ebeaa,108,102,train,525
96ccc1b8240fc2e9c1f3,109,103,train,525
16eec4a03ec235274042,110,104,train,525
92e4f80b3943134ebe86,111,105,test,525
e15e8a4f329d3a08aff9,112,106,train,525
6cec450baf7517436df6,113,107,train,525
48b79e49508df9f5fd6d,114,108,train,525
404dc3e2801a9a9d52aa,115,109,train,525
c72867f0f2e38c70aa8c,116,110,train,525
d9d3d24a75ff511e108a,117,111,test,525
f40ca479a9e86b5d5458,118,112,train,525
b7770c04c72527e1d9f6,119,113,train,525
a433dc0f6a13e9ace41d,120,114,train,525
e399250d7156727de0fd,121,115,train,525
3122a2210bde68deb81e,122,116,train,525
c9460286f85a5ec0f4fc,123,117,valid,525
13b0b7952199157a8399,124,118,train,525
759d5133ee82740013bf,125,119,train,525
c9bf385316b464cd2e8d,126,120,train,525
f248b9b89d62a22b03c3,127,121,train,525
10d51839b15b94f0ae56,128,122,test,525
e66b24ec1e4dfa9a9a57,129,123,train,525
506597d02ff322a77a8d,130,124,valid,525
d2951bd3bb1608688f0d,131,125,train,525
7d3c6ef279245ca08a2f,132,126,train,525
e6886d2fb3090517172b,133,127,train,525
3d7aa38258001eb6ba67,135,128,train,525
b3409bbbf3b06d73afca,136,129,valid,525
5ce75d3f6df6d318cb8a,137,130,train,525
28f4ab2563d03e831cf0,138,131,train,525
b95bbdf393e00f41a6df,139,132,train,525
1e73138aa057a5e2b67f,140,133,train,525
1319bf7018ee9b9a5b9f,141,134,train,525
99398d649f02f80651f1,142,135,train,525
240787bdbf2abc17e093,143,136,valid,525
4afc7ef2732850bea176,144,137,train,525
181f6c7852b17df8f194,145,138,valid,525
474238f822b0c38795c6,146,139,train,525
