column,protocol,seed,budget,target,feature,pearson,spearman,n
8g,row,769539383,30,V1,PE_fraction,-0.13681153662252193,-0.10444381979507618,115
8g,row,769539383,30,V1,loading_amount_ul,,,115
8g,row,769539383,30,V1,loading_solvent_volume_ul,0.1398029293384962,0.17003705819854484,115
8g,row,769539383,30,V1,loading_solvent_code,-0.030690323267208535,-0.09216155642974655,115
8g,row,769539383,30,V1,source_prediction,-0.7309718919990331,-0.6807938136195061,115
8g,row,769539383,30,V2,PE_fraction,-0.23989277910383003,-0.34242612431247427,115
8g,row,769539383,30,V2,loading_amount_ul,,,115
8g,row,769539383,30,V2,loading_solvent_volume_ul,0.1283980596609138,0.09753992373901352,115
8g,row,769539383,30,V2,loading_solvent_code,-0.020951768598311476,-0.12665477053210783,115
8g,row,769539383,30,V2,source_prediction,-0.7405485359077613,-0.71552907756648,115
8g,row,769539383,50,V1,PE_fraction,-0.09951501670435241,-0.030858945610170985,115
8g,row,769539383,50,V1,loading_amount_ul,,,115
8g,row,769539383,50,V1,loading_solvent_volume_ul,0.1378015024653387,0.15739280441270648,115
8g,row,769539383,50,V1,loading_solvent_code,-0.01811143895659832,-0.07060329761577075,115
8g,row,769539383,50,V1,source_prediction,-0.6538326428453055,-0.5848102264657145,115
8g,row,769539383,50,V2,PE_fraction,-0.23339330111704049,-0.33615534387610396,115
8g,row,769539383,50,V2,loading_amount_ul,,,115
8g,row,769539383,50,V2,loading_solvent_volume_ul,0.13017297043079182,0.10021211016662794,115
8g,row,769539383,50,V2,loading_solvent_code,-0.015013777850915927,-0.12557685759140905,115
8g,row,769539383,50,V2,source_prediction,-0.720904338055764,-0.7023435650595755,115
8g,row,769539383,70,V1,PE_fraction,-0.027332130221689396,0.05368283010104638,115
8g,row,769539383,70,V1,loading_amount_ul,,,115
8g,row,769539383,70,V1,loading_solvent_volume_ul,0.12989265202716005,0.13736676359886055,115
8g,row,769539383,70,V1,loading_solvent_code,0.005762740602166195,-0.05227877762389132,115
8g,row,769539383,70,V1,source_prediction,-0.490890744658683,-0.4437938925274205,115
8g,row,769539383,70,V2,PE_fraction,-0.18486561526738482,-0.28163827245666073,115
8g,row,769539383,70,V2,loading_amount_ul,,,115
8g,row,769539383,70,V2,loading_solvent_volume_ul,0.13925580027107248,0.10429717677436032,115
8g,row,769539383,70,V2,loading_solvent_code,0.025059642206399373,-0.0754539058489153,115
8g,row,769539383,70,V2,source_prediction,-0.5738998869120214,-0.5884557721139431,115
8g,row,769539383,100,V1,PE_fraction,-0.0008068676463238284,0.09410561398336452,115
8g,row,769539383,100,V1,loading_amount_ul,,,115
8g,row,769539383,100,V1,loading_solvent_volume_ul,0.12574032658334539,0.1222448503667284,115
8g,row,769539383,100,V1,loading_solvent_code,0.014390506315441896,-0.05335669056459011,115
8g,row,769539383,100,V1,source_prediction,-0.4267996669223019,-0.3703542965359426,115
8g,row,769539383,100,V2,PE_fraction,-0.16160898670538562,-0.23728776868294327,115
8g,row,769539383,100,V2,loading_amount_ul,,,115
8g,row,769539383,100,V2,loading_solvent_volume_ul,0.1415817909678877,0.10205499735808615,115
8g,row,769539383,100,V2,loading_solvent_code,0.0421926777622357,-0.05874625526808406,115
8g,row,769539383,100,V2,source_prediction,-0.5032868900442864,-0.5150950840369289,115
8g,row,1425370602,30,V1,PE_fraction,0.3044028278806716,0.5306327305787623,115
8g,row,1425370602,30,V1,loading_amount_ul,,,115
8g,row,1425370602,30,V1,loading_solvent_volume_ul,-0.08219203594039927,-0.18708381241129948,115
8g,row,1425370602,30,V1,loading_solvent_code,0.11835697791266463,0.022832627872776158,115
8g,row,1425370602,30,V1,source_prediction,0.7259975870172168,0.4820089955022489,115
8g,row,1425370602,30,V2,PE_fraction,0.140390168580671,0.2645865898326661,115
8g,row,1425370602,30,V2,loading_amount_ul,,,115
8g,row,1425370602,30,V2,loading_solvent_volume_ul,0.07930762531070183,0.058135668940930356,115
8g,row,1425370602,30,V2,loading_solvent_code,0.1460850746304527,0.11973207299138716,115
8g,row,1425370602,30,V2,source_prediction,0.632547859691682,0.40527893947762966,115
8g,row,1425370602,50,V1,PE_fraction,0.11708505387824743,0.14673085265041258,115
8g,row,1425370602,50,V1,loading_amount_ul,,,115
8g,row,1425370602,50,V1,loading_solvent_volume_ul,-0.019970116041140303,-0.08986805490452149,115
8g,row,1425370602,50,V1,loading_solvent_code,0.05398830163918094,0.10580973892262122,115
8g,row,1425370602,50,V1,source_prediction,-0.04998103672333546,-0.20094689497356585,115
8g,row,1425370602,50,V2,PE_fraction,-0.06203571031988476,-0.006110119988276842,115
8g,row,1425370602,50,V2,loading_amount_ul,,,115
8g,row,1425370602,50,V2,loading_solvent_volume_ul,0.11070690932639007,0.011820919351322505,115
8g,row,1425370602,50,V2,loading_solvent_code,0.03583512773980007,0.04288078893179912,115
8g,row,1425370602,50,V2,source_prediction,0.07924893259337727,-0.07931823561903259,115
8g,row,1425370602,70,V1,PE_fraction,-0.059920487033369586,0.00014795447615591832,115
8g,row,1425370602,70,V1,loading_amount_ul,,,115
8g,row,1425370602,70,V1,loading_solvent_volume_ul,0.031339240823948136,-0.022462976526898368,115
8g,row,1425370602,70,V1,loading_solvent_code,-0.012278839147629207,0.07963575087334124,115
8g,row,1425370602,70,V1,source_prediction,-0.5715482720624021,-0.49270101791209664,115
8g,row,1425370602,70,V2,PE_fraction,-0.28248696033686804,-0.2955930495113956,115
8g,row,1425370602,70,V2,loading_amount_ul,,,115
8g,row,1425370602,70,V2,loading_solvent_volume_ul,0.09255925579830249,-0.059782846227590045,115
8g,row,1425370602,70,V2,loading_solvent_code,-0.12028378761304367,-0.12140275307963909,115
8g,row,1425370602,70,V2,source_prediction,-0.6521589449052309,-0.6169652016097216,115
8g,row,1425370602,100,V1,PE_fraction,0.01572798245848869,0.060825284778585766,115
8g,row,1425370602,100,V1,loading_amount_ul,,,115
8g,row,1425370602,100,V1,loading_solvent_volume_ul,0.009959658050656184,-0.059540614273669495,115
8g,row,1425370602,100,V1,loading_solvent_code,0.01644137282959864,0.09745633848136166,115
8g,row,1425370602,100,V1,source_prediction,-0.364162851131072,-0.3723980115205555,115
8g,row,1425370602,100,V2,PE_fraction,-0.24374435697576347,-0.24371701115542996,115
8g,row,1425370602,100,V2,loading_amount_ul,,,115
8g,row,1425370602,100,V2,loading_solvent_volume_ul,0.10248337230464424,-0.03547890685089555,115
8g,row,1425370602,100,V2,loading_solvent_code,-0.08820844981109775,-0.07852196414783996,115
8g,row,1425370602,100,V2,source_prediction,-0.5070422823541318,-0.5105184249980274,115
8g,row,536279090,30,V1,PE_fraction,0.10613337392211662,0.14493528214130505,115
8g,row,536279090,30,V1,loading_amount_ul,,,115
8g,row,536279090,30,V1,loading_solvent_volume_ul,0.021732393079040062,0.07656153794868654,115
8g,row,536279090,30,V1,loading_solvent_code,0.021107282219137876,0.05422457774481006,115
