column,protocol,seed,planned_budget,target,learned_scale,mass_ratio,learned_minus_mass_ratio
8g,row,769539383,30,V1,2.8490224043886974,2.0,0.8490224043886974
8g,row,769539383,30,V2,2.198879744334987,2.0,0.19887974433498679
8g,row,769539383,50,V1,2.6541636899454017,2.0,0.6541636899454017
8g,row,769539383,50,V2,2.122938595907745,2.0,0.12293859590774492
8g,row,769539383,70,V1,2.435065564787961,2.0,0.4350655647879611
8g,row,769539383,70,V2,1.9751724574520584,2.0,-0.024827542547941617
8g,row,769539383,100,V1,2.382894750653621,2.0,0.3828947506536209
8g,row,769539383,100,V2,1.9068701062439692,2.0,-0.09312989375603076
8g,row,1425370602,30,V1,1.7577702469688852,2.0,-0.24222975303111483
8g,row,1425370602,30,V2,1.4449336070511405,2.0,-0.5550663929488595
8g,row,1425370602,50,V1,1.9998557557616847,2.0,-0.000144244238315272
8g,row,1425370602,50,V2,1.6115268210998441,2.0,-0.38847317890015587
8g,row,1425370602,70,V1,2.309311280787798,2.0,0.309311280787798
8g,row,1425370602,70,V2,1.9002175905757095,2.0,-0.09978240942429051
8g,row,1425370602,100,V1,2.256118591372331,2.0,0.25611859137233095
8g,row,1425370602,100,V2,1.8374826693861377,2.0,-0.1625173306138623
8g,row,536279090,30,V1,2.1848425646817047,2.0,0.18484256468170468
8g,row,536279090,30,V2,1.7963409318102301,2.0,-0.20365906818976987
8g,row,536279090,50,V1,2.6662374749481788,2.0,0.6662374749481788
8g,row,536279090,50,V2,1.941542349455153,2.0,-0.058457650544847084
8g,row,536279090,70,V1,2.4478714372499546,2.0,0.4478714372499546
8g,row,536279090,70,V2,1.8060825020541882,2.0,-0.1939174979458118
8g,row,536279090,100,V1,2.369682976340038,2.0,0.3696829763400382
8g,row,536279090,100,V2,1.800255716986598,2.0,-0.19974428301340197
8g,row,2767143051,30,V1,2.2005700956617265,2.0,0.20057009566172646
8g,row,2767143051,30,V2,1.8312860198866325,2.0,-0.16871398011336747
8g,row,2767143051,50,V1,2.177424915414444,2.0,0.17742491541444405
8g,row,2767143051,50,V2,1.8023956369335115,2.0,-0.19760436306648854
8g,row,2767143051,70,V1,2.2026776578311886,2.0,0.20267765783118863
8g,row,2767143051,70,V2,1.7487044329935415,2.0,-0.2512955670064585
8g,row,2767143051,100,V1,2.371545863110184,2.0,0.371545863110184
8g,row,2767143051,100,V2,1.8306326325616251,2.0,-0.16936736743837488
8g,row,1362771960,30,V1,2.5686551122305135,2.0,0.5686551122305135
8g,row,1362771960,30,V2,2.174698635250617,2.0,0.1746986352506168
8g,row,1362771960,50,V1,2.3761627211318124,2.0,0.37616272113181237
8g,row,1362771960,50,V2,2.006857884804781,2.0,0.006857884804781111
8g,row,1362771960,70,V1,2.2770794971279287,2.0,0.2770794971279287
8g,row,1362771960,70,V2,1.9520774222904032,2.0,-0.04792257770959685
8g,row,1362771960,100,V1,2.3437261489166827,2.0,0.34372614891668274
8g,row,1362771960,100,V2,1.891128217942873,2.0,-0.108871782057127
8g,compound,769539383,30,V1,3.376844757778448,2.0,1.3768447577784482
8g,compound,769539383,30,V2,2.30952615260911,2.0,0.3095261526091102
8g,compound,769539383,50,V1,2.7708487942936317,2.0,0.7708487942936317
8g,compound,769539383,50,V2,1.9406094430263996,2.0,-0.059390556973600406
8g,compound,769539383,70,V1,2.8495326027162817,2.0,0.8495326027162817
8g,compound,769539383,70,V2,2.004954475508718,2.0,0.004954475508717859
8g,compound,769539383,100,V1,2.68705489785965,2.0,0.68705489785965
8g,compound,769539383,100,V2,1.9545874969241315,2.0,-0.04541250307586853
8g,compound,1425370602,30,V1,2.0235807828320316,2.0,0.023580782832031577
8g,compound,1425370602,30,V2,1.6537303673988426,2.0,-0.3462696326011574
8g,compound,1425370602,50,V1,1.9577732585568823,2.0,-0.042226741443117666
8g,compound,1425370602,50,V2,1.5815707730958701,2.0,-0.41842922690412987
8g,compound,1425370602,70,V1,1.9645442195443932,2.0,-0.03545578045560682
8g,compound,1425370602,70,V2,1.5723563426651668,2.0,-0.4276436573348332
8g,compound,1425370602,100,V1,2.026280745460056,2.0,0.02628074546005621
8g,compound,1425370602,100,V2,1.6090095949932446,2.0,-0.3909904050067554
8g,compound,536279090,30,V1,2.019973214995072,2.0,0.019973214995072208
8g,compound,536279090,30,V2,1.617201731437885,2.0,-0.38279826856211496
8g,compound,536279090,50,V1,2.228396670164624,2.0,0.22839667016462384
8g,compound,536279090,50,V2,1.6941190526344536,2.0,-0.3058809473655464
8g,compound,536279090,70,V1,2.247313425016037,2.0,0.24731342501603715
8g,compound,536279090,70,V2,1.706665972714651,2.0,-0.2933340272853491
8g,compound,536279090,100,V1,2.2208870815167048,2.0,0.22088708151670478
8g,compound,536279090,100,V2,1.7718168134029728,2.0,-0.2281831865970272
8g,compound,2767143051,30,V1,2.5019750421701956,2.0,0.5019750421701956
8g,compound,2767143051,30,V2,1.7460601227367987,2.0,-0.25393987726320133
8g,compound,2767143051,50,V1,2.389882016800214,2.0,0.38988201680021417
8g,compound,2767143051,50,V2,1.7630160670424504,2.0,-0.2369839329575496
8g,compound,2767143051,70,V1,2.3804310045870833,2.0,0.38043100458708334
8g,compound,2767143051,70,V2,1.7711580609512565,2.0,-0.2288419390487435
8g,compound,2767143051,100,V1,2.2691484119946805,2.0,0.26914841199468054
8g,compound,2767143051,100,V2,1.7098931688765053,2.0,-0.29010683112349467
8g,compound,1362771960,30,V1,2.0134735015906142,2.0,0.013473501590614223
8g,compound,1362771960,30,V2,1.8963675166023415,2.0,-0.10363248339765851
8g,compound,1362771960,50,V1,2.194802117624937,2.0,0.19480211762493704
8g,compound,1362771960,50,V2,1.7831027715093755,2.0,-0.21689722849062454
8g,compound,1362771960,70,V1,2.157918875433239,2.0,0.1579188754332388
8g,compound,1362771960,70,V2,1.7526612628059808,2.0,-0.24733873719401922
8g,compound,1362771960,100,V1,2.133741011498006,2.0,0.1337410114980062
8g,compound,1362771960,100,V2,1.748459943636192,2.0,-0.25154005636380794
25g,row,769539383,30,V1,5.20842598248738,6.25,-1.0415740175126196
25g,row,769539383,30,V2,4.155937394497172,6.25,-2.0940626055028284
25g,row,769539383,50,V1,6.12183447221666,6.25,-0.12816552778333978
25g,row,769539383,50,V2,4.517822995089504,6.25,-1.732177004910496
25g,row,769539383,70,V1,6.092195558068229,6.25,-0.1578044419317708
25g,row,769539383,70,V2,4.534697946835859,6.25,-1.715302053164141
25g,row,769539383,100,V1,5.785399658085198,6.25,-0.46460034191480215
25g,row,769539383,100,V2,4.412868402921979,6.25,-1.837131597078021
25g,row,1425370602,30,V1,6.185687071894992,6.25,-0.0643129281050081
25g,row,1425370602,30,V2,4.3532134713515775,6.25,-1.8967865286484225
25g,row,1425370602,50,V1,6.449950628630936,6.25,0.19995062863093604
25g,row,1425370602,50,V2,4.720488353992206,6.25,-1.5295116460077942
25g,row,1425370602,70,V1,6.157981589753008,6.25,-0.09201841024699231
25g,row,1425370602,70,V2,4.527990512951539,6.25,-1.722009487048461
25g,row,1425370602,100,V1,5.711692899585448,6.25,-0.5383071004145519
25g,row,1425370602,100,V2,4.370777538270853,6.25,-1.8792224617291469
25g,row,536279090,30,V1,5.480745504228741,6.25,-0.7692544957712588
25g,row,536279090,30,V2,3.8061292487050697,6.25,-2.4438707512949303
25g,row,536279090,50,V1,5.319074083684895,6.25,-0.9309259163151049
25g,row,536279090,50,V2,3.7357483632671795,6.25,-2.5142516367328205
25g,row,536279090,70,V1,5.490040038487617,6.25,-0.7599599615123829
25g,row,536279090,70,V2,3.804956897035331,6.25,-2.445043102964669
25g,row,536279090,100,V1,5.496523034222551,6.25,-0.7534769657774492
25g,row,536279090,100,V2,3.864121321487722,6.25,-2.385878678512278
25g,row,2767143051,30,V1,5.8187418206161485,6.25,-0.43125817938385147
25g,row,2767143051,30,V2,4.1137370710502115,6.25,-2.1362629289497885
25g,row,2767143051,50,V1,5.656463036574548,6.25,-0.5935369634254517
25g,row,2767143051,50,V2,4.1421604082448775,6.25,-2.1078395917551225
25g,row,2767143051,70,V1,5.397685728583331,6.25,-0.8523142714166694
25g,row,2767143051,70,V2,4.030681749741718,6.25,-2.219318250258282
25g,row,2767143051,100,V1,5.489194147924003,6.25,-0.7608058520759968
25g,row,2767143051,100,V2,4.118307876538759,6.25,-2.1316921234612414
25g,row,1362771960,30,V1,5.167621995312747,6.25,-1.0823780046872526
25g,row,1362771960,30,V2,3.6062879415905456,6.25,-2.6437120584094544
25g,row,1362771960,50,V1,5.531009825386821,6.25,-0.7189901746131788
25g,row,1362771960,50,V2,3.955460145820082,6.25,-2.294539854179918
25g,row,1362771960,70,V1,5.324354623603181,6.25,-0.9256453763968189
25g,row,1362771960,70,V2,3.872622790033913,6.25,-2.377377209966087
25g,row,1362771960,100,V1,5.466464519295381,6.25,-0.7835354807046189
25g,row,1362771960,100,V2,3.9658136600805567,6.25,-2.2841863399194433
25g,compound,769539383,30,V1,6.383500968756724,6.25,0.13350096875672435
25g,compound,769539383,30,V2,4.667479394059428,6.25,-1.582520605940572
25g,compound,769539383,50,V1,6.557142085553774,6.25,0.30714208555377365
25g,compound,769539383,50,V2,4.600657970845393,6.25,-1.6493420291546066
25g,compound,769539383,70,V1,5.625712506480526,6.25,-0.624287493519474
25g,compound,769539383,70,V2,4.281980716049874,6.25,-1.9680192839501256
25g,compound,769539383,100,V1,5.582919233780852,6.25,-0.667080766219148
25g,compound,769539383,100,V2,4.196993112679028,6.25,-2.053006887320972
25g,compound,1425370602,30,V1,5.482303596827635,6.25,-0.7676964031723648
25g,compound,1425370602,30,V2,4.177820566390227,6.25,-2.072179433609773
25g,compound,1425370602,50,V1,5.428138208832831,6.25,-0.8218617911671693
25g,compound,1425370602,50,V2,4.064772737185513,6.25,-2.185227262814487
25g,compound,1425370602,70,V1,5.541929986844548,6.25,-0.708070013155452
25g,compound,1425370602,70,V2,4.077157764361892,6.25,-2.1728422356381083
25g,compound,1425370602,100,V1,5.822931400638477,6.25,-0.4270685993615233
25g,compound,1425370602,100,V2,4.2038390329542885,6.25,-2.0461609670457115
25g,compound,536279090,30,V1,5.956373674662373,6.25,-0.2936263253376268
25g,compound,536279090,30,V2,4.049650365149831,6.25,-2.200349634850169
25g,compound,536279090,50,V1,4.980899704481507,6.25,-1.2691002955184931
25g,compound,536279090,50,V2,3.827863317284447,6.25,-2.422136682715553
25g,compound,536279090,70,V1,5.71205125385491,6.25,-0.5379487461450898
25g,compound,536279090,70,V2,4.335800261393252,6.25,-1.9141997386067482
25g,compound,536279090,100,V1,5.812690372081436,6.25,-0.4373096279185642
25g,compound,536279090,100,V2,4.290523165592506,6.25,-1.9594768344074938
25g,compound,2767143051,30,V1,6.350068037205986,6.25,0.10006803720598612
25g,compound,2767143051,30,V2,4.8310927129949235,6.25,-1.4189072870050765
25g,compound,2767143051,50,V1,5.649835978175918,6.25,-0.6001640218240816
25g,compound,2767143051,50,V2,4.426169537491636,6.25,-1.8238304625083641
25g,compound,2767143051,70,V1,5.7011317044667145,6.25,-0.5488682955332855
25g,compound,2767143051,70,V2,4.3982727863294375,6.25,-1.8517272136705625
25g,compound,2767143051,100,V1,5.383503670147414,6.25,-0.8664963298525858
25g,compound,2767143051,100,V2,4.20188327691989,6.25,-2.04811672308011
25g,compound,1362771960,30,V1,5.069317667699504,6.25,-1.1806823323004956
25g,compound,1362771960,30,V2,3.625633141161806,6.25,-2.624366858838194
25g,compound,1362771960,50,V1,6.725460054173662,6.25,0.475460054173662
25g,compound,1362771960,50,V2,4.460086838089793,6.25,-1.7899131619102073
25g,compound,1362771960,70,V1,6.743320167143221,6.25,0.4933201671432208
25g,compound,1362771960,70,V2,4.48545752797705,6.25,-1.7645424720229501
25g,compound,1362771960,100,V1,6.3735607155528875,6.25,0.1235607155528875
25g,compound,1362771960,100,V2,4.444694278959131,6.25,-1.8053057210408694
40g,row,769539383,30,V1,10.460480811046475,10.0,0.46048081104647487
40g,row,769539383,30,V2,7.450159895014801,10.0,-2.549840104985199
40g,row,769539383,50,V1,11.307623608151799,10.0,1.3076236081517987
40g,row,769539383,50,V2,7.6547527097218895,10.0,-2.3452472902781105
40g,row,769539383,70,V1,11.2722231399536,10.0,1.2722231399535993
40g,row,769539383,70,V2,7.522656608347138,10.0,-2.4773433916528624
40g,row,769539383,100,V1,11.5669160986991,10.0,1.5669160986990995
40g,row,769539383,100,V2,7.720043789023604,10.0,-2.279956210976396
40g,row,1425370602,30,V1,11.991417994290824,10.0,1.9914179942908241
40g,row,1425370602,30,V2,7.675960067098474,10.0,-2.3240399329015258
40g,row,1425370602,50,V1,11.34674044302375,10.0,1.3467404430237497
40g,row,1425370602,50,V2,7.269270630566899,10.0,-2.730729369433101
40g,row,1425370602,70,V1,11.11580794986861,10.0,1.1158079498686106
40g,row,1425370602,70,V2,7.203326377287943,10.0,-2.796673622712057
40g,row,1425370602,100,V1,11.15177805530519,10.0,1.15177805530519
40g,row,1425370602,100,V2,7.346159965282379,10.0,-2.6538400347176214
40g,row,536279090,30,V1,11.072524201191845,10.0,1.072524201191845
40g,row,536279090,30,V2,7.1495935303931555,10.0,-2.8504064696068445
40g,row,536279090,50,V1,11.644693256616964,10.0,1.6446932566169643
40g,row,536279090,50,V2,7.57470149466843,10.0,-2.42529850533157
40g,row,536279090,70,V1,11.649163237098122,10.0,1.6491632370981222
40g,row,536279090,70,V2,7.4881365564672295,10.0,-2.5118634435327705
40g,row,536279090,100,V1,12.072844908183797,10.0,2.0728449081837965
40g,row,536279090,100,V2,7.755133789982294,10.0,-2.2448662100177064
40g,row,2767143051,30,V1,11.486475700002504,10.0,1.4864757000025044
40g,row,2767143051,30,V2,7.243647728385088,10.0,-2.7563522716149116
40g,row,2767143051,50,V1,11.157742589322797,10.0,1.1577425893227975
40g,row,2767143051,50,V2,7.34792290107654,10.0,-2.65207709892346
40g,row,2767143051,70,V1,11.276700421270277,10.0,1.2767004212702773
40g,row,2767143051,70,V2,7.310637254567539,10.0,-2.6893627454324607
40g,row,2767143051,100,V1,10.988861845556604,10.0,0.9888618455566043
40g,row,2767143051,100,V2,7.1597754214112586,10.0,-2.8402245785887414
40g,row,1362771960,30,V1,9.244941703810136,10.0,-0.7550582961898638
40g,row,1362771960,30,V2,5.518392139342645,10.0,-4.481607860657355
40g,row,1362771960,50,V1,9.395992499998925,10.0,-0.6040075000010745
40g,row,1362771960,50,V2,5.937271706355782,10.0,-4.062728293644218
40g,row,1362771960,70,V1,10.376571721326306,10.0,0.37657172132630556
40g,row,1362771960,70,V2,6.638363861004684,10.0,-3.3616361389953164
40g,row,1362771960,100,V1,10.78359784515242,10.0,0.7835978451524195
40g,row,1362771960,100,V2,6.771935146069947,10.0,-3.2280648539300527
40g,compound,769539383,30,V1,10.237407113444943,10.0,0.23740711344494336
40g,compound,769539383,30,V2,6.439157591321845,10.0,-3.5608424086781554
40g,compound,769539383,50,V1,11.47936200735714,10.0,1.4793620073571407
40g,compound,769539383,50,V2,7.588212290722606,10.0,-2.4117877092773936
40g,compound,769539383,70,V1,12.595189928861474,10.0,2.5951899288614744
40g,compound,769539383,70,V2,8.06553206695973,10.0,-1.9344679330402705
40g,compound,769539383,100,V1,11.543272964828756,10.0,1.5432729648287555
40g,compound,769539383,100,V2,7.378983342195663,10.0,-2.6210166578043372
40g,compound,1425370602,30,V1,14.180788931949424,10.0,4.180788931949424
40g,compound,1425370602,30,V2,8.84516447814178,10.0,-1.1548355218582191
40g,compound,1425370602,50,V1,12.20619890154439,10.0,2.20619890154439
40g,compound,1425370602,50,V2,7.748529020958613,10.0,-2.251470979041387
40g,compound,1425370602,70,V1,11.675306284375825,10.0,1.675306284375825
40g,compound,1425370602,70,V2,7.7391723615203665,10.0,-2.2608276384796335
40g,compound,1425370602,100,V1,11.55413371039106,10.0,1.55413371039106
40g,compound,1425370602,100,V2,7.675368165279306,10.0,-2.3246318347206936
40g,compound,536279090,30,V1,11.027709168706643,10.0,1.027709168706643
40g,compound,536279090,30,V2,7.162273596170577,10.0,-2.837726403829423
40g,compound,536279090,50,V1,10.324663727317034,10.0,0.3246637273170343
40g,compound,536279090,50,V2,7.1049162112572715,10.0,-2.8950837887427285
40g,compound,536279090,70,V1,11.159200562156053,10.0,1.1592005621560535
40g,compound,536279090,70,V2,7.434567443464893,10.0,-2.5654325565351073
40g,compound,536279090,100,V1,11.367289642670963,10.0,1.367289642670963
40g,compound,536279090,100,V2,7.4874507538777415,10.0,-2.5125492461222585
40g,compound,2767143051,30,V1,11.330999405871802,10.0,1.3309994058718022
40g,compound,2767143051,30,V2,7.312937400780406,10.0,-2.687062599219594
40g,compound,2767143051,50,V1,10.48723037962882,10.0,0.4872303796288193
40g,compound,2767143051,50,V2,6.934646594247161,10.0,-3.0653534057528393
40g,compound,2767143051,70,V1,10.450089373308023,10.0,0.4500893733080229
40g,compound,2767143051,70,V2,6.834057711420272,10.0,-3.1659422885797284
40g,compound,2767143051,100,V1,11.267445682946335,10.0,1.2674456829463345
40g,compound,2767143051,100,V2,7.329354953123144,10.0,-2.6706450468768557
40g,compound,1362771960,30,V1,14.656876099178408,10.0,4.656876099178408
40g,compound,1362771960,30,V2,7.649440003621844,10.0,-2.3505599963781556
40g,compound,1362771960,50,V1,12.057314457271067,10.0,2.057314457271067
40g,compound,1362771960,50,V2,6.764082416102442,10.0,-3.2359175838975576
40g,compound,1362771960,70,V1,10.307521989653557,10.0,0.3075219896535568
40g,compound,1362771960,70,V2,6.887046197150602,10.0,-3.1129538028493977
40g,compound,1362771960,100,V1,11.030391916777559,10.0,1.0303919167775586
40g,compound,1362771960,100,V2,7.26344752941097,10.0,-2.7365524705890296
