column,seed,method,stage,maximum_epoch,best_epoch,epochs_run,best_at_max_epoch,best_validation_score,last_validation_score,tail_first_validation_score,tail_last_validation_score,tail_delta_last_minus_first,tail_validation_slope
25g,769539383,P0,B,150,150,150,True,0.3634580874117434,0.3634580874117434,0.3655135129885756,0.3634580874117434,-0.0020554255768321927,-0.00010843870950734255
25g,769539383,P1,A,150,150,150,True,1.7592833253023656,1.7592833253023656,1.8215890116051343,1.7592833253023656,-0.06230568630276867,-0.0032792472550228742
25g,769539383,P1,B,150,134,150,False,0.3671997535081073,0.3675322609608695,0.3672386375903255,0.3675322609608695,0.000293623370544005,1.960418107858629e-05
25g,769539383,P2,A,150,150,150,True,1.7592833253023656,1.7592833253023656,1.8215890116051343,1.7592833253023656,-0.06230568630276867,-0.0032792472550228742
25g,769539383,P2,B,150,150,150,True,0.3528049940032067,0.3528049940032067,0.3600686728070613,0.3528049940032067,-0.00726367880385459,-0.0003930001273032528
25g,1425370602,P0,B,150,150,150,True,0.7944865086602781,0.7944865086602781,0.8030129533245918,0.7944865086602781,-0.008526444664313626,-0.00044677497841782277
25g,1425370602,P1,A,150,150,150,True,1.800344083087292,1.800344083087292,1.8474928082455255,1.800344083087292,-0.04714872515823343,-0.0024815180244180035
25g,1425370602,P1,B,77,37,77,False,0.7853405634573988,0.8010311561749677,0.8084508540150487,0.8010311561749677,-0.007419697840081008,-0.0004529159403811945
25g,1425370602,P2,A,150,150,150,True,1.800344083087292,1.800344083087292,1.8474928082455255,1.800344083087292,-0.04714872515823343,-0.0024815180244180035
25g,1425370602,P2,B,126,86,126,False,0.8164343859967834,0.8291599662834537,0.8248465745181524,0.8291599662834537,0.004313391765301322,0.0002168790977984251
25g,536279090,P0,B,150,150,150,True,0.6695332739718,0.6695332739718,0.6821588891984922,0.6695332739718,-0.012625615226692255,-0.0006663525357371888
25g,536279090,P1,A,150,150,150,True,1.7062307959313652,1.7062307959313652,1.7526166995888086,1.7062307959313652,-0.04638590365744344,-0.002441371513999819
25g,536279090,P1,B,150,150,150,True,0.643359359166348,0.643359359166348,0.6539016561258869,0.643359359166348,-0.0105422969595389,-0.0005524851032510838
25g,536279090,P2,A,150,150,150,True,1.7062307959313652,1.7062307959313652,1.7526166995888086,1.7062307959313652,-0.04638590365744344,-0.002441371513999819
25g,536279090,P2,B,150,150,150,True,0.797267489354672,0.797267489354672,0.807563342689792,0.797267489354672,-0.010295853335120064,-0.0005415174891004514
25g,2767143051,P0,B,150,133,150,False,0.2742902114892505,0.275905868112652,0.2743090111445753,0.275905868112652,0.0015968569680767097,8.638873304298574e-05
25g,2767143051,P1,A,150,150,150,True,1.1620502251547524,1.1620502251547524,1.200637588810267,1.1620502251547524,-0.03858736365551452,-0.0020309260541854905
25g,2767143051,P1,B,107,67,107,False,0.2612916902359889,0.2654258635833841,0.2669987597644384,0.2654258635833841,-0.001572896181054273,-0.00010097500652107402
25g,2767143051,P2,A,150,150,150,True,1.1620502251547524,1.1620502251547524,1.200637588810267,1.1620502251547524,-0.03858736365551452,-0.0020309260541854905
25g,2767143051,P2,B,150,144,150,False,0.2613780652360125,0.2614386105841212,0.2619665572810018,0.2614386105841212,-0.0005279466968806101,-2.355103474970642e-05
25g,1362771960,P0,B,136,96,136,False,0.2558166517262507,0.2698861117427633,0.2611160132687801,0.2698861117427633,0.00877009847398319,0.0004631158358574239
