seed,source_trajectory,anchor_budget,strategy,NRMSE_anchor,NRMSE_plus32,NRMSE_plus64,short_AULC,delta_NRMSE_32,delta_NRMSE_64,V1_RMSE_plus64,V1_R2_plus64,V2_RMSE_plus64,V2_R2_plus64
157,center_width_lcmd,429,center_width_lcmd,0.6406454446595926,0.5578461680844136,0.5422686658415776,0.5746516116674993,0.08279927657517905,0.09837677881801499,3.976040597943654,0.7144097570339184,6.091071822038359,0.8375531991559446
157,center_width_lcmd,429,kernel_ivr,0.6406454446595926,0.5462103914639076,0.5113969165158652,0.5611157860258182,0.09443505319568501,0.12924852814372745,3.8164756525013592,0.7368721980784456,5.561276998652913,0.864583128445829
157,center_width_lcmd,429,gradient_maxdet,0.6406454446595926,0.5881345154781604,0.5308917460043427,0.586951555405064,0.05251092918143219,0.10975369865524987,3.9804681357589446,0.7137733623127459,5.7209205171019315,0.8566969116575507
157,center_width_lcmd,653,center_width_lcmd,0.49480914758309885,0.499700429091064,0.48621523391968136,0.49510630992122706,-0.0048912815079651395,0.008593913663417496,3.615032187720456,0.7639162566887802,5.325207690760137,0.8758356775018463
157,center_width_lcmd,653,kernel_ivr,0.49480914758309885,0.49187946455534753,0.4877618357575477,0.4915824781128354,0.0029296830277513175,0.007047311825551128,3.6886236579609983,0.7542064736519487,5.165150615567597,0.8831873968702199
157,center_width_lcmd,653,gradient_maxdet,0.49480914758309885,0.5031982506412817,0.4804515469425458,0.495414298952052,-0.0083891030581828,0.014357600640553025,3.654021838782453,0.7587962681266494,5.026729392424872,0.8893644410354171
157,hybrid,429,center_width_lcmd,0.5831309518047568,0.5797755502780029,0.564992674047207,0.5769186816019924,0.003355401526753954,0.018138277757549837,4.149064197318682,0.689013128955132,6.32916353440971,0.8246053441883769
157,hybrid,429,kernel_ivr,0.5831309518047568,0.5939747395758098,0.5391269763251226,0.5775518518203747,-0.010843787771052993,0.044003975479634194,3.9877833287385838,0.7127203569950349,5.961690794064507,0.8443810012194382
157,hybrid,429,gradient_maxdet,0.5831309518047568,0.5628510990880883,0.5756369273243412,0.5711175193263186,0.020279852716668545,0.007494024480415584,4.2375175458584495,0.6756120116613156,6.420699664140178,0.8194953336833037
157,hybrid,653,center_width_lcmd,0.576106237754402,0.5758872898633368,0.561630842944336,0.5723779151063528,0.00021894789106513546,0.014475394810065989,4.370916712498645,0.6548667446380722,5.568440506139614,0.8642340415210976
157,hybrid,653,kernel_ivr,0.576106237754402,0.5564228506316692,0.5173120321950985,0.5515659928032097,0.019683387122732765,0.05879420555930348,4.092099697959615,0.6974938852160957,4.910191730759881,0.8944348368605753
157,hybrid,653,gradient_maxdet,0.576106237754402,0.5440532955028433,0.5340796696005812,0.5495731245901674,0.032052942251558636,0.042026568153820776,4.06802049054398,0.7010434939859773,5.56950833351963,0.8641819664354267
6101,center_width_lcmd,429,center_width_lcmd,0.8128922825898254,0.7561776358602065,0.7030126618522389,0.7570650540406193,0.0567146467296189,0.1098796207375865,4.244566633750786,0.7027029890434726,7.607396255379605,0.72782908287914
6101,center_width_lcmd,429,kernel_ivr,0.8128922825898254,0.7644685810516894,0.7550095904200105,0.7742097587783037,0.04842370153813602,0.0578826921698149,4.52550033828513,0.662046433027627,8.262094156694683,0.6789668206784054
6101,center_width_lcmd,429,gradient_maxdet,0.8128922825898254,0.7767949578487902,0.7367779976035022,0.7758150489727269,0.03609732474103522,0.07611428498632322,4.463229351599839,0.6712829429025255,7.930952018901959,0.7041849369229993
6101,center_width_lcmd,653,center_width_lcmd,0.6073721606650027,0.6269624216632372,0.5470819032803859,0.6020947268179657,-0.019590260998234577,0.0602902573846168,3.5302475463592877,0.7943474253807813,5.217134758005415,0.871992991266282
6101,center_width_lcmd,653,kernel_ivr,0.6073721606650027,0.5441694740104053,0.5512272723829126,0.5617345952671815,0.06320268665459738,0.05614488828209008,3.5225043157155325,0.7952485910345898,5.372537861284197,0.8642535098645326
6101,center_width_lcmd,653,gradient_maxdet,0.6073721606650027,0.5637445592110513,0.5565339394133574,0.5728488046251157,0.04362760145395139,0.05083822125164528,3.4464207633228354,0.8039980340850765,5.771274394098631,0.8433562446410605
6101,hybrid,429,center_width_lcmd,0.7811693674772886,0.7838410276055419,0.7445022992486768,0.7733384304842622,-0.0026716601282532615,0.036667068228611766,4.45198465916839,0.672937200679895,8.176131852147861,0.6856123967997847
6101,hybrid,429,kernel_ivr,0.7811693674772886,0.728227753044641,0.7478107142355245,0.7463588969505237,0.052941614432647555,0.033358653241764125,4.427424566051461,0.6765358366121368,8.332762820222827,0.6734515093604938
6101,hybrid,429,gradient_maxdet,0.7811693674772886,0.8062344394194535,0.7888617341585739,0.7956249951186923,-0.025065071942164896,-0.0076923666812852565,4.741065617237779,0.6290838328347048,8.597455162421443,0.6523762190072349
6101,hybrid,653,center_width_lcmd,0.5361766946205239,0.5433537272797229,0.5433125712620842,0.5415491801105135,-0.007177032659199001,-0.007135876641560346,3.2693489293057283,0.8236212015868405,5.910080812367878,0.8357306727834242
6101,hybrid,653,kernel_ivr,0.5361766946205239,0.5234954327351352,0.5500800109728947,0.5333118927659222,0.01268126188538865,-0.013903316352370854,3.286178502609181,0.8218006433524799,6.049754225978394,0.8278745443147516
6101,hybrid,653,gradient_maxdet,0.5361766946205239,0.5446786568066171,0.5455219070503594,0.5427639788210294,-0.008501962186093226,-0.009345212429835548,3.3198374046514116,0.8181315108847713,5.828817853202839,0.8402169863659081
