seed,source_trajectory,anchor_budget,winner_plus32,winner_plus64,winner_short_AULC,test_AULC_ranking,validation_plus64_ranking,validation_test_ranking_exact_match,within_anchor_AULC_range
157,center_width_lcmd,429,kernel_ivr,kernel_ivr,kernel_ivr,kernel_ivr > center_width_lcmd > gradient_maxdet,kernel_ivr > center_width_lcmd > gradient_maxdet,False,0.02583576937924581
157,center_width_lcmd,653,kernel_ivr,gradient_maxdet,kernel_ivr,kernel_ivr > center_width_lcmd > gradient_maxdet,kernel_ivr > center_width_lcmd > gradient_maxdet,False,0.0038318208392166264
157,hybrid,429,gradient_maxdet,kernel_ivr,gradient_maxdet,gradient_maxdet > center_width_lcmd > kernel_ivr,kernel_ivr > center_width_lcmd > gradient_maxdet,True,0.006434332494056116
157,hybrid,653,gradient_maxdet,kernel_ivr,gradient_maxdet,gradient_maxdet > kernel_ivr > center_width_lcmd,center_width_lcmd > kernel_ivr > gradient_maxdet,False,0.022804790516185447
6101,center_width_lcmd,429,center_width_lcmd,center_width_lcmd,center_width_lcmd,center_width_lcmd > kernel_ivr > gradient_maxdet,center_width_lcmd > kernel_ivr > gradient_maxdet,False,0.018749994932107605
6101,center_width_lcmd,653,kernel_ivr,center_width_lcmd,kernel_ivr,kernel_ivr > gradient_maxdet > center_width_lcmd,gradient_maxdet > kernel_ivr > center_width_lcmd,False,0.04036013155078422
6101,hybrid,429,kernel_ivr,center_width_lcmd,kernel_ivr,kernel_ivr > center_width_lcmd > gradient_maxdet,center_width_lcmd > gradient_maxdet > kernel_ivr,False,0.049266098168168626
6101,hybrid,653,kernel_ivr,center_width_lcmd,kernel_ivr,kernel_ivr > center_width_lcmd > gradient_maxdet,gradient_maxdet > center_width_lcmd > kernel_ivr,False,0.009452086055107278
