active_label_count,candidate_pool_size,raw_gradient_norm_mean,raw_gradient_norm_std,raw_gradient_norm_p50,raw_gradient_norm_p90,raw_gradient_norm_p95,raw_gradient_norm_max,raw_gradient_effective_rank_participation_ratio,raw_gradient_coverage_nearest_distance_mean,raw_gradient_coverage_nearest_distance_median,raw_gradient_coverage_nearest_distance_p90,raw_gradient_coverage_nearest_distance_max,cw_gradient_norm_mean,cw_gradient_norm_std,cw_gradient_norm_p50,cw_gradient_norm_p90,cw_gradient_norm_p95,cw_gradient_norm_max,cw_gradient_effective_rank_participation_ratio,cw_gradient_coverage_nearest_distance_mean,cw_gradient_coverage_nearest_distance_median,cw_gradient_coverage_nearest_distance_p90,cw_gradient_coverage_nearest_distance_max,recent_validation_nrmse,recent_validation_last_step_delta,recent_validation_2step_linear_slope_per_label,recent_validation_3step_linear_slope_per_label,seed,source_trajectory,anchor_budget,state_kind,raw_gradient_bank_hash,cw_gradient_bank_hash,ivr_integrated_variance_before,ivr_predicted_total_reduction_B32,ivr_predicted_relative_reduction_B32,maxdet_total_marginal_logdet_gain_B32,cw_lcmd_largest_cluster_score_first,strategy,rollout_step,gradient_extraction_seconds,current_validation_nrmse
429,2901,145.9808264420946,128.29872561513395,97.17279429090954,316.95639853729796,433.6141244814392,1086.1918959511231,6.282624626986689,60.44001720152956,50.2089705730796,129.78675453672756,403.7765689311528,162.30609983741277,120.84059142662976,124.7293654244195,305.24885379300264,413.5278178658739,1080.4490390040671,7.8338091127944915,67.9019563660652,60.71054766788269,136.96676712813905,367.4093057076102,0.5719114511107042,-0.1413475611825414,-0.0027014480309859,-0.0027420951756768,157,center_width_lcmd,429,anchor,4a74c2619d70d4c6c0b623979d3a5da83cd65fbdc42bb565e718c78b45a3434d,7389610b3a61a1a2d933cbd2a5da3012741750461cc0ab14d1823e0f0cd65338,0.1364936054807092,0.0157489547891809,0.1153823633987508,13.438161105283736,622063.3860382964,,,,
653,2677,178.72600197330644,158.51096674140302,118.6602059475243,371.01228414073415,501.4930540242864,1235.8790460917114,7.364523233421226,51.66802674103909,52.75440583244149,111.77655556046965,354.8157083083831,198.9416389918131,148.56738600060254,146.1022014300811,374.0542769102958,495.57268858983633,1201.7467433064985,10.795870455017052,61.48863839475969,63.341673046379434,136.59296933375947,385.8422818796809,0.4091439073191484,-0.0207274000809991,-0.0008990999961054,-0.0007730667466961,157,center_width_lcmd,653,anchor,8bb4335311c562ff5ecee22517a723e58ac3b429006ec0ffd45224a0e4a66c77,41bf2247c0a6ae240c3a3e2898a16fe615eee13f0b15d6a31ad9a751fa6e10d0,0.1149648519021868,0.0073058528236143,0.0635485776977313,10.78875745054228,446622.60073263093,,,,
429,2901,147.17654087740803,134.63699295257146,102.40340095118304,280.99288870575657,446.47909844878745,1075.7854890251228,6.778819187501045,62.274425847739735,50.780923775741165,130.61287449194916,412.4040404259238,154.65037969690306,128.60629488157585,114.9975548296647,282.2841960241036,409.1402695015622,1110.3876370946582,8.191219101590125,67.09662421553058,55.69089777152151,145.56671301738874,399.2691042939346,0.614122527429534,-0.0817856797774452,-0.0026368183740021,-0.002519571283182,157,hybrid,429,anchor,6e1bf0a93f915a51c663dee7232759f2d41548ba54c440c67cf968aec4e1f2db,2211016550ffe09855c4e5fa7c8f175d5e000213a30683a02ad5e02e1d179aa5,0.1249415304928234,0.0141768497135298,0.1134678729931527,11.675539974176688,766372.1644610388,,,,
653,2677,191.19410588651712,163.01040479991966,129.88496562963712,377.6473958611951,541.8265470591508,1332.913441099365,8.323009819850403,60.24739088526787,59.04709006749989,135.3903701509942,371.9414295265916,214.352278238382,152.83185139085177,164.20310769051156,402.0766438244124,516.2886256568835,1312.8220679553604,10.76788090707159,71.35562926985507,72.66137540389573,154.591763871575,336.21680187083234,0.4052312500436947,-0.0160780050250582,-0.0010364706348513,-0.0009986740336312,157,hybrid,653,anchor,d9ff8e950238805e0e4144d8e669e1a8603cf104dd0081615c22c9cf5a0147a4,f3223409f7bdadc7f759d4be2d1a5c60a8fd967286d6fc340fe3e1ba414f3654,0.1172196156855616,0.0067746901399538,0.0577948502930325,10.189566685262603,568459.5083266464,,,,
461,2869,156.60897953137578,158.39591141674617,99.54800045613513,342.2220171205505,518.499272447063,1289.7707353411367,5.15750218043679,56.543257285992,44.60135846006667,127.74256436444558,438.1566595992295,161.82863162718564,143.10447397073878,115.78396126538442,310.90806835896257,456.565704560499,1245.029525539747,6.965481375429899,60.01632121836407,52.7660953805171,127.97206074387077,394.58605094921387,0.4999682934011453,-0.07194315770955889,-0.003332667482689074,-0.0027370470508141093,157,center_width_lcmd,429,branch_after_1,3039526a4cbedeab700d4fbac704c276b2fc72bc234cf40ee49767bd7db5823d,df7c6d5f4f54bc2d1511a22ffae6b0655fb8cfd25948c84e0b96e8523ee8a926,0.10832534312514662,,0.10112076465955114,11.146550438665026,,center_width_lcmd,1.0,86.94215716602048,0.4999682934011453
461,2869,150.4231523219145,136.16990342137223,99.92700379982006,313.92791999136534,456.80016463365735,1161.7493058952057,6.847495134069562,58.76313254035574,48.41533517873622,125.84744745101622,396.2905228356284,170.70624523760657,126.30567589149473,130.1992380178391,319.7745793893994,424.7378274733166,1163.9551368608847,8.997214219679977,67.3185455819835,60.4250326528491,137.61921023752834,344.74498767485636,0.5147041503084836,-0.057207300802220584,-0.003102419718511914,-0.0025988983923078118,157,center_width_lcmd,429,branch_after_1,6d42c687a5114c5fda2a4e89e79fca02cc992351c09d5d0a19756f2f277bef74,49abfbed741853d216a5b93c17c93a692c40deb13b9141ea1c02e2bcba7afc62,0.12369858775901059,,0.079256831598239,10.451208508958912,,kernel_ivr,1.0,83.47653220797656,0.5147041503084836
461,2869,159.76984205594167,129.37135651867115,116.38172611841057,320.53206972849705,439.63007026862283,982.4360041695393,7.486211406281197,69.44531868960948,59.20500834520211,146.6973100075835,431.84332032612633,179.75564963130563,121.24919885205686,145.30241629917543,325.48605973983774,421.7032745521916,1130.9162170534526,10.13196895015965,80.39577896596622,70.58587465397473,165.74932821286492,398.1791821681929,0.5119228895769932,-0.059988561533711016,-0.003145876917441452,-0.0026249727116655344,157,center_width_lcmd,429,branch_after_1,d8eea5bae54874a8d529357f3a04bc1d52029eb8925ff149acfbbd07d5e953a0,9b63b8a3a81e23091b457d85a2ff6cce3436fc26c015f03a33cad2ee0e328753,0.14392100955085452,,0.09499867124041103,11.051112548503726,,gradient_maxdet,1.0,88.3045523329929,0.5119228895769932
685,2645,176.7658184070481,169.56967110161364,117.47873146338733,373.5511315911351,536.8694573716784,1415.211947357071,5.712044891673741,45.202204732034424,47.237073385856405,100.75221667495784,294.99911456658936,187.1755960253567,155.69068274496806,135.0026954458737,364.4580364215536,499.68410207571145,1252.385995868373,8.54864285931339,50.56257101664574,50.16169161205181,112.47304431822278,397.5577836305802,0.4137840199281513,0.004640112609002878,-0.00025136386674994357,-0.0005607320672070089,157,center_width_lcmd,653,branch_after_1,8682529b91a40585ff8cd1daaba886bda9703cd22c495a911cc5761cd1c12f9c,16238ed2764f0e319e230527cd235239912ed7225dbf49dc2c3645a64578d85d,0.10331057531318275,,0.059964823978201895,10.017498685569265,,center_width_lcmd,1.0,85.65256074999343,0.4137840199281513
685,2645,189.83174220513428,158.5941269526829,130.13981775181708,389.1674273218814,521.539844681767,1301.4557265277485,10.320152447718401,54.8863953602515,56.61449346884577,116.61809492673794,400.7175024095808,212.2489380620947,153.73430791760407,160.4433131080559,414.47387932493206,530.3092792515732,1303.166417830148,11.512580670157673,64.3635191336324,65.57379060889437,139.97368819009753,382.985954736064,0.3875923018465706,-0.021551605472577784,-0.0006606094617746419,-0.0008062794242218272,157,center_width_lcmd,653,branch_after_1,34a9f6b21b22bae8559ea6ba96cbcdc11ae97e08841009bf1491c1f853d12663,452bd1cf940064d24515567220b9f3f07022d56c231614cc9ebccb98eadd5368,0.11176686371339013,,0.04722615982230931,8.907534633994091,,kernel_ivr,1.0,84.01529420900624,0.3875923018465706
685,2645,181.45538105323203,139.0148525908581,130.69932577861118,366.6816124273592,481.28944849339325,1022.8108913681856,9.968242423029777,56.2631587532093,58.88292755891016,122.32870587586312,367.71117738028516,206.35984347758895,134.15541290556567,160.98435246753277,390.7068099730726,482.40099752861227,1106.4295013410376,12.518061165478894,66.46636666175954,71.4250146629956,143.7964235595627,381.8366055997213,0.3986850582144798,-0.0104588491046686,-0.0004872851435260608,-0.0007022848332726785,157,center_width_lcmd,653,branch_after_1,eafea259c4d6d3eb1f011bc77fb19a3c9e5810fc37a53665b4ef0198ef13236e,0fee10a6fd17ed1421235c787a6a9c20b211cf06ec12d35c06ef6c1de844a28b,0.12224439342587046,,0.05195100480323257,8.723815190934806,,gradient_maxdet,1.0,85.85572170797968,0.3986850582144798
