seed,source,budget,representation,checkpoint_sha256,transform_hash,sketch_seed,dimension,sketch_mapping_sha256,test_truth_access_count
157,center_width_lcmd,429,ordinary_q50,b6971c619992f1971d1f63feb9973f0a5a43a63c8f94c4ea647cf40400646260,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,center_width_lcmd,429,L0_center_width,b6971c619992f1971d1f63feb9973f0a5a43a63c8f94c4ea647cf40400646260,79efdef7ecb580b3b45aa3cca4624d5b56830afe7a4dc81eff52b054798f2a45,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,center_width_lcmd,653,ordinary_q50,669a8203b927a55476bf6dea7e8db41681a733becc0fd8772e19da4de7b19433,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,center_width_lcmd,653,L0_center_width,669a8203b927a55476bf6dea7e8db41681a733becc0fd8772e19da4de7b19433,79efdef7ecb580b3b45aa3cca4624d5b56830afe7a4dc81eff52b054798f2a45,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,hybrid,429,ordinary_q50,69ab4e5d8c74db304d79b41df13278852541d3250a7b0c7d6020a344adb463e3,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,hybrid,429,L0_center_width,69ab4e5d8c74db304d79b41df13278852541d3250a7b0c7d6020a344adb463e3,79efdef7ecb580b3b45aa3cca4624d5b56830afe7a4dc81eff52b054798f2a45,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,hybrid,653,ordinary_q50,8ff5e42a9e796de4178bc9737cc2a126d5676800b8ed0111a1235e03094f37cb,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
157,hybrid,653,L0_center_width,8ff5e42a9e796de4178bc9737cc2a126d5676800b8ed0111a1235e03094f37cb,79efdef7ecb580b3b45aa3cca4624d5b56830afe7a4dc81eff52b054798f2a45,4000194,512,6f5018bad8a7fd73c6ddfe5e5064944c7fd5ba326f34bc0f9855804edad94132,0
6101,center_width_lcmd,429,ordinary_q50,c66c1b6297b6a7db35d97e41629c30a5020b4021b6e4402a3b738a57cf704eae,1964ded53348aefc0acd5b0781fe0aaf52cf32b12a1bbf5d2a4d5feb4d2a9a0a,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,center_width_lcmd,429,L0_center_width,c66c1b6297b6a7db35d97e41629c30a5020b4021b6e4402a3b738a57cf704eae,85f556e10bcead6a46be9f24566b80a900bc43ee03c4f3afc995b0848a950b0b,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,center_width_lcmd,653,ordinary_q50,db77aad40175f9b4c1820d25a6711a418d76cd32f335027d1fc2dc837efb097c,1964ded53348aefc0acd5b0781fe0aaf52cf32b12a1bbf5d2a4d5feb4d2a9a0a,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,center_width_lcmd,653,L0_center_width,db77aad40175f9b4c1820d25a6711a418d76cd32f335027d1fc2dc837efb097c,85f556e10bcead6a46be9f24566b80a900bc43ee03c4f3afc995b0848a950b0b,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,hybrid,429,ordinary_q50,7fba053a492275e9b2e7aec8cbbbc03406dd45720b42749c4192c6e1fff0aac5,1964ded53348aefc0acd5b0781fe0aaf52cf32b12a1bbf5d2a4d5feb4d2a9a0a,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,hybrid,429,L0_center_width,7fba053a492275e9b2e7aec8cbbbc03406dd45720b42749c4192c6e1fff0aac5,85f556e10bcead6a46be9f24566b80a900bc43ee03c4f3afc995b0848a950b0b,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,hybrid,653,ordinary_q50,1348f3bae96c23eb2a72c6b82e2efa31766499f3e1c526439ee0bdd603cc17d1,1964ded53348aefc0acd5b0781fe0aaf52cf32b12a1bbf5d2a4d5feb4d2a9a0a,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
6101,hybrid,653,L0_center_width,1348f3bae96c23eb2a72c6b82e2efa31766499f3e1c526439ee0bdd603cc17d1,85f556e10bcead6a46be9f24566b80a900bc43ee03c4f3afc995b0848a950b0b,4006138,512,ef8d278ed9255686adf94d7d313bda9fc7011a58c9719fa762a2ee185fb5491f,0
