seed,source_trajectory,anchor_budget,left_strategy,right_strategy,plus32_left_minus_right,plus64_left_minus_right,short_AULC_left_minus_right
157,center_width_lcmd,429,center_width_lcmd,kernel_ivr,0.011635776620505967,0.03087174932571246,0.013535825641681098
157,center_width_lcmd,429,center_width_lcmd,gradient_maxdet,-0.03028834739374686,0.011376919837234878,-0.012299943737564711
157,center_width_lcmd,429,kernel_ivr,gradient_maxdet,-0.04192412401425283,-0.019494829488477583,-0.02583576937924581
157,center_width_lcmd,653,center_width_lcmd,kernel_ivr,0.007820964535716457,-0.0015466018378663682,0.003523831808391664
157,center_width_lcmd,653,center_width_lcmd,gradient_maxdet,-0.0034978215502176613,0.005763686977135529,-0.0003079890308249622
157,center_width_lcmd,653,kernel_ivr,gradient_maxdet,-0.011318786085934118,0.007310288815001897,-0.0038318208392166264
157,hybrid,429,center_width_lcmd,kernel_ivr,-0.014199189297806947,0.025865697722084358,-0.0006331702183822729
157,hybrid,429,center_width_lcmd,gradient_maxdet,0.01692445118991459,-0.010644253277134252,0.0058011622756738435
157,hybrid,429,kernel_ivr,gradient_maxdet,0.031123640487721538,-0.03650995099921861,0.006434332494056116
157,hybrid,653,center_width_lcmd,kernel_ivr,0.01946443923166763,0.04431881074923749,0.020811922303143104
157,hybrid,653,center_width_lcmd,gradient_maxdet,0.0318339943604935,0.027551173343754787,0.022804790516185447
157,hybrid,653,kernel_ivr,gradient_maxdet,0.012369555128825871,-0.016767637405482705,0.0019928682130423425
6101,center_width_lcmd,429,center_width_lcmd,kernel_ivr,-0.008290945191482879,-0.051996928567771605,-0.01714470473768437
6101,center_width_lcmd,429,center_width_lcmd,gradient_maxdet,-0.02061732198858368,-0.03376533575126328,-0.018749994932107605
6101,center_width_lcmd,429,kernel_ivr,gradient_maxdet,-0.012326376797100802,0.018231592816508324,-0.0016052901944232367
6101,center_width_lcmd,653,center_width_lcmd,kernel_ivr,0.08279294765283196,-0.004145369102526719,0.04036013155078422
6101,center_width_lcmd,653,center_width_lcmd,gradient_maxdet,0.06321786245218597,-0.00945203613297152,0.02924592219285005
6101,center_width_lcmd,653,kernel_ivr,gradient_maxdet,-0.019575085200645992,-0.0053066670304448005,-0.011114209357934168
6101,hybrid,429,center_width_lcmd,kernel_ivr,0.055613274560900816,-0.003308414986847641,0.026979533533738498
6101,hybrid,429,center_width_lcmd,gradient_maxdet,-0.022393411813911634,-0.04435943490989702,-0.022286564634430128
6101,hybrid,429,kernel_ivr,gradient_maxdet,-0.07800668637481245,-0.04105101992304938,-0.049266098168168626
6101,hybrid,653,center_width_lcmd,kernel_ivr,0.01985829454458765,-0.006767439710810508,0.008237287344591282
6101,hybrid,653,center_width_lcmd,gradient_maxdet,-0.0013249295268942252,-0.002209335788275202,-0.0012147987105159963
6101,hybrid,653,kernel_ivr,gradient_maxdet,-0.021183224071481876,0.004558103922535306,-0.009452086055107278
