outer_seed,source_budget,source_round,method_a,method_b,overlap_count,overlap_fraction
157,653,10,center_width_lcmd,gradient_maxdet,0,0.0
157,653,10,center_width_lcmd,lcmd,1,0.03125
157,685,11,center_width_lcmd,gradient_maxdet,0,0.0
157,685,11,center_width_lcmd,lcmd,3,0.09375
157,717,12,center_width_lcmd,gradient_maxdet,0,0.0
157,717,12,center_width_lcmd,lcmd,0,0.0
157,749,13,center_width_lcmd,gradient_maxdet,0,0.0
157,749,13,center_width_lcmd,lcmd,0,0.0
157,781,14,center_width_lcmd,gradient_maxdet,0,0.0
157,781,14,center_width_lcmd,lcmd,0,0.0
157,813,15,center_width_lcmd,gradient_maxdet,0,0.0
157,813,15,center_width_lcmd,lcmd,1,0.03125
157,845,16,center_width_lcmd,gradient_maxdet,0,0.0
157,845,16,center_width_lcmd,lcmd,1,0.03125
157,877,17,center_width_lcmd,gradient_maxdet,0,0.0
157,877,17,center_width_lcmd,lcmd,1,0.03125
157,909,18,center_width_lcmd,gradient_maxdet,1,0.03125
157,909,18,center_width_lcmd,lcmd,0,0.0
157,941,19,center_width_lcmd,gradient_maxdet,0,0.0
157,941,19,center_width_lcmd,lcmd,0,0.0
157,973,20,center_width_lcmd,gradient_maxdet,0,0.0
157,973,20,center_width_lcmd,lcmd,1,0.03125
6101,653,10,center_width_lcmd,gradient_maxdet,0,0.0
6101,653,10,center_width_lcmd,lcmd,1,0.03125
6101,685,11,center_width_lcmd,gradient_maxdet,1,0.03125
6101,685,11,center_width_lcmd,lcmd,1,0.03125
6101,717,12,center_width_lcmd,gradient_maxdet,0,0.0
6101,717,12,center_width_lcmd,lcmd,1,0.03125
6101,749,13,center_width_lcmd,gradient_maxdet,0,0.0
6101,749,13,center_width_lcmd,lcmd,1,0.03125
6101,781,14,center_width_lcmd,gradient_maxdet,1,0.03125
6101,781,14,center_width_lcmd,lcmd,1,0.03125
6101,813,15,center_width_lcmd,gradient_maxdet,1,0.03125
6101,813,15,center_width_lcmd,lcmd,0,0.0
6101,845,16,center_width_lcmd,gradient_maxdet,0,0.0
6101,845,16,center_width_lcmd,lcmd,3,0.09375
6101,877,17,center_width_lcmd,gradient_maxdet,0,0.0
6101,877,17,center_width_lcmd,lcmd,2,0.0625
6101,909,18,center_width_lcmd,gradient_maxdet,0,0.0
6101,909,18,center_width_lcmd,lcmd,1,0.03125
6101,941,19,center_width_lcmd,gradient_maxdet,0,0.0
6101,941,19,center_width_lcmd,lcmd,1,0.03125
6101,973,20,center_width_lcmd,gradient_maxdet,0,0.0
6101,973,20,center_width_lcmd,lcmd,0,0.0
