outer_seed,comparator,metric,direction,CW_minus_comparator
157,gradient_maxdet,AULC_653_1005,negative_is_CW_better,-0.012537717434766005
157,gradient_maxdet,AULC_525_1005,negative_is_CW_better,-0.011257059155095173
157,gradient_maxdet,AULC_429_1005,negative_is_CW_better,-0.01696828703829001
157,gradient_maxdet,AULC_333_1005,negative_is_CW_better,-0.013180326265398334
157,gradient_maxdet,NRMSE@685,negative_is_CW_better,0.016953398077856396
157,gradient_maxdet,NRMSE@717,negative_is_CW_better,0.006891422195577701
157,gradient_maxdet,NRMSE@749,negative_is_CW_better,0.005377239044653703
157,gradient_maxdet,NRMSE@781,negative_is_CW_better,-0.003185245341495724
157,gradient_maxdet,NRMSE@813,negative_is_CW_better,0.009301981526249892
157,gradient_maxdet,NRMSE@845,negative_is_CW_better,-0.020976699283537625
157,gradient_maxdet,NRMSE@877,negative_is_CW_better,-0.034790855009810606
157,gradient_maxdet,NRMSE@909,negative_is_CW_better,-0.025328275003221712
157,gradient_maxdet,NRMSE@941,negative_is_CW_better,-0.045104790317469
157,gradient_maxdet,NRMSE@973,negative_is_CW_better,-0.044544738925096194
157,gradient_maxdet,NRMSE@1005,negative_is_CW_better,-0.015117241698974493
157,gradient_maxdet,V1_RMSE@1005,negative_is_CW_better,-0.2637115240160153
157,gradient_maxdet,V2_RMSE@1005,negative_is_CW_better,0.3019003612604294
157,gradient_maxdet,V1_R2@1005,positive_is_CW_better,0.03496080848086658
157,gradient_maxdet,V2_R2@1005,positive_is_CW_better,-0.012831821973786628
157,hybrid,AULC_653_1005,negative_is_CW_better,-0.06817646233241642
157,hybrid,AULC_525_1005,negative_is_CW_better,-0.0705964903965055
157,hybrid,AULC_429_1005,negative_is_CW_better,-0.06727236777925094
157,hybrid,AULC_333_1005,negative_is_CW_better,-0.057920808619500885
157,hybrid,NRMSE@685,negative_is_CW_better,-0.054303219670013114
157,hybrid,NRMSE@717,negative_is_CW_better,-0.060243279739609135
157,hybrid,NRMSE@749,negative_is_CW_better,-0.04003917996642481
157,hybrid,NRMSE@781,negative_is_CW_better,-0.0699377181735868
157,hybrid,NRMSE@813,negative_is_CW_better,-0.08197694645322734
157,hybrid,NRMSE@845,negative_is_CW_better,-0.07524837799105061
157,hybrid,NRMSE@877,negative_is_CW_better,-0.05618099388101305
157,hybrid,NRMSE@909,negative_is_CW_better,-0.07308411907266005
157,hybrid,NRMSE@941,negative_is_CW_better,-0.07421251869213391
157,hybrid,NRMSE@973,negative_is_CW_better,-0.08600331730227667
157,hybrid,NRMSE@1005,negative_is_CW_better,-0.07612573925786958
157,hybrid,V1_RMSE@1005,negative_is_CW_better,-0.7935990656909575
157,hybrid,V2_RMSE@1005,negative_is_CW_better,-0.1170173657412148
157,hybrid,V1_R2@1005,positive_is_CW_better,0.11280587715281676
157,hybrid,V2_R2@1005,positive_is_CW_better,0.005188283697289631
157,kernel_ivr,AULC_653_1005,negative_is_CW_better,-0.020760692026150107
157,kernel_ivr,AULC_525_1005,negative_is_CW_better,-0.019850032702116827
157,kernel_ivr,AULC_429_1005,negative_is_CW_better,-0.02035429067397887
157,kernel_ivr,AULC_333_1005,negative_is_CW_better,-0.022867375626915765
157,kernel_ivr,NRMSE@685,negative_is_CW_better,-0.0149214952873859
157,kernel_ivr,NRMSE@717,negative_is_CW_better,-0.023622608068103623
157,kernel_ivr,NRMSE@749,negative_is_CW_better,0.004764725813386883
157,kernel_ivr,NRMSE@781,negative_is_CW_better,-0.004086937607506114
157,kernel_ivr,NRMSE@813,negative_is_CW_better,-0.04450597734813749
157,kernel_ivr,NRMSE@845,negative_is_CW_better,-0.04863615743706967
157,kernel_ivr,NRMSE@877,negative_is_CW_better,-0.0281107643077117
157,kernel_ivr,NRMSE@909,negative_is_CW_better,-0.022441284501852288
157,kernel_ivr,NRMSE@941,negative_is_CW_better,-0.03358564514198942
157,kernel_ivr,NRMSE@973,negative_is_CW_better,0.004414572785683912
157,kernel_ivr,NRMSE@1005,negative_is_CW_better,-0.009697018551089509
157,kernel_ivr,V1_RMSE@1005,negative_is_CW_better,-0.14968098454731793
157,kernel_ivr,V2_RMSE@1005,negative_is_CW_better,0.125759404750319
157,kernel_ivr,V1_R2@1005,positive_is_CW_better,0.019535192860412498
157,kernel_ivr,V2_R2@1005,positive_is_CW_better,-0.005442204307803511
157,lcmd,AULC_653_1005,negative_is_CW_better,-0.045434729462778434
157,lcmd,AULC_525_1005,negative_is_CW_better,-0.05569840694422934
157,lcmd,AULC_429_1005,negative_is_CW_better,-0.06199311012834674
157,lcmd,AULC_333_1005,negative_is_CW_better,-0.057254117433009566
157,lcmd,NRMSE@685,negative_is_CW_better,-0.04548983550794744
157,lcmd,NRMSE@717,negative_is_CW_better,-0.03552984568646139
157,lcmd,NRMSE@749,negative_is_CW_better,-0.03228837927564299
157,lcmd,NRMSE@781,negative_is_CW_better,-0.051723693655952474
157,lcmd,NRMSE@813,negative_is_CW_better,-0.037276777254798
157,lcmd,NRMSE@845,negative_is_CW_better,-0.04695584883614706
157,lcmd,NRMSE@877,negative_is_CW_better,-0.046637259517168905
157,lcmd,NRMSE@909,negative_is_CW_better,-0.060600335368867386
157,lcmd,NRMSE@941,negative_is_CW_better,-0.03584241969121299
157,lcmd,NRMSE@973,negative_is_CW_better,-0.05523140756635986
157,lcmd,NRMSE@1005,negative_is_CW_better,-0.0398854347151798
157,lcmd,V1_RMSE@1005,negative_is_CW_better,-0.32822191528562916
157,lcmd,V2_RMSE@1005,negative_is_CW_better,-0.3445274982767339
157,lcmd,V1_R2@1005,positive_is_CW_better,0.043895597570021816
157,lcmd,V2_R2@1005,positive_is_CW_better,0.015618766073807189
6101,gradient_maxdet,AULC_653_1005,negative_is_CW_better,-0.08155898086198421
6101,gradient_maxdet,AULC_525_1005,negative_is_CW_better,-0.07900937428241916
6101,gradient_maxdet,AULC_429_1005,negative_is_CW_better,-0.07043038335787588
6101,gradient_maxdet,AULC_333_1005,negative_is_CW_better,-0.05037778219849498
6101,gradient_maxdet,NRMSE@685,negative_is_CW_better,-0.09333553112497561
6101,gradient_maxdet,NRMSE@717,negative_is_CW_better,-0.15897402070644162
6101,gradient_maxdet,NRMSE@749,negative_is_CW_better,-0.13308283590279557
6101,gradient_maxdet,NRMSE@781,negative_is_CW_better,-0.14690489941939844
6101,gradient_maxdet,NRMSE@813,negative_is_CW_better,-0.13219730967557486
