outer_seed,method,round,active_label_count,combined_normalized_RMSE,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2
157,center_width_lcmd,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,center_width_lcmd,1,365,0.695086838927538,4.898261901144098,2.5891132280409193,0.5665632310435945,8.31101102219652,4.442450551963825,0.6975654254042458
157,center_width_lcmd,2,397,0.6952322575190248,4.87749722033025,2.5723121840890935,0.5702302866632185,8.365049059751797,4.348204960354226,0.6936197919064354
157,center_width_lcmd,3,429,0.6406454446595926,4.635658254542228,2.415922931629977,0.6117919209980094,7.35810492900568,3.8193536033447417,0.7629414217032995
6101,center_width_lcmd,0,333,0.9507187465219588,5.636028801020688,2.688104156681674,0.4758323202914568,10.574190925603304,4.8925266368783635,0.4741475094423357
6101,center_width_lcmd,1,365,0.9805311051180188,5.727788398339348,2.636215557011483,0.4586255417490608,11.13022546254387,5.325821669553395,0.417390497919187
6101,center_width_lcmd,2,397,0.8791467613620387,5.243080061849136,2.4246981995854733,0.5463751787101445,9.693265602196536,4.696606107181211,0.5581143833233082
6101,center_width_lcmd,3,429,0.8128922825898254,4.890329982286951,2.279540631982634,0.6053608556859664,8.845873311728749,4.455680643625969,0.6319972447428224
157,center_width_lcmd,4,461,0.5578461680844136,4.122630807613046,2.1712161848585096,0.6929630563888431,6.178572905870096,3.4240981714902734,0.8328524276431605
157,center_width_lcmd,5,493,0.5422686658415776,3.976040597943654,1.9940464107824456,0.7144097570339184,6.091071822038359,3.244546945146519,0.8375531991559446
157,center_width_lcmd,6,525,0.5187751278865594,3.8168858869422473,1.9755539385249004,0.7368156276202489,5.79198560154629,3.1356460047568633,0.8531145868403388
6101,center_width_lcmd,4,461,0.7561776358602065,4.597216227128749,2.104467378817588,0.6512504200341874,8.092813802405848,3.8634210055966456,0.6919872199914379
6101,center_width_lcmd,5,493,0.7030126618522389,4.244566633750786,2.0251637734383414,0.7027029890434726,7.607396255379605,3.4971292401961,0.72782908287914
6101,center_width_lcmd,6,525,0.7095625041414149,4.332549340788497,2.107757385400274,0.6902503203492039,7.5399487342301645,3.4079027221643097,0.732633847861073
157,center_width_lcmd,7,557,0.5091518886418229,3.723079979045886,1.908855310732798,0.7495929930728731,5.746087605244068,3.0949798933893655,0.8554333198185575
157,center_width_lcmd,8,589,0.504832628262363,3.695765395423156,1.8268495435051495,0.7532537648087527,5.685998441823651,2.9842586848947357,0.8584410949509996
157,center_width_lcmd,9,621,0.5068833176130764,3.789675347223704,1.8115680886687135,0.7405547292314436,5.492798508297827,2.8577027520973335,0.8678974933865461
