column,protocol,seed,method,extra_coefficient,extra_coefficient_std,extra_coefficient_positive_fraction
25g,compound,769539383,CENTER_MAGNITUDE,-0.04313368190886051,0.05204042372060688,0.2
25g,compound,769539383,CENTER_CONDITIONED_WIDTH,-0.009112191647397207,0.019459360578346425,0.2
25g,compound,1425370602,CENTER_MAGNITUDE,-0.06118329443821378,0.022045686415057525,0.0
25g,compound,1425370602,CENTER_CONDITIONED_WIDTH,0.019880819801748065,0.0353309546998065,0.8
25g,compound,536279090,CENTER_MAGNITUDE,-0.13376315691634105,0.07224332252941117,0.0
25g,compound,536279090,CENTER_CONDITIONED_WIDTH,0.007295630756911703,0.02122018250756002,0.6
25g,compound,2767143051,CENTER_MAGNITUDE,-0.058865357747803215,0.019261324921836426,0.0
25g,compound,2767143051,CENTER_CONDITIONED_WIDTH,0.028848153143430023,0.0257635210124847,1.0
25g,compound,1362771960,CENTER_MAGNITUDE,-0.13349073644386175,0.07519159153699254,0.0
25g,compound,1362771960,CENTER_CONDITIONED_WIDTH,0.023346142031706714,0.006895010000323342,1.0
25g,row,769539383,CENTER_MAGNITUDE,-0.07727235102660947,0.05395944354395357,0.0
25g,row,769539383,CENTER_CONDITIONED_WIDTH,0.023937666400228853,0.0066369188921549,1.0
25g,row,1425370602,CENTER_MAGNITUDE,-0.0020916227978869375,0.024176676192434538,0.2
25g,row,1425370602,CENTER_CONDITIONED_WIDTH,0.03669243005788871,0.03140862853324551,0.8
25g,row,536279090,CENTER_MAGNITUDE,-0.02174013291521067,0.0026153261434872445,0.0
25g,row,536279090,CENTER_CONDITIONED_WIDTH,0.04694429745766976,0.01510496584554589,1.0
25g,row,2767143051,CENTER_MAGNITUDE,-0.04940968738429152,0.03574495106340057,0.2
25g,row,2767143051,CENTER_CONDITIONED_WIDTH,0.018840322580930394,0.011061874178560341,1.0
25g,row,1362771960,CENTER_MAGNITUDE,-0.06176489032929537,0.01322010084308541,0.0
25g,row,1362771960,CENTER_CONDITIONED_WIDTH,0.02615112787236501,0.016454234982289623,0.8
40g,compound,769539383,CENTER_MAGNITUDE,0.002640031281140844,0.017831999970750093,0.4
40g,compound,769539383,CENTER_CONDITIONED_WIDTH,0.0041052794722354615,0.01532360251070681,0.4
40g,compound,1425370602,CENTER_MAGNITUDE,-0.010027826508333212,0.012491423006616957,0.2
40g,compound,1425370602,CENTER_CONDITIONED_WIDTH,-0.001970150830679023,0.014198934703386915,0.4
40g,compound,536279090,CENTER_MAGNITUDE,0.003618341270015978,0.010774281482561236,0.4
40g,compound,536279090,CENTER_CONDITIONED_WIDTH,-0.0011063008693055676,0.015451622267690606,0.4
40g,compound,2767143051,CENTER_MAGNITUDE,-0.004547750737071025,0.011114984436416543,0.2
40g,compound,2767143051,CENTER_CONDITIONED_WIDTH,0.003026777642109944,0.010397020383719844,0.6
40g,compound,1362771960,CENTER_MAGNITUDE,-0.01121213633918461,0.012815016600213773,0.2
40g,compound,1362771960,CENTER_CONDITIONED_WIDTH,-0.009487602113732042,0.008729867808386279,0.2
40g,row,769539383,CENTER_MAGNITUDE,0.0037852362646598444,0.0032051172483125298,0.6
40g,row,769539383,CENTER_CONDITIONED_WIDTH,-5.9349446138308104e-05,0.014964156261815699,0.2
40g,row,1425370602,CENTER_MAGNITUDE,0.01431890219278641,0.027429004309220302,0.4
40g,row,1425370602,CENTER_CONDITIONED_WIDTH,-0.007994422727647336,0.004940073573232819,0.2
40g,row,536279090,CENTER_MAGNITUDE,-0.025081598953103235,0.01846376116848378,0.0
40g,row,536279090,CENTER_CONDITIONED_WIDTH,0.016154204583377026,0.004749985443624377,1.0
40g,row,2767143051,CENTER_MAGNITUDE,-0.006226492355564257,0.00927454932866958,0.2
40g,row,2767143051,CENTER_CONDITIONED_WIDTH,0.006663899513693702,0.012655898580308387,0.8
40g,row,1362771960,CENTER_MAGNITUDE,-0.008510849115423698,0.00978169471026907,0.2
40g,row,1362771960,CENTER_CONDITIONED_WIDTH,0.0014306861106232465,0.014053768542432305,0.4
