column,protocol,seed,method,projection_frequency,center_error_variance,width_error_variance,center_width_error_covariance,center_width_error_correlation,V1_error_variance,V2_error_variance,V1_variance_identity_max_abs,V2_variance_identity_max_abs,V1_error_identity_max_abs,V2_error_identity_max_abs
25g,compound,769539383,M3_CENTER_WIDTH,0.0,73.13061263860033,40.7166831218224,27.984884089418507,0.5128468715090427,55.32489932963742,111.29466750847442,7.105427357601002e-15,0.0,1.0658141036401503e-14,1.0658141036401503e-14
25g,compound,769539383,CENTER_MAGNITUDE,0.0,82.09806187770145,39.77759979847311,26.560534138921632,0.4647838886751535,65.48192768839809,118.60299596624132,0.0,4.263256414560601e-14,1.4210854715202004e-14,1.0658141036401503e-14
25g,compound,769539383,CENTER_CONDITIONED_WIDTH,0.0,73.13061263860033,43.14492525254285,31.40864867752968,0.5591583123988553,52.508195274206344,115.32549262926571,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.0658141036401503e-14
25g,compound,1425370602,M3_CENTER_WIDTH,0.0,70.46419483765986,62.38378759635396,27.80536251835766,0.4193807047484914,58.25477921839069,113.86550425510602,0.0,1.4210854715202004e-14,1.4210854715202004e-14,7.105427357601002e-15
25g,compound,1425370602,CENTER_MAGNITUDE,0.0,69.36965474925474,65.52629423856361,31.006613703057713,0.4598982619425829,54.744614605837924,116.75784201195333,0.0,1.4210854715202004e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,compound,1425370602,CENTER_CONDITIONED_WIDTH,0.0,70.41504013332977,79.41304692185146,39.091182050422425,0.5227573619854683,51.17711981337021,129.35948391421508,7.105427357601002e-15,2.842170943040401e-14,1.0658141036401503e-14,1.4210854715202004e-14
25g,compound,536279090,M3_CENTER_WIDTH,0.0,72.80974667729804,65.57724370797916,29.382310526678506,0.425220902447456,59.821747077614326,118.58636813097131,7.105427357601002e-15,2.842170943040401e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,compound,536279090,CENTER_MAGNITUDE,0.0,70.6001686657502,68.50396939504344,30.742571563002738,0.4420582039786598,56.98358945150832,118.46873257751382,0.0,1.4210854715202004e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,compound,536279090,CENTER_CONDITIONED_WIDTH,0.0,73.87825046255345,69.68637705820245,34.519755778311115,0.4811001254575295,56.78008894879293,125.81960050541518,2.842170943040401e-14,1.4210854715202004e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,compound,2767143051,M3_CENTER_WIDTH,0.0,69.17468055283172,61.269510909373786,25.199876317629485,0.3870816836127095,59.29218196254568,109.69193459780466,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,7.105427357601002e-15
25g,compound,2767143051,CENTER_MAGNITUDE,0.0,68.50393613340773,64.50623885360328,28.21371125997235,0.4244256224113572,56.41678458683622,112.84420710678089,1.4210854715202004e-14,2.842170943040401e-14,7.105427357601002e-15,7.105427357601002e-15
25g,compound,2767143051,CENTER_CONDITIONED_WIDTH,0.0,69.57858377580524,72.64783978416803,36.3667548268389,0.5115115020481613,51.37378889500836,124.10729854868616,1.4210854715202004e-14,1.4210854715202004e-14,1.0658141036401503e-14,1.4210854715202004e-14
25g,compound,1362771960,M3_CENTER_WIDTH,0.0,76.69434775142432,64.44190723793973,27.767306831193558,0.3949734354111761,65.03751772971572,120.57213139210285,2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14,1.0658141036401503e-14
25g,compound,1362771960,CENTER_MAGNITUDE,0.0,68.10510210321804,64.44190723793972,25.31278393945027,0.3820901968351208,58.902794973252675,109.52836285215325,2.1316282072803006e-14,1.4210854715202004e-14,1.4210854715202004e-14,7.105427357601002e-15
25g,compound,1362771960,CENTER_CONDITIONED_WIDTH,0.0,71.25153387779866,62.18630531278467,28.871031028849785,0.43372834696583223,57.927079177145046,115.66914123484462,0.0,0.0,1.4210854715202004e-14,1.0658141036401503e-14
25g,row,769539383,M3_CENTER_WIDTH,0.0,68.17831921646061,58.69995136438581,26.279999687680085,0.415416114924672,56.573307369876964,109.13330674523714,7.105427357601002e-15,1.4210854715202004e-14,1.0658141036401503e-14,1.4210854715202004e-14
25g,row,769539383,CENTER_MAGNITUDE,0.0,70.25223247943988,58.619228888889964,25.9021259936829,0.4036317269325489,59.00491370797947,110.80916569534524,0.0,2.842170943040401e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,row,769539383,CENTER_CONDITIONED_WIDTH,0.0,69.35308751454514,57.71131493140647,29.0466590015068,0.459126966389933,54.73425724588994,112.82757524890353,2.1316282072803006e-14,2.842170943040401e-14,7.105427357601002e-15,7.105427357601002e-15
25g,row,1425370602,M3_CENTER_WIDTH,0.0,49.101400110243496,58.16401931813657,18.454725836609796,0.34532932096096997,45.187679103167824,82.09713077638743,1.4210854715202004e-14,0.0,7.105427357601002e-15,7.105427357601002e-15
25g,row,1425370602,CENTER_MAGNITUDE,0.0,48.7787625407209,58.56296433068853,17.676209749291413,0.3307213493549447,45.7432938741016,81.09571337268443,7.105427357601002e-15,1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15
25g,row,1425370602,CENTER_CONDITIONED_WIDTH,0.0,49.10140011024349,59.17197436007155,17.41818365579473,0.3231453397948848,46.47621004446665,81.3125773560561,7.105427357601002e-15,1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15
